January,February,March,April,May,June,July,August,September,October,November,December
125,184,130,127,107,116,140,120,99,154,117,86
147,129,150,121,102,97,117,87,80,134,145,144
196,185,148,123,114,108,112,97,91,148,141,135
115,128,97,95,94,78,80,71,68,105,110,74
96,100,96,95,95,75,86,72,70,92,83,63
101,113,93,90,80,79,85,82,68,100,106,88
121,124,88,86,65,70,80,74,58,164,114,56
120,112,70,70,51,54,73,50,44,97,118,90
103,74,82,77,96,72,74,67,69,77,74,99
140,95,101,87,112,102,89,73,68,82,94,104
134,77,81,80,88,81,69,66,70,85,85,94
179,102,93,83,116,114,82,69,69,87,91,68
80,45,66,64,63,54,51,61,53,63,54,65
128,52,61,57,78,77,56,57,68,92,75,73
154,112,117,103,106,99,101,98,83,92,119,111
186,143,123,109,107,114,89,80,79,122,141,108
247,150,126,93,115,108,77,75,78,120,106,116
197,103,88,80,87,91,67,65,69,107,85,102
107,59,67,65,47,55,56,52,62,91,70,71
155,75,74,66,68,64,50,52,60,105,78,103
76,35,39,36,30,32,26,26,32,60,43,50
172,114,77,62,72,61,86,73,61,96,116,126
177,120,96,79,95,72,68,62,58,81,70,118
134,74,72,70,73,63,50,54,56,82,57,107
70,55,70,80,61,45,44,43,43,57,50,79
51,63,57,75,80,71,50,54,49,60,62,71
160,195,118,94,96,80,74,69,59,104,108,87
95,99,114,114,99,78,72,71,79,74,83,125
116,113,105,116,91,70,64,71,69,74,99,82
105,108,92,91,93,82,78,63,68,85,98,103
127,103,145,121,118,80,82,78,99,91,75,136
