,PM2.5,PM10,SO2,NO2,CO,O3,AQI,PR,PCDI,GRDP,PGDP,EDUL,UGA,TAAA,FEC,NGC,EC,TSI,CVO,RAAT,RAAP,RAAWS
PM2.5,1.0,0.9487666102297304,0.9500501503915222,0.7981535038956871,0.8798370327408103,0.00878808411896264,0.9442539448608906,-0.8902173553655122,-0.8118931074300295,-0.7962707536375376,-0.7942538625193479,0.24997254816619263,-0.8928459315932248,0.4928150196539525,-0.15874013478404692,-0.8578819542936235,-0.5972595034996654,-0.7389694061041304,-0.8913069162591862,0.046859989433702426,0.5390198816573822,0.8429024744878822
PM10,0.9487666102297304,1.0,0.9781194246805789,0.9335910685876087,0.9612269102686284,0.03974383740891228,0.9651791489235937,-0.8282220497332525,-0.8768580441051438,-0.8546310253785286,-0.8533884064333405,0.028493885020707498,-0.8937166900767172,0.3375177726360143,-0.002677065915203596,-0.8087344758847973,-0.690866461348323,-0.8108171965742942,-0.8878853173612851,-0.0740728977352478,0.6695300366740102,0.8244206899506756
SO2,0.9500501503915222,0.9781194246805789,1.0,0.8797389165911027,0.9371420770052259,-0.10142103037587455,0.91566277028553,-0.8864967323068024,-0.9038488299206103,-0.8820241191149852,-0.8805684776160789,0.1735543668460924,-0.9461639577011124,0.44562739124466577,-0.05341905405388792,-0.8820188169986207,-0.7000250045303146,-0.83075998374784,-0.9363131523171766,-0.17658553444137945,0.7016954066080512,0.8458888522202881
NO2,0.7981535038956871,0.9335910685876087,0.8797389165911027,1.0,0.9743121851648008,0.16020669805555948,0.8911934856157049,-0.6596718605801095,-0.745195594702184,-0.71274508410143,-0.7118273135321738,-0.31713869731870076,-0.7241344975658214,-0.00520547687072069,0.22733510143192626,-0.5983433075546061,-0.5608982070372563,-0.6770168997584811,-0.7131763937486354,-0.11961039073197355,0.5900531002913582,0.6719501306639167
CO,0.8798370327408103,0.9612269102686284,0.9371420770052259,0.9743121851648008,1.0,0.08397240802183095,0.9143946469689179,-0.7283152473527816,-0.7686732675328672,-0.73363247629314,-0.7326324349016488,-0.13834871840827337,-0.7798203491551794,0.09237924919696605,0.1760287000453711,-0.7069698759577263,-0.5287486773169155,-0.685311478152342,-0.7636610284159749,-0.07218472643110466,0.5444305533331131,0.7693426561027045
O3,0.00878808411896264,0.03974383740891228,-0.10142103037587455,0.16020669805555948,0.08397240802183095,1.0,0.26214092850660553,0.14653646484131788,0.3263458911062514,0.3561148230208,0.3578382273202598,-0.3334612163493381,0.08276374204621535,-0.4436301189737799,0.6795191252503551,0.4902033390184602,0.37845665662695044,0.3966750514858379,0.13399891511640882,0.7393576836474325,-0.3380069612113973,0.12153713521550599
AQI,0.9442539448608906,0.9651791489235937,0.91566277028553,0.8911934856157049,0.9143946469689179,0.26214092850660553,1.0,-0.7966629222023361,-0.7733092965780866,-0.7494882851975225,-0.7476780120261758,0.07358386543277111,-0.8346190504923849,0.3051799886988755,0.0681819457740963,-0.6829573421172166,-0.5840451219103628,-0.6964764918453729,-0.8196308966103288,0.13874133985250353,0.557076894004524,0.8241995021993227
PR,-0.8902173553655122,-0.8282220497332525,-0.8864967323068024,-0.6596718605801095,-0.7283152473527816,0.14653646484131788,-0.7966629222023361,1.0,0.792218506885615,0.7894422579754586,0.7856707676150516,-0.41437753254276716,0.9926097172220604,-0.6990739850764451,0.34809041072262437,0.9714074898926152,0.6435567206386723,0.7241762828902962,0.9975174711894114,0.24991011199341415,-0.6616158500915411,-0.7003027276844372
PCDI,-0.8118931074300295,-0.8768580441051438,-0.9038488299206103,-0.745195594702184,-0.7686732675328672,0.3263458911062514,-0.7733092965780866,0.792218506885615,1.0,0.9976823506652215,0.9976901601636325,-0.37499081405602386,0.9878513409005668,-0.6858972710200679,0.4013656329597855,0.9908172352805988,0.9272981687994487,0.9867986956408468,0.9983346929812047,0.38396324539127163,-0.9017789111516223,-0.6998441700500428
GRDP,-0.7962707536375376,-0.8546310253785286,-0.8820241191149852,-0.71274508410143,-0.73363247629314,0.3561148230208,-0.7494882851975225,0.7894422579754586,0.9976823506652215,1.0,0.9999786355128454,-0.39973377313070046,0.9742623324883053,-0.7265756859621242,0.4950719272381586,0.9963433194082075,0.9447761445797112,0.9934128274493664,0.9920469346081607,0.40509133279463344,-0.9094595930297297,-0.6663727204340398
