,PM2.5,PM10,SO2,NO2,CO,O3,AQI,PR,PCDI,GRDP,PGDP,EDUL,UGA,TAAA,FEC,NGC,EC,TSI,CVO,RAAT,RAAP,RAAWS
PM2.5,1.0,0.9865445616431695,0.9226571608499385,0.9526306921314851,0.9889077828002043,0.7290653854432653,0.993126486103211,-0.4444272901068956,-0.9891537763453446,-0.9885179914411376,-0.9870923640637941,0.4290285349719678,-0.8697760867987341,-0.8179759420576427,0.9016466410607212,-0.9170415980963015,-0.9824057998720012,-0.8994729485009119,-0.9861453262708416,0.25908928114042173,0.5982433871510784,0.23573661791047296
PM10,0.9865445616431695,1.0,0.943190104655947,0.9804834814568489,0.9677969332279417,0.7485614722728442,0.9792822568065521,-0.4939753776695266,-0.989940017492045,-0.9850256192362719,-0.9826817962465455,0.28122205975745806,-0.9397601158897405,-0.7817617166872323,0.9550493226583254,-0.9689872238116373,-0.9616478435614996,-0.8973633293398335,-0.9763571740858902,0.3836724091141799,0.6696649015257055,0.2926683316728355
SO2,0.9226571608499385,0.943190104655947,1.0,0.8797857096825664,0.8826057430832435,0.6312445501187066,0.9160748645005359,-0.7385515404264796,-0.9214294639612787,-0.9118203968465672,-0.9025982307189802,0.2032055271634586,-0.9670617644352705,-0.6573707061592955,0.9904053232170316,-0.9865372917329917,-0.9140868935760937,-0.7665558567957605,-0.8923156779160503,0.4188794991754832,0.523657415598853,0.014518656381482734
NO2,0.9526306921314851,0.9804834814568489,0.8797857096825664,1.0,0.9477248990611762,0.7999126382526461,0.949012429566463,-0.37944192417214534,-0.9754988355730859,-0.9701634320447455,-0.9709273772554843,0.2344941878887465,-0.9169577429699358,-0.7216210364410658,0.9113037150316557,-0.9648278848671392,-0.9271954952928562,-0.9181813793802192,-0.9598611587416084,0.4467937896040626,0.7514362692478985,0.44991179225762523
CO,0.9889077828002043,0.9677969332279417,0.8826057430832435,0.9477248990611762,1.0,0.7167084941032555,0.9946488112364291,-0.3583285412024234,-0.9788447467408772,-0.9768465448339887,-0.9773354469584297,0.5021462633913658,-0.8179165528382732,-0.7726677783394679,0.8209318837734983,-0.8770849733959175,-0.9721696877563855,-0.8837697133339646,-0.9858477217905504,0.24843375263832,0.5952357817059489,0.2665296417929333
O3,0.7290653854432653,0.7485614722728442,0.6312445501187066,0.7999126382526461,0.7167084941032555,1.0,0.7092337875919777,-0.2595047231836409,-0.7722682453196554,-0.8000993110575105,-0.80344124313037,0.4554594006292187,-0.6423403113727885,-0.3274504024880129,0.7435462309186299,-0.7342384098985885,-0.7917596477691372,-0.9180055660109536,-0.6785614518638317,0.40346059958878655,0.44822188015965814,0.4107928527120194
AQI,0.993126486103211,0.9792822568065521,0.9160748645005359,0.949012429566463,0.9946488112364291,0.7092337875919777,1.0,-0.43876448600020235,-0.9778459792334058,-0.9747521877821028,-0.9731927731964166,0.4572575904489144,-0.8593787004022592,-0.7807209747355962,0.8826647633485007,-0.9216759881272955,-0.9718588555237055,-0.8671143676189684,-0.9836638600733139,0.29401926743606654,0.5705974485546329,0.21281357369779272
PR,-0.4444272901068956,-0.4939753776695266,-0.7385515404264796,-0.37944192417214534,-0.3583285412024234,-0.2595047231836409,-0.43876448600020235,1.0,0.433003609035147,0.4216262080075858,0.4012649420076514,-0.007111994022325356,0.7414290953252787,0.27718186572034664,-0.906733885117702,0.7987528283953669,0.45990124613415206,0.2523944630951603,0.4409053072777225,-0.4252558442575264,-0.02352093506943593,0.4987616149336791
PCDI,-0.9891537763453446,-0.989940017492045,-0.9214294639612787,-0.9754988355730859,-0.9788447467408772,-0.7722682453196554,-0.9778459792334058,0.433003609035147,1.0,0.9978577051573454,0.9972539821741755,-0.3848330357681797,0.9044583742423833,0.7708058791589477,-0.9489811338368778,0.9392708208562838,0.9800935505923443,0.9281361400119481,0.993832452857576,-0.3077785772245549,-0.6730153419468221,-0.3138912615591473
GRDP,-0.9885179914411376,-0.9850256192362719,-0.9118203968465672,-0.9701634320447455,-0.9768465448339887,-0.8000993110575105,-0.9747521877821028,0.4216262080075858,0.9978577051573454,1.0,0.999744337573129,-0.4033442763898864,0.8903185926549013,0.7698911623501808,-0.9306792160637994,0.9364871291555509,0.9874525675102012,0.9453010993704646,0.9906135604991803,-0.2992154394153068,-0.6480923445128733,-0.3107046209358215
PGDP,-0.9870923640637941,-0.9826817962465455,-0.9025982307189802,-0.9709273772554843,-0.9773354469584297,-0.80344124313037,-0.9731927731964166,0.4012649420076514,0.9972539821741755,0.999744337573129,1.0,-0.4109205309986104,0.8818883065600237,0.7722464362985177,-0.9184352607709312,0.9274110405816597,0.9859361859151627,0.9494317446607998,0.9923394862169925,-0.2929996877516764,-0.6549121425162585,-0.32757768965545586
EDUL,0.4290285349719678,0.28122205975745806,0.2032055271634586,0.2344941878887465,0.5021462633913658,0.4554594006292187,0.4572575904489144,-0.007111994022325356,-0.3848330357681797,-0.4033442763898864,-0.4109205309986104,1.0,-0.006054630167810967,-0.4266135761231875,0.2549741211823315,-0.2304105152206229,-0.47789727225140827,-0.47923467838182954,-0.4672331948847366,-0.6083312990229733,-0.5026387266363411,-0.5244668345125479
UGA,-0.8697760867987341,-0.9397601158897405,-0.9670617644352705,-0.9169577429699358,-0.8179165528382732,-0.6423403113727885,-0.8593787004022592,0.7414290953252787,0.9044583742423833,0.8903185926549013,0.8818883065600237,-0.006054630167810967,1.0,0.6359185736297363,-0.9300440454219704,0.9542723353907986,0.8368562185257274,0.8253838549876082,0.8696583721172017,-0.5011185719257636,-0.5935976020444683,0.06364871131853339
TAAA,-0.8179759420576427,-0.7817617166872323,-0.6573707061592955,-0.7216210364410658,-0.7726677783394679,-0.3274504024880129,-0.7807209747355962,0.27718186572034664,0.7708058791589477,0.7698911623501808,0.7722464362985177,-0.4266135761231875,0.6359185736297363,1.0,-0.5403616184501622,0.5077863758366638,0.7198186619992887,0.787963477362356,0.8098279911269087,0.18651454460262143,-0.4354092658228095,-0.055156376827233226
FEC,0.9016466410607212,0.9550493226583254,0.9904053232170316,0.9113037150316557,0.8209318837734983,0.7435462309186299,0.8826647633485007,-0.906733885117702,-0.9489811338368778,-0.9306792160637994,-0.9184352607709312,0.2549741211823315,-0.9300440454219704,-0.5403616184501622,1.0,-0.972614265020937,-0.9099085572890878,-0.8379195740189973,-0.9133068172854099,0.3306086309630675,-0.39174159466793307,-0.9084975332007497
NGC,-0.9170415980963015,-0.9689872238116373,-0.9865372917329917,-0.9648278848671392,-0.8770849733959175,-0.7342384098985885,-0.9216759881272955,0.7987528283953669,0.9392708208562838,0.9364871291555509,0.9274110405816597,-0.2304105152206229,0.9542723353907986,0.5077863758366638,-0.972614265020937,1.0,0.9316255071800496,0.8806018608318285,0.9001169950033532,-0.35073074113180375,-0.17115592168179594,0.6676566729617839
