,PM2.5,PM10,SO2,NO2,CO,O3,AQI,PR,PCDI,GRDP,PGDP,EDUL,UGA,TAAA,FEC,NGC,EC,TSI,CVO,RAAT,RAAP,RAAWS
PM2.5,1.0,0.9910562655145392,0.9572089653530025,0.9582977771432231,0.8084853169269192,0.7222377962774739,0.994660572121532,0.9439894942479925,-0.9267945197586077,-0.8817170466561098,-0.8878688110700804,0.46766582659486966,-0.7726075004998584,0.383026585677498,0.9628255569845424,-0.8264350297531013,-0.876949156839604,-0.7842502232465718,-0.948171780921621,-0.5356932329073836,0.23360270128771257,-0.48538335008944006
PM10,0.9910562655145392,1.0,0.9312504125793487,0.9758300136018129,0.7801630355131866,0.7014396330363167,0.9850030778111378,0.9412463692246164,-0.9213086026955905,-0.8711856497604783,-0.8786285404758188,0.3623910945849973,-0.7465926268411051,0.25877286799606225,0.9797721979040439,-0.7647440555158727,-0.852804005880306,-0.7778961327648898,-0.947816873828098,-0.48334149065771925,0.24366709519080265,-0.49886971554518816
SO2,0.9572089653530025,0.9312504125793487,1.0,0.9213578993925136,0.9072582973941673,0.8281306427586816,0.9640690792414216,0.9534997764249623,-0.9411002055234056,-0.8943494600379972,-0.9027734435678907,0.4445684852744772,-0.9199157225414346,0.547739361525048,0.8934795967988671,-0.9446162017931786,-0.9341112559060802,-0.7789294806263535,-0.9619993448641426,-0.7234576711463765,0.3684365894739536,-0.3377431703166789
NO2,0.9582977771432231,0.9758300136018129,0.9213578993925136,1.0,0.8239189260267351,0.786017865684852,0.9639645342485196,0.9072337851154959,-0.890692367539758,-0.8243221196135987,-0.8354082569808068,0.1536792187143364,-0.7678193618968886,0.15584415464912474,0.992840725007649,-0.7438484953834488,-0.8152024870298755,-0.7300491948331823,-0.917274786983343,-0.4953366388664682,0.25694353314225415,-0.44805066380690517
CO,0.8084853169269192,0.7801630355131866,0.9072582973941673,0.8239189260267351,1.0,0.9471499010546618,0.8495852378411067,0.8680498581135483,-0.8811447225446911,-0.861880893829915,-0.8691373807683439,0.14004676934019025,-0.9279644656050421,0.4874050697162543,0.7320946540417023,-0.8472374874061418,-0.9083587065067287,-0.8086717488220379,-0.8086709717455293,-0.8099464886257928,0.5790011533911802,0.04101799655411062
O3,0.7222377962774739,0.7014396330363167,0.8281306427586816,0.786017865684852,0.9471499010546618,1.0,0.7808294946462088,0.7377044518767166,-0.7424700725251969,-0.7039780595132641,-0.7148537610304764,-0.03994577947762383,-0.7985840940417779,0.3496339587448997,0.7047026700599525,-0.7861439633737525,-0.7770371324617977,-0.6389581383160896,-0.68490673559786,-0.7232975495488804,0.4304705531849044,0.0015926239083105366
AQI,0.994660572121532,0.9850030778111378,0.9640690792414216,0.9639645342485196,0.8495852378411067,0.7808294946462088,1.0,0.944619003344343,-0.9279618400492086,-0.8849921738888271,-0.8918127410461981,0.4272976234493258,-0.7939999206456455,0.3865291291761665,0.9738395014816126,-0.8476353324585615,-0.8886524478688757,-0.7921650587733426,-0.944821148987235,-0.556318879882079,0.26256778816203935,-0.4262908676879421
PR,0.9439894942479925,0.9412463692246164,0.9534997764249623,0.9072337851154959,0.8680498581135483,0.7377044518767166,0.944619003344343,1.0,-0.9946325439212973,-0.9734298906005044,-0.978606282451628,0.4338050014860914,-0.9113287652572944,0.44043680425792414,0.9119431355053051,-0.8960602409577204,-0.97053788833455,-0.8980222016195542,-0.9985333651333996,-0.6980328032143472,0.5286396833389854,-0.25074949532065793
PCDI,-0.9267945197586077,-0.9213086026955905,-0.9411002055234056,-0.890692367539758,-0.8811447225446911,-0.7424700725251969,-0.9279618400492086,-0.9946325439212973,1.0,0.9880698907883019,0.991421870081411,-0.3984367305579619,0.9288799409842227,-0.4455010837271593,-0.8946924836656862,0.8994119194567349,0.9783776136416169,0.9306664784487234,0.9969264400741306,0.7352752280300132,-0.5764564258531213,0.19899949815469903
GRDP,-0.8817170466561098,-0.8711856497604783,-0.8943494600379972,-0.8243221196135987,-0.861880893829915,-0.7039780595132641,-0.8849921738888271,-0.9734298906005044,0.9880698907883019,1.0,0.9996087890550044,-0.4876839385999917,0.9301766472221497,-0.5059854551623193,-0.8515311722275325,0.9253110371049148,0.9808510947256294,0.971717687548116,0.9871971648993704,0.747575482574219,-0.6397146660016116,0.1025378723322395
PGDP,-0.8878688110700804,-0.8786285404758188,-0.9027734435678907,-0.8354082569808068,-0.8691373807683439,-0.7148537610304764,-0.8918127410461981,-0.978606282451628,0.991421870081411,0.9996087890550044,1.0,-0.46621715108174716,0.9337466069749714,-0.49398962230811333,-0.8612386585020763,0.9254373464409563,0.9829196383379744,0.9665626989584409,0.9883063231330642,0.7483601526237019,-0.6372115693578961,0.10941119204805468
EDUL,0.46766582659486966,0.3623910945849973,0.4445684852744772,0.1536792187143364,0.14004676934019025,-0.03994577947762383,0.4272976234493258,0.4338050014860914,-0.3984367305579619,-0.4876839385999917,-0.46621715108174716,1.0,-0.2872011917983717,0.7948544552941026,0.22580109396368656,-0.45161283847974687,-0.4927609674918068,-0.4448027052019929,-0.4206480043864273,-0.15794084114631637,-0.476464111947278,-0.43630273616036513
UGA,-0.7726075004998584,-0.7465926268411051,-0.9199157225414346,-0.7678193618968886,-0.9279644656050421,-0.7985840940417779,-0.7939999206456455,-0.9113287652572944,0.9288799409842227,0.9301766472221497,0.9337466069749714,-0.2872011917983717,1.0,-0.5672405486755975,-0.6939954563788723,0.9071141644549804,0.9623197058664293,0.9170193535699888,0.9008805287793451,0.82535291084775,-0.5278062047270345,0.16904704819077174
TAAA,0.383026585677498,0.25877286799606225,0.547739361525048,0.15584415464912474,0.4874050697162543,0.3496339587448997,0.3865291291761665,0.44043680425792414,-0.4455010837271593,-0.5059854551623193,-0.49398962230811333,0.7948544552941026,-0.5672405486755975,1.0,0.13445133723055272,-0.655156240504398,-0.6224289621764557,-0.44122958369862364,-0.4262725010894457,-0.6747590217155388,0.16077338384331577,-0.045072802162274314
FEC,0.9628255569845424,0.9797721979040439,0.8934795967988671,0.992840725007649,0.7320946540417023,0.7047026700599525,0.9738395014816126,0.9119431355053051,-0.8946924836656862,-0.8515311722275325,-0.8612386585020763,0.22580109396368656,-0.6939954563788723,0.13445133723055272,1.0,-0.7644337737884079,-0.7693175340330028,-0.8716498110286443,-0.9204435450939956,-0.25846943227898544,-0.48313565457199986,-0.8071358154034193
NGC,-0.8264350297531013,-0.7647440555158727,-0.9446162017931786,-0.7438484953834488,-0.8472374874061418,-0.7861439633737525,-0.8476353324585615,-0.8960602409577204,0.8994119194567349,0.9253110371049148,0.9254373464409563,-0.45161283847974687,0.9071141644549804,-0.655156240504398,-0.7644337737884079,1.0,0.9844930823529624,0.9139544911315682,0.8855437817983572,0.7483518786460556,0.09701351618378046,0.558792092138007
EC,-0.876949156839604,-0.852804005880306,-0.9341112559060802,-0.8152024870298755,-0.9083587065067287,-0.7770371324617977,-0.8886524478688757,-0.97053788833455,0.9783776136416169,0.9808510947256294,0.9829196383379744,-0.4927609674918068,0.9623197058664293,-0.6224289621764557,-0.7693175340330028,0.9844930823529624,1.0,0.923904953374719,0.9523136638000804,0.8231752602874866,-0.6304023027579797,0.08927759347466574
TSI,-0.7842502232465718,-0.7778961327648898,-0.7789294806263535,-0.7300491948331823,-0.8086717488220379,-0.6389581383160896,-0.7921650587733426,-0.8980222016195542,0.9306664784487234,0.971717687548116,0.9665626989584409,-0.4448027052019929,0.9170193535699888,-0.44122958369862364,-0.8716498110286443,0.9139544911315682,0.923904953374719,1.0,0.9695129560327551,0.7032304384938682,-0.7062401064643488,-0.04300428593467327
CVO,-0.948171780921621,-0.947816873828098,-0.9619993448641426,-0.917274786983343,-0.8086709717455293,-0.68490673559786,-0.944821148987235,-0.9985333651333996,0.9969264400741306,0.9871971648993704,0.9883063231330642,-0.4206480043864273,0.9008805287793451,-0.4262725010894457,-0.9204435450939956,0.8855437817983572,0.9523136638000804,0.9695129560327551,1.0,0.5711622606269422,-0.25072332880229453,0.5201768431303414
RAAT,-0.5356932329073836,-0.48334149065771925,-0.7234576711463765,-0.4953366388664682,-0.8099464886257928,-0.7232975495488804,-0.556318879882079,-0.6980328032143472,0.7352752280300132,0.747575482574219,0.7483601526237019,-0.15794084114631637,0.82535291084775,-0.6747590217155388,-0.25846943227898544,0.7483518786460556,0.8231752602874866,0.7032304384938682,0.5711622606269422,1.0,-0.7219507611527012,-0.1798429983883314
RAAP,0.23360270128771257,0.24366709519080265,0.3684365894739536,0.25694353314225415,0.5790011533911802,0.4304705531849044,0.26256778816203935,0.5286396833389854,-0.5764564258531213,-0.6397146660016116,-0.6372115693578961,-0.476464111947278,-0.5278062047270345,0.16077338384331577,-0.48313565457199986,0.09701351618378046,-0.6304023027579797,-0.7062401064643488,-0.25072332880229453,-0.7219507611527012,1.0,0.6016149954342852
RAAWS,-0.48538335008944006,-0.49886971554518816,-0.3377431703166789,-0.44805066380690517,0.04101799655411062,0.0015926239083105366,-0.4262908676879421,-0.25074949532065793,0.19899949815469903,0.1025378723322395,0.10941119204805468,-0.43630273616036513,0.16904704819077174,-0.045072802162274314,-0.8071358154034193,0.558792092138007,0.08927759347466574,-0.04300428593467327,0.5201768431303414,-0.1798429983883314,0.6016149954342852,1.0
