,PM2.5,PM10,SO2,NO2,CO,O3,AQI,PR,PCDI,GRDP,PGDP,EDUL,UGA,TAAA,FEC,NGC,EC,TSI,CVO,RAAT,RAAP,RAAWS
PM2.5,1.0,0.9769036094698619,0.9351083695094801,0.825001307221417,0.9733309543751376,-0.6376277567385977,0.9411723783118989,0.8754340005044875,-0.9647043503884253,-0.9500932305244568,-0.9423971737716026,0.17410884721088984,-0.9107362496381238,-0.11415738978757306,0.8837589836903087,-0.9788115036373312,-0.8543603525730779,-0.7509670733925392,-0.8293950280956179,0.11491741421933174,-0.6363943923059009,0.4000487381648959
PM10,0.9769036094698619,1.0,0.9481927125288201,0.7258008606610261,0.9531921405380637,-0.7473096254131801,0.8907502106066575,0.8943204566570498,-0.9687227104565658,-0.9429512205978854,-0.9356033863356449,0.3681575052251959,-0.9466013649542364,-0.061808243307901294,0.9239358983994691,-0.9794472653167939,-0.7961671481418034,-0.6868004292690809,-0.8781795192181715,-0.024418595093922104,-0.6957679128071975,0.41464448031100337
SO2,0.9351083695094801,0.9481927125288201,1.0,0.7138329023484846,0.9004731410871845,-0.7187102768563141,0.8656350318942767,0.7335683727264913,-0.8842167579217172,-0.8291752466491836,-0.8115820485817303,0.2065386537129296,-0.9108514026950238,-0.17325689176840645,0.9710176346835294,-0.9378717550823379,-0.6469664216276658,-0.4921346485607579,-0.7371974522298922,-0.008003127663816374,-0.5182183876889882,0.24978544166622044
NO2,0.825001307221417,0.7258008606610261,0.7138329023484846,1.0,0.86830110195952,-0.19801540247720112,0.9112500012243528,0.6087450465720725,-0.7541296231758883,-0.7259832547193806,-0.727837625708574,-0.5139395311953948,-0.4387880614755606,0.139029330524414,0.40957302316400174,-0.6146125657153657,-0.7532514980283331,-0.6494601927062671,-0.645785543172055,0.5662988914187674,-0.23874476606955466,0.5625042039992191
CO,0.9733309543751376,0.9531921405380637,0.9004731410871845,0.86830110195952,1.0,-0.6059730521440547,0.9393784583277557,0.871689086299508,-0.9485628587891015,-0.9275346987614624,-0.9287571093699291,0.1344202436369181,-0.8097085187180366,-0.03883103031696442,0.771612433984841,-0.9669790613337903,-0.8394034703276838,-0.7190021982465823,-0.8781779255341077,0.16319263279048288,-0.5438063258854618,0.5000636738396598
O3,-0.6376277567385977,-0.7473096254131801,-0.7187102768563141,-0.19801540247720112,-0.6059730521440547,1.0,-0.383085864667208,-0.7545483088879089,0.678178065604137,0.6592583700085306,0.6561659951941877,-0.607846715713461,0.9219809973830779,0.38872765464781306,-0.7946013344379005,0.8280299845718366,0.3706566430258945,0.3011046836125475,0.7394478839052904,0.6626787980778802,0.520135119920734,-0.13141175800901708
AQI,0.9411723783118989,0.8907502106066575,0.8656350318942767,0.9112500012243528,0.9393784583277557,-0.383085864667208,1.0,0.7308824419459125,-0.868692981225744,-0.840196812302844,-0.8327343614608619,-0.09567931434212783,-0.7182855986084686,0.17418140726866357,0.7303765024131885,-0.8220212636354768,-0.8092530078066116,-0.6892605961621401,-0.7287248707060574,0.42047876539887385,-0.5589373090739214,0.4241594624147147
PR,0.8754340005044875,0.8943204566570498,0.7335683727264913,0.6087450465720725,0.871689086299508,-0.7545483088879089,0.7308824419459125,1.0,-0.9014296799510623,-0.9309343455328407,-0.9410383076737575,0.4396558582003686,-0.8489270849955594,-0.12645971451407254,0.5991835014685769,-0.8398335057313996,-0.8237267961361074,-0.7971004698244427,-0.8702019460735727,-0.16879096224817802,-0.737938341243383,0.4545555563451866
PCDI,-0.9647043503884253,-0.9687227104565658,-0.8842167579217172,-0.7541296231758883,-0.9485628587891015,0.678178065604137,-0.868692981225744,-0.9014296799510623,1.0,0.9891790994253734,0.9852372817093897,-0.3955610032577791,0.892055667533917,0.11293322727989828,-0.8842716902950314,0.988209907979926,0.9001055338002864,0.8104996972678885,0.9282896349813315,-0.016103094531578203,0.6579928610925725,-0.543442448534082
GRDP,-0.9500932305244568,-0.9429512205978854,-0.8291752466491836,-0.7259832547193806,-0.9275346987614624,0.6592583700085306,-0.840196812302844,-0.9309343455328407,0.9891790994253734,1.0,0.9987300723638849,-0.4390721085411487,0.8998973403156308,0.173104882988176,-0.818444290422366,0.9727464594519769,0.9368922476330944,0.8732184620660266,0.9211401784944079,0.003511431896030147,0.6964430933126861,-0.5185658167484513
