,PM2.5,PM10,SO2,NO2,CO,O3,AQI,PR,PCDI,GRDP,PGDP,EDUL,UGA,TAAA,FEC,NGC,EC,TSI,CVO,RAAT,RAAP,RAAWS
PM2.5,1.0,0.9896754358747837,0.8768622917580775,0.3000190210985639,0.9785265437312574,-0.7524107364588541,0.8772692735822222,-0.9230368559026957,-0.941665146054875,-0.9259829731446505,-0.9258376981146031,0.03985833526130886,-0.91632852673143,0.22068978672152584,-0.7396315988864971,-0.7937652094294393,-0.9307403423991788,-0.8957838606273169,-0.9087348142178525,-0.5824445727267856,0.6051041523427069,0.0006270011473016043
PM10,0.9896754358747837,1.0,0.826030954745078,0.24513601844951746,0.9571415158337608,-0.7360180628331268,0.9179898454785392,-0.8775604436996421,-0.8878443121717065,-0.8677759731272465,-0.8676317090165201,-0.04788110712968666,-0.8571524415482128,0.16578088849814057,-0.6330844997972278,-0.6878018936484332,-0.8722391223268753,-0.8257613779747227,-0.8472176642713154,-0.5679416799090926,0.5118536606157594,-0.08075572556414727
SO2,0.8768622917580775,0.826030954745078,1.0,0.3638019919568826,0.9427920748903312,-0.7675909030844352,0.6104605183808153,-0.972983423146401,-0.9564272012220093,-0.970073021384325,-0.9700346123739544,0.42050914850361854,-0.9606353776702257,0.42712891982130896,-0.9963629000113451,-0.9840393278770574,-0.9538984081054519,-0.9486486511230644,-0.9702812703244511,-0.5598982725006343,0.7671778502886947,0.3510086275254634
NO2,0.3000190210985639,0.24513601844951746,0.3638019919568826,1.0,0.3113596432302454,0.2832197002022729,0.3777975749527653,-0.2230994765214027,-0.3601629182789542,-0.3605033783347451,-0.35873548014499357,-0.3351559592335272,-0.057963180020205014,-0.40250552865270667,-0.0319017076956419,0.08822730123682433,-0.39631298101309226,-0.43516273263631716,-0.0005493532550964711,-0.1443839754113023,0.6346060318666168,0.6455551347201725
CO,0.9785265437312574,0.9571415158337608,0.9427920748903312,0.3113596432302454,1.0,-0.7869234131363188,0.8044866979173765,-0.9582994855377918,-0.958179040389857,-0.9596397813048781,-0.959823641555088,0.20513154050101523,-0.9440533826038003,0.3342960417463279,-0.8814033703085321,-0.9073178125459764,-0.9517946613577933,-0.9303102699801449,-0.949546844556574,-0.5898181413200948,0.6420387913777632,0.09033851639364471
O3,-0.7524107364588541,-0.7360180628331268,-0.7675909030844352,0.2832197002022729,-0.7869234131363188,1.0,-0.4358607651611059,0.8602354704804464,0.7699824912266197,0.7758664467350722,0.7770609323555022,-0.3832352223422218,0.8345963156261514,-0.5140531809798127,0.7453867218258423,0.8222298790482054,0.7384146281427442,0.7054519982002438,0.8729554897169137,0.41383151735863494,-0.3875692942702856,0.16595761499624018
AQI,0.8772692735822222,0.9179898454785392,0.6104605183808153,0.3777975749527653,0.8044866979173765,-0.4358607651611059,1.0,-0.6397847412017248,-0.6889683007360385,-0.6588053923814898,-0.6582248232363624,-0.44017406573933526,-0.5694546499794786,-0.1652802643679263,-0.24931438072755033,-0.24996881950962316,-0.6801704905084809,-0.6313762145706765,-0.5423389619956387,-0.5472148692916552,0.3251343760245929,-0.16651041709295758
PR,-0.9230368559026957,-0.8775604436996421,-0.972983423146401,-0.2230994765214027,-0.9582994855377918,0.8602354704804464,-0.6397847412017248,1.0,0.9817942269658031,0.9836253563389792,0.9837008653763725,-0.43116400282844874,0.9879988958959851,-0.47597575147380156,0.9268526826823537,0.9705678915235424,0.9719869794128274,0.9535028714219175,0.9987103326396208,0.5651895569365167,-0.7248665903658813,-0.20097871700944722
PCDI,-0.941665146054875,-0.8878443121717065,-0.9564272012220093,-0.3601629182789542,-0.958179040389857,0.7699824912266197,-0.6889683007360385,0.9817942269658031,1.0,0.9956706142961824,0.9954344652035434,-0.3841046660646868,0.9988839211306574,-0.4191379747639052,0.9345177413337413,0.9845756527339524,0.9973642509560695,0.9843225251496887,0.9972289875213058,0.5694511993500795,-0.7851442292939149,-0.2408025623111943
GRDP,-0.9259829731446505,-0.8677759731272465,-0.970073021384325,-0.3605033783347451,-0.9596397813048781,0.7758664467350722,-0.6588053923814898,0.9836253563389792,0.9956706142961824,1.0,0.9999938885816189,-0.4227617222146759,0.9869721268866358,-0.4575932572341432,0.9639826738981269,0.9942007402913311,0.9961414896473779,0.9914085361362189,0.9945565472915123,0.5840517667496032,-0.7775449207690585,-0.25110694477333
PGDP,-0.9258376981146031,-0.8676317090165201,-0.9700346123739544,-0.35873548014499357,-0.959823641555088,0.7770609323555022,-0.6582248232363624,0.9837008653763725,0.9954344652035434,0.9999938885816189,1.0,-0.4231158995766941,0.986452006192187,-0.45896561984071343,0.9639417686441134,0.9940261365175925,0.9959232067556999,0.9913566003506636,0.994441835234317,0.5844687699560469,-0.776147776508877,-0.24912870765899855
EDUL,0.03985833526130886,-0.04788110712968666,0.42050914850361854,-0.3351559592335272,0.20513154050101523,-0.3832352223422218,-0.44017406573933526,-0.43116400282844874,-0.3841046660646868,-0.4227617222146759,-0.4231158995766941,1.0,-0.3816980206168018,0.969841317984978,-0.38874741529162576,-0.4411290230532031,-0.43814502990212173,-0.46906637726707,-0.41285201985540176,-0.43097235190330463,0.2257627973274823,0.31868737522277224
UGA,-0.91632852673143,-0.8571524415482128,-0.9606353776702257,-0.057963180020205014,-0.9440533826038003,0.8345963156261514,-0.5694546499794786,0.9879988958959851,0.9988839211306574,0.9869721268866358,0.986452006192187,-0.3816980206168018,1.0,-0.41511736857966286,0.9187001089410765,0.9792605704318967,0.9950371046193982,0.9719174073038448,0.994335043561004,0.3392279740921539,-0.7058444630614462,-0.28354755383576774
