,PM2.5,PM10,SO2,NO2,CO,O3,AQI,PR,PCDI,GRDP,PGDP,EDUL,UGA,TAAA,FEC,NGC,EC,TSI,CVO,RAAT,RAAP,RAAWS
PM2.5,1.0,0.9821620106846646,0.9401666473941798,0.7633090240709981,0.9079608425596808,-0.7793899902707876,0.9352604976514168,-0.8978408870672157,-0.9294108099778617,-0.9384954550156548,-0.9379150775821018,0.5126785668474793,-0.8797309356390772,0.42271124760819834,0.7859028668007181,-0.9603471245032749,-0.9531290848961659,-0.9534371115115383,-0.8936942399524619,-0.9038439416408511,0.46808463570811376,-0.14385975159214284
PM10,0.9821620106846646,1.0,0.903894534379232,0.8230082827003272,0.9195360102961471,-0.6920598652481885,0.909858658968024,-0.8458211590166196,-0.9214344543582366,-0.9311847921723679,-0.931427748970668,0.554548584595023,-0.8693118967937045,0.2264376044379804,0.8011625896455032,-0.9046389337810623,-0.9643687951646984,-0.9363827262191267,-0.9036135701369955,-0.8751943276512232,0.5409387883945185,-0.10284448421724665
SO2,0.9401666473941798,0.903894534379232,1.0,0.7693861350719358,0.9599861475417775,-0.8911632551631011,0.8151954970437093,-0.9797786775360202,-0.9647029399508534,-0.975745090601195,-0.9743173695802438,0.37833097967333873,-0.9638823566675269,0.44320941347338844,0.9230541494004905,-0.9708839130615583,-0.9311446412418954,-0.9754845585651218,-0.9566132250742542,-0.8525574875591312,0.5806986288884833,-0.057481299516789375
NO2,0.7633090240709981,0.8230082827003272,0.7693861350719358,1.0,0.8921387072991254,-0.43561265272669747,0.5744788188942752,-0.7045680193187069,-0.8965010478660496,-0.8792637525860626,-0.8804094406515548,0.3706232308574783,-0.871332058155471,-0.14115312728983856,0.8417316342377413,-0.5838541358273753,-0.8787947930868346,-0.8090350006769707,-0.8914165052855941,-0.6915145427015224,0.8347138573150433,0.24925517537519085
CO,0.9079608425596808,0.9195360102961471,0.9599861475417775,0.8921387072991254,1.0,-0.7523997970374912,0.7556544855076505,-0.9099341902875615,-0.9794062149764307,-0.9854034063559274,-0.9853078538535429,0.3044789421312568,-0.9693683907554397,0.17953090587395415,0.9682593194897157,-0.8759948719976609,-0.9559015886660766,-0.9624428515258835,-0.975486212155227,-0.7869094664545119,0.7328202348775374,0.034945979344438105
O3,-0.7793899902707876,-0.6920598652481885,-0.8911632551631011,-0.43561265272669747,-0.7523997970374912,1.0,-0.6678824389548674,0.9169760389810804,0.7690782247063515,0.7958679142596783,0.7932602062920113,-0.4464223939793737,0.8453321591326053,-0.6458246591034287,-0.8767465417506468,0.9735068633769982,0.7152447552369523,0.8378858101441868,0.8308013302272504,0.7920011544248841,-0.3175290226552929,0.17227541399763754
AQI,0.9352604976514168,0.909858658968024,0.8151954970437093,0.5744788188942752,0.7556544855076505,-0.6678824389548674,1.0,-0.7921110525507955,-0.7606104833320522,-0.7739554082271878,-0.7720636296965706,0.39395808349275413,-0.7022722928115184,0.37916217715203443,0.5125954693630179,-0.7913021919885036,-0.8174681199308703,-0.7993107863348167,-0.7182846147928993,-0.7584025163938426,0.2630769717652945,-0.22581803728620414
PR,-0.8978408870672157,-0.8458211590166196,-0.9797786775360202,-0.7045680193187069,-0.9099341902875615,0.9169760389810804,-0.7921110525507955,1.0,0.9205623781126687,0.9288098819371537,0.9256122742072228,-0.4261454448987059,0.9737991117019651,-0.4684925036288048,-0.8982218515209823,0.9829968699972691,0.8589458703034166,0.9181839822651165,0.9598575581616581,0.827643437646746,-0.5696574452995667,-0.039006010353117467
PCDI,-0.9294108099778617,-0.9214344543582366,-0.9647029399508534,-0.8965010478660496,-0.9794062149764307,0.7690782247063515,-0.7606104833320522,0.9205623781126687,1.0,0.9964085368622111,0.9961542164880377,-0.3850976770120835,0.9948358736699976,-0.32374413638287014,-0.9658780176457289,0.948073029859535,0.9604827248341345,0.9749000349283965,0.9880550490809775,0.8608723598574392,-0.7031371180664582,-0.06222653227654317
GRDP,-0.9384954550156548,-0.9311847921723679,-0.975745090601195,-0.8792637525860626,-0.9854034063559274,0.7958679142596783,-0.7739554082271878,0.9288098819371537,0.9964085368622111,1.0,0.9999531648714647,-0.4119121431835111,0.9829794021476368,-0.3344726543220381,-0.9655995287743966,0.9492189363546933,0.9721677815895645,0.9868424507336941,0.984333506293139,0.8686521074522138,-0.6722478900093133,0.0012389574969055655
PGDP,-0.9379150775821018,-0.931427748970668,-0.9743173695802438,-0.8804094406515548,-0.9853078538535429,0.7932602062920113,-0.7720636296965706,0.9256122742072228,0.9961542164880377,0.9999531648714647,1.0,-0.41172563308680904,0.9816620951476418,-0.33301009166426027,-0.966461177985558,0.9476153258282821,0.9734181892335378,0.9873619348680404,0.9836275707420419,0.868703761890529,-0.6711800271443302,0.006026584241351021
EDUL,0.5126785668474793,0.554548584595023,0.37833097967333873,0.3706232308574783,0.3044789421312568,-0.4464223939793737,0.39395808349275413,-0.4261454448987059,-0.3850976770120835,-0.4119121431835111,-0.41172563308680904,1.0,-0.40332943440909985,0.27219037270966545,0.3959002000129495,-0.548991196101006,-0.5137578201849023,-0.42894218204219614,-0.5008492971360408,-0.7977173603489972,-0.06874456030014882,-0.2918448569467019
UGA,-0.8797309356390772,-0.8693118967937045,-0.9638823566675269,-0.871332058155471,-0.9693683907554397,0.8453321591326053,-0.7022722928115184,0.9737991117019651,0.9948358736699976,0.9829794021476368,0.9816620951476418,-0.40332943440909985,1.0,-0.27345786079531287,-0.9730785093382524,0.9451054637531734,0.917648623742546,0.9345247187490809,0.9917855014475104,0.7774614853431299,-0.7002370933326715,-0.20666617893086953
TAAA,0.42271124760819834,0.2264376044379804,0.44320941347338844,-0.14115312728983856,0.17953090587395415,-0.6458246591034287,0.37916217715203443,-0.4684925036288048,-0.32374413638287014,-0.3344726543220381,-0.33301009166426027,0.27219037270966545,-0.27345786079531287,1.0,0.30550771110352104,-0.6456395787314877,-0.3083991137038194,-0.42116414162845445,-0.22546755131299248,-0.5553260567014461,-0.3882801826233989,-0.44341589291559214
FEC,0.7859028668007181,0.8011625896455032,0.9230541494004905,0.8417316342377413,0.9682593194897157,-0.8767465417506468,0.5125954693630179,-0.8982218515209823,-0.9658780176457289,-0.9655995287743966,-0.966461177985558,0.3959002000129495,-0.9730785093382524,0.30550771110352104,1.0,-0.8728384507345562,-0.8933720856625618,-0.949557397968186,-0.9762189431654148,-0.7433339360740288,0.601173907520946,-0.3603922790033573
NGC,-0.9603471245032749,-0.9046389337810623,-0.9708839130615583,-0.5838541358273753,-0.8759948719976609,0.9735068633769982,-0.7913021919885036,0.9829968699972691,0.948073029859535,0.9492189363546933,0.9476153258282821,-0.548991196101006,0.9451054637531734,-0.6456395787314877,-0.8728384507345562,1.0,0.9224660642711872,0.9713708415395246,0.940377877046827,0.9237004204144391,-0.14648681212295495,0.6087884103021743
EC,-0.9531290848961659,-0.9643687951646984,-0.9311446412418954,-0.8787947930868346,-0.9559015886660766,0.7152447552369523,-0.8174681199308703,0.8589458703034166,0.9604827248341345,0.9721677815895645,0.9734181892335378,-0.5137578201849023,0.917648623742546,-0.3083991137038194,-0.8933720856625618,0.9224660642711872,1.0,0.9700536855176883,0.9469625119489765,0.8742666334836787,-0.5725706371943748,0.1477915318333474
TSI,-0.9534371115115383,-0.9363827262191267,-0.9754845585651218,-0.8090350006769707,-0.9624428515258835,0.8378858101441868,-0.7993107863348167,0.9181839822651165,0.9749000349283965,0.9868424507336941,0.9873619348680404,-0.42894218204219614,0.9345247187490809,-0.42116414162845445,-0.949557397968186,0.9713708415395246,0.9700536855176883,1.0,0.9400236130390077,0.894314563430794,-0.5698722530470312,0.12972319607765467
CVO,-0.8936942399524619,-0.9036135701369955,-0.9566132250742542,-0.8914165052855941,-0.975486212155227,0.8308013302272504,-0.7182846147928993,0.9598575581616581,0.9880550490809775,0.984333506293139,0.9836275707420419,-0.5008492971360408,0.9917855014475104,-0.22546755131299248,-0.9762189431654148,0.940377877046827,0.9469625119489765,0.9400236130390077,1.0,0.8008234432964947,-0.6900123178585316,-0.1642515460748429
RAAT,-0.9038439416408511,-0.8751943276512232,-0.8525574875591312,-0.6915145427015224,-0.7869094664545119,0.7920011544248841,-0.7584025163938426,0.827643437646746,0.8608723598574392,0.8686521074522138,0.868703761890529,-0.7977173603489972,0.7774614853431299,-0.5553260567014461,-0.7433339360740288,0.9237004204144391,0.8742666334836787,0.894314563430794,0.8008234432964947,1.0,-0.394273327988899,0.1117937265004689
