,PM2.5,PM10,SO2,NO2,CO,O3,AQI,PR,PCDI,GRDP,PGDP,EDUL,UGA,TAAA,FEC,NGC,EC,TSI,CVO,RAAT,RAAP,RAAWS
PM2.5,1.0,0.9966228281017867,0.9652382964570339,0.9399508963594273,0.9001376507527703,-0.7033018803969192,0.9897309924000744,-0.0449695875173286,-0.9282962240641958,-0.908917841375355,-0.9032027427061323,0.22569884464642898,-0.8945984501707064,-0.4127463021233917,-0.05391459883042358,-0.7736366625062331,-0.8546682773136275,-0.8383321622451497,-0.9332797183183443,-0.781979273731821,0.43537664396553416,-0.17918237178070417
PM10,0.9966228281017867,1.0,0.968722860690828,0.9396608277020633,0.8714910834600839,-0.6782290889189152,0.994991065831323,-0.03615699640754764,-0.9069151959066037,-0.8861803080758613,-0.8804834202749056,0.1838701288265801,-0.8819251825180356,-0.39482129272034466,-0.0026207142586345783,-0.7402338250305538,-0.8268237068117305,-0.8100260659391258,-0.9162626863492807,-0.7574461308770625,0.393669697385581,-0.17194301805542744
SO2,0.9652382964570339,0.968722860690828,1.0,0.9294131668411164,0.7773496866637903,-0.7910284531064936,0.9617210161273738,-0.19586808912280793,-0.8298141354803463,-0.806070947482943,-0.7935807619447343,0.07862472433586111,-0.7877574524308191,-0.4696471765382914,-0.05912885694737578,-0.6670107952694833,-0.7231903932751064,-0.7679892207883972,-0.8442258510846532,-0.7342772396445868,0.2904323565248964,-0.27119498634357675
NO2,0.9399508963594273,0.9396608277020633,0.9294131668411164,1.0,0.8354953017826044,-0.7016687460637175,0.9439236488044173,0.09634364431007299,-0.8347656661712665,-0.7989263879482001,-0.8002231849747867,-0.1619094712170291,-0.8258029768368604,-0.22733149231599448,0.05046805444317057,-0.5777663289977643,-0.7589906209961694,-0.6959740172277153,-0.8195417292411766,-0.6299293352824824,0.45381059215379316,-0.012733720806011458
CO,0.9001376507527703,0.8714910834600839,0.7773496866637903,0.8354953017826044,1.0,-0.6071967761393349,0.8555690937535174,0.12045242395300301,-0.9653291864465015,-0.9568615955443862,-0.9579935988869795,0.4079424498666919,-0.9528368789463791,-0.34655998586208714,-0.21281848810267115,-0.9405731086236951,-0.9558251564945339,-0.8780592593618592,-0.9601176352356744,-0.7465834370217019,0.7181336550520949,-0.013953691780072473
O3,-0.7033018803969192,-0.6782290889189152,-0.7910284531064936,-0.7016687460637175,-0.6071967761393349,1.0,-0.6307782213852484,0.3524391829745749,0.6748966966824932,0.6498328801856623,0.6293965284550078,0.02566063928146173,0.6277748692770714,0.7126204167149306,0.5495597515756246,0.6750786953571911,0.5761915131308543,0.6882546788143965,0.7010058095769117,0.5355961069926369,-0.4682377635204851,0.13577093225143907
AQI,0.9897309924000744,0.994991065831323,0.9617210161273738,0.9439236488044173,0.8555690937535174,-0.6307782213852484,1.0,-0.012923921071327059,-0.8767245108358761,-0.8546204797288378,-0.8502222334297941,0.17676170538406474,-0.8563348476042643,-0.3060746132623504,0.10319382584340975,-0.6799362395344187,-0.7961486757222045,-0.7707112958705467,-0.8854934500989847,-0.7476829303609976,0.3378734487881991,-0.20271330422506612
PR,-0.0449695875173286,-0.03615699640754764,-0.19586808912280793,0.09634364431007299,0.12045242395300301,0.3524391829745749,-0.012923921071327059,1.0,-0.015682759468011776,0.0458157102886654,0.011080074651273475,-0.36867585436089095,-0.1816751052884658,0.6800961058161237,0.19158504146231004,0.8347178986019332,-0.044968985910004214,0.3062356955339289,-0.009480842218874384,0.43515931584431994,0.3395582968593188,0.769632268443459
PCDI,-0.9282962240641958,-0.9069151959066037,-0.8298141354803463,-0.8347656661712665,-0.9653291864465015,0.6748966966824932,-0.8767245108358761,-0.015682759468011776,1.0,0.9947014317409121,0.9946032251480422,-0.381953002764878,0.9513849605673883,0.5632045890098992,0.3529849983665906,0.9531308814038072,0.981017689783901,0.9327903254260312,0.9895875307028412,0.8070338134422125,-0.684260593290243,0.009279409745799211
GRDP,-0.908917841375355,-0.8861803080758613,-0.806070947482943,-0.7989263879482001,-0.9568615955443862,0.6498328801856623,-0.8546204797288378,0.0458157102886654,0.9947014317409121,1.0,0.9988959969332818,-0.4112596361708125,0.9195806847402092,0.6099916319378985,0.3175831486151934,0.9721373742357239,0.988046338305482,0.9599170318407106,0.9700303746854566,0.845122879209059,-0.6741682534860676,0.054592059453764975
