,PM2.5,PM10,SO2,NO2,CO,O3,AQI,PR,PCDI,GRDP,PGDP,EDUL,UGA,TAAA,FEC,NGC,EC,TSI,CVO,RAAT,RAAP,RAAWS
PM2.5,1.0,0.987633305653345,0.9584615590968486,0.9220087698731253,0.932861374938488,-0.6519110624674007,0.9841760293331656,-0.7321298030847849,-0.8999362332869661,-0.8994173805920088,-0.8985582473158386,0.13276898297377954,-0.8783426732975835,-0.9037175097848591,-0.3625485857150768,-0.8450282700659695,-0.8286761126381488,-0.8234312956112148,-0.9075000452354375,-0.27135518046025797,0.5425795100851368,-0.4726767124390311
PM10,0.987633305653345,1.0,0.9760162072246271,0.9439021218869088,0.966561217183885,-0.5804839755623202,0.9738671746767983,-0.7327444558217545,-0.9522770358139815,-0.9496800644774486,-0.9489101833322494,0.17991147825226134,-0.9403194427526792,-0.8647734842098003,-0.29403536767053556,-0.8982362917789417,-0.8964960065977372,-0.887502710682753,-0.9597618095338146,-0.2860006214657311,0.6575046854697015,-0.3551152489577519
SO2,0.9584615590968486,0.9760162072246271,1.0,0.8574566474318152,0.9295626678672967,-0.6287436395154475,0.9140979777955868,-0.8104061537188425,-0.9490744919511886,-0.9464855345827131,-0.9453669277639313,0.35910159428664085,-0.9559682171167934,-0.8071367847702974,-0.2590306862609471,-0.914212483588434,-0.8884364493999543,-0.8584208928749347,-0.9804864225115133,-0.21244538626091253,0.6222116498835021,-0.3719901915465032
NO2,0.9220087698731253,0.9439021218869088,0.8574566474318152,1.0,0.9622880456032322,-0.3698467256800821,0.9621988183973673,-0.5586569368189859,-0.8988848500378501,-0.8921166398018443,-0.8919027286633403,-0.09143362699869055,-0.8576722469031892,-0.7849041766050145,-0.14681889293958397,-0.8230064430559314,-0.8698154137629794,-0.8787597984109198,-0.858655592467067,-0.36004884038712526,0.7452471675954961,-0.22217311275567844
CO,0.932861374938488,0.966561217183885,0.9295626678672967,0.9622880456032322,1.0,-0.46116224762085,0.9356891972501817,-0.6302225711376133,-0.9619477354549759,-0.9568736937419953,-0.9565990365217895,0.1898450561723693,-0.9250436383676137,-0.7592601750798883,0.006325091988871273,-0.9771536470964105,-0.9387763292086464,-0.9290286277329806,-0.9485685688062256,-0.3460188398485541,0.7792371133874677,-0.22405765713832132
O3,-0.6519110624674007,-0.5804839755623202,-0.6287436395154475,-0.3698467256800821,-0.46116224762085,1.0,-0.5470709939873739,0.5798037318539738,0.4537287422512722,0.47258470137120684,0.4717136004715899,-0.10363310215014754,0.42511342461274626,0.7503438121883703,0.5165331590340027,0.779654492880185,0.3359355924784739,0.3763726672543921,0.5323218457708526,-0.01193616893687684,0.09711682484550047,0.7308742704763035
AQI,0.9841760293331656,0.9738671746767983,0.9140979777955868,0.9621988183973673,0.9356891972501817,-0.5470709939873739,1.0,-0.692509480732655,-0.873773170083996,-0.8687724348540741,-0.867920869912253,0.037322621595106534,-0.8583164939995397,-0.8704344317122007,-0.3358486245285727,-0.7944514608223684,-0.8067579362027778,-0.8056334550518757,-0.8744803944585654,-0.2616173262807492,0.5814749749768557,-0.44302787138576755
PR,-0.7321298030847849,-0.7327444558217545,-0.8104061537188425,-0.5586569368189859,-0.6302225711376133,0.5798037318539738,-0.692509480732655,1.0,0.6342014511572981,0.6167321134479387,0.6135568301447035,-0.47455398367276197,0.965733577385685,0.7288345117237611,0.32963033474980646,0.8702031411890262,0.5137466009617343,0.4519805793619277,0.9831837190880071,-0.3724020757739845,-0.34769841674628266,0.5511435768693833
PCDI,-0.8999362332869661,-0.9522770358139815,-0.9490744919511886,-0.8988848500378501,-0.9619477354549759,0.4537287422512722,-0.873773170083996,0.6342014511572981,1.0,0.9990402276584007,0.9989131659718582,-0.38416496401634054,0.988374322672542,0.7234842348404165,0.139116412243517,0.9423343187009421,0.9841686810990716,0.9724522705792479,0.9994720319748351,0.4061665168785814,-0.7860777228573478,0.12973644624166508
GRDP,-0.8994173805920088,-0.9496800644774486,-0.9464855345827131,-0.8921166398018443,-0.9568736937419953,0.47258470137120684,-0.8687724348540741,0.6167321134479387,0.9990402276584007,1.0,0.9999914773059272,-0.3695129227454631,0.9835148674807763,0.7411556006621385,0.16501374168447192,0.9378601048696854,0.9840818229952435,0.9765713512189035,0.9985035868117098,0.43098972926128765,-0.770768603583437,0.13085793468888895
PGDP,-0.8985582473158386,-0.9489101833322494,-0.9453669277639313,-0.8919027286633403,-0.9565990365217895,0.4717136004715899,-0.867920869912253,0.6135568301447035,0.9989131659718582,0.9999914773059272,1.0,-0.36903745896189727,0.9833407078509261,0.7412608458903862,0.16448437746557873,0.9381536189714759,0.9844643779020483,0.9773185602344983,0.9984563797986398,0.43437639516907917,-0.7709520711598531,0.12897139005463382
EDUL,0.13276898297377954,0.17991147825226134,0.35910159428664085,-0.09143362699869055,0.1898450561723693,-0.10363310215014754,0.037322621595106534,-0.47455398367276197,-0.38416496401634054,-0.3695129227454631,-0.36903745896189727,1.0,-0.4070469089101971,0.22836614177936193,-0.018678620994334913,-0.27180253058484843,-0.39937608249847273,-0.2690506178677661,-0.3968242489088141,-0.004632722679281379,0.06761256292133311,-0.24520237055377692
UGA,-0.8783426732975835,-0.9403194427526792,-0.9559682171167934,-0.8576722469031892,-0.9250436383676137,0.42511342461274626,-0.8583164939995397,0.965733577385685,0.988374322672542,0.9835148674807763,0.9833407078509261,-0.4070469089101971,1.0,0.6957684508423061,0.14963990327334056,0.8896062830220384,0.9808855315644492,0.9638257997821783,0.9893234214630937,-0.5843735874590593,-0.7258045923651937,0.328244750335541
TAAA,-0.9037175097848591,-0.8647734842098003,-0.8071367847702974,-0.7849041766050145,-0.7592601750798883,0.7503438121883703,-0.8704344317122007,0.7288345117237611,0.7234842348404165,0.7411556006621385,0.7412608458903862,0.22836614177936193,0.6957684508423061,1.0,0.41084545667772454,0.7063147717625308,0.6455468554598643,0.7029146484392612,0.7283294884387369,-0.24909963280773742,-0.25472057408372756,0.5767560538386715
FEC,-0.3625485857150768,-0.29403536767053556,-0.2590306862609471,-0.14681889293958397,0.006325091988871273,0.5165331590340027,-0.3358486245285727,0.32963033474980646,0.139116412243517,0.16501374168447192,0.16448437746557873,-0.018678620994334913,0.14963990327334056,0.41084545667772454,1.0,-0.0767128767481587,-0.0640049075307845,0.08414921385463246,0.15812876431865908,0.15738586046989186,0.7532453193796276,0.586875198595112
NGC,-0.8450282700659695,-0.8982362917789417,-0.914212483588434,-0.8230064430559314,-0.9771536470964105,0.779654492880185,-0.7944514608223684,0.8702031411890262,0.9423343187009421,0.9378601048696854,0.9381536189714759,-0.27180253058484843,0.8896062830220384,0.7063147717625308,-0.0767128767481587,1.0,0.933887336034943,0.9515720290550808,0.9372525509343594,-0.44928523526119585,-0.531176058453393,0.5092998301686636
EC,-0.8286761126381488,-0.8964960065977372,-0.8884364493999543,-0.8698154137629794,-0.9387763292086464,0.3359355924784739,-0.8067579362027778,0.5137466009617343,0.9841686810990716,0.9840818229952435,0.9844643779020483,-0.39937608249847273,0.9808855315644492,0.6455468554598643,-0.0640049075307845,0.933887336034943,1.0,0.983762095111015,0.9805541644116145,0.5006738396578749,-0.8465216188111853,-0.023693173654169182
TSI,-0.8234312956112148,-0.887502710682753,-0.8584208928749347,-0.8787597984109198,-0.9290286277329806,0.3763726672543921,-0.8056334550518757,0.4519805793619277,0.9724522705792479,0.9765713512189035,0.9773185602344983,-0.2690506178677661,0.9638257997821783,0.7029146484392612,0.08414921385463246,0.9515720290550808,0.983762095111015,1.0,0.9784155694277835,0.5426786070195265,-0.8132151805858044,-0.009115217095290703
CVO,-0.9075000452354375,-0.9597618095338146,-0.9804864225115133,-0.858655592467067,-0.9485685688062256,0.5323218457708526,-0.8744803944585654,0.9831837190880071,0.9994720319748351,0.9985035868117098,0.9984563797986398,-0.3968242489088141,0.9893234214630937,0.7283294884387369,0.15812876431865908,0.9372525509343594,0.9805541644116145,0.9784155694277835,1.0,-0.6043272931207448,-0.6781146568138459,0.41551915819689944
RAAT,-0.27135518046025797,-0.2860006214657311,-0.21244538626091253,-0.36004884038712526,-0.3460188398485541,-0.01193616893687684,-0.2616173262807492,-0.3724020757739845,0.4061665168785814,0.43098972926128765,0.43437639516907917,-0.004632722679281379,-0.5843735874590593,-0.24909963280773742,0.15738586046989186,-0.44928523526119585,0.5006738396578749,0.5426786070195265,-0.6043272931207448,1.0,-0.28735338220273005,-0.24962812674441026
RAAP,0.5425795100851368,0.6575046854697015,0.6222116498835021,0.7452471675954961,0.7792371133874677,0.09711682484550047,0.5814749749768557,-0.34769841674628266,-0.7860777228573478,-0.770768603583437,-0.7709520711598531,0.06761256292133311,-0.7258045923651937,-0.25472057408372756,0.7532453193796276,-0.531176058453393,-0.8465216188111853,-0.8132151805858044,-0.6781146568138459,-0.28735338220273005,1.0,0.38666442011306834
RAAWS,-0.4726767124390311,-0.3551152489577519,-0.3719901915465032,-0.22217311275567844,-0.22405765713832132,0.7308742704763035,-0.44302787138576755,0.5511435768693833,0.12973644624166508,0.13085793468888895,0.12897139005463382,-0.24520237055377692,0.328244750335541,0.5767560538386715,0.586875198595112,0.5092998301686636,-0.023693173654169182,-0.009115217095290703,0.41551915819689944,-0.24962812674441026,0.38666442011306834,1.0
