,PM2.5,PM10,SO2,NO2,CO,O3,AQI,PR,PCDI,GRDP,PGDP,EDUL,UGA,TAAA,FEC,NGC,EC,TSI,CVO,RAAT,RAAP,RAAWS
PM2.5,1.0,0.9875667761368087,0.9321186122454513,0.9226460264964462,0.9512153811818713,-0.3324761527432769,0.7444236745529496,0.8283523967996312,-0.9170738492341104,-0.8928215677461852,-0.891336207808751,0.373925482166463,-0.8453602425403233,-0.8497863484930503,0.6749115672538769,-0.9198180176669167,-0.8893504384304974,-0.6116925751635601,-0.86672588737532,0.2547653902551898,0.19906965298677654,0.2956094484417206
PM10,0.9875667761368087,1.0,0.9402780244995357,0.9103018530679713,0.9449234037607355,-0.3564851479628823,0.7715811283215658,0.7997676056370818,-0.8843707592070504,-0.8413406936892315,-0.8402773196389878,0.2445313370057369,-0.820765853834843,-0.911640906824257,0.7374396626508686,-0.8720810758972617,-0.837392724651092,-0.5151861907123788,-0.8592238974372962,0.1789688380372589,0.14767650420012832,0.26962113125855935
SO2,0.9321186122454513,0.9402780244995357,1.0,0.9400671221980824,0.9925594993590153,-0.45525901560068466,0.7877703450158169,0.8544146984867051,-0.9399384165013654,-0.8680882948496093,-0.8674895751472993,0.2708959271400822,-0.960750783338092,-0.877909059728748,0.7324968224095604,-0.921972635877526,-0.8337548164385978,-0.45514078490627147,-0.981967850530954,0.288690120933077,0.28896525730541156,0.4455353352992626
NO2,0.9226460264964462,0.9103018530679713,0.9400671221980824,1.0,0.9651757239524251,-0.15594107177393948,0.8840580659675493,0.8521187611171684,-0.9245277708521259,-0.8910571898016605,-0.8890744157921268,0.25479361918579957,-0.8633786167406147,-0.8228643772392127,0.76148118615739,-0.9379612249666542,-0.9022925657097993,-0.5814371694961673,-0.9108623139736839,0.48841989289933574,0.32922722443486446,0.435882720569774
CO,0.9512153811818713,0.9449234037607355,0.9925594993590153,0.9651757239524251,1.0,-0.39919183731983593,0.809245550527534,0.8568321191670348,-0.951075557696547,-0.8922341300052713,-0.8909730660967987,0.3469414519023295,-0.9528022455935943,-0.8469234004491201,0.7097394024064927,-0.9570915768110849,-0.8712088710310041,-0.5114000090886096,-0.971552758286644,0.36475015839534664,0.2901755768687269,0.4436088789938534
O3,-0.3324761527432769,-0.3564851479628823,-0.45525901560068466,-0.15594107177393948,-0.39919183731983593,1.0,-0.019568176885707955,-0.15866976136764885,0.3071430361110072,0.18343602149062624,0.18409124217749268,-0.3165018171859232,0.5957219955791218,0.3701161059183734,-0.17517170061994047,0.4266228338022767,0.07670005900455616,-0.21770064197119818,0.5152547480696583,0.23879710430417103,0.14589746968841094,-0.18726984720015974
AQI,0.7444236745529496,0.7715811283215658,0.7877703450158169,0.8840580659675493,0.809245550527534,-0.019568176885707955,1.0,0.560366921078748,-0.6571121041033235,-0.5933722617710735,-0.5900325652318065,0.18183711447407805,-0.7139467860727433,-0.8705272818106486,0.6979764605137203,-0.7911428276227601,-0.617831699508444,-0.24526466504871974,-0.7877175674301696,0.37544842647079607,-0.016955779533131845,0.14232851595606252
PR,0.8283523967996312,0.7997676056370818,0.8544146984867051,0.8521187611171684,0.8568321191670348,-0.15866976136764885,0.560366921078748,1.0,-0.9647476631395612,-0.9696333200580203,-0.9713386569598834,0.19309149573983964,-0.9389518835225311,-0.6986255267344902,0.7351493294319935,-0.9028165450452359,-0.9408245327214402,-0.7758534823250148,-0.9639599778146847,0.3503428994839803,0.673471784386547,0.5649919397847776
PCDI,-0.9170738492341104,-0.8843707592070504,-0.9399384165013654,-0.9245277708521259,-0.951075557696547,0.3071430361110072,-0.6571121041033235,-0.9647476631395612,1.0,0.9822058421453734,0.9822770194710483,-0.3791086339297989,0.9749110842604641,0.7392368140722985,-0.6805923498273472,0.9813922770866612,0.9541092082922246,0.712194742410033,0.9810619311907482,-0.39815020136751267,-0.5276875085307822,-0.5465880384871367
GRDP,-0.8928215677461852,-0.8413406936892315,-0.8680882948496093,-0.8910571898016605,-0.8922341300052713,0.18343602149062624,-0.5933722617710735,-0.9696333200580203,0.9822058421453734,1.0,0.9999664132715815,-0.43685141701588875,0.9347194206812731,0.6737872902694977,-0.6324813796893785,0.991167675439078,0.9793269223924657,0.8308785225131025,0.9376777321186281,-0.4123821791876418,-0.5740806297874561,-0.5115965943045411
PGDP,-0.891336207808751,-0.8402773196389878,-0.8674895751472993,-0.8890744157921268,-0.8909730660967987,0.18409124217749268,-0.5900325652318065,-0.9713386569598834,0.9822770194710483,0.9999664132715815,1.0,-0.43447164119653825,0.9370860660142584,0.6741974574153854,-0.6342408842641329,0.9911585682341711,0.9788507690292225,0.8308728834762649,0.9401107790986215,-0.40940063622944417,-0.578139494341984,-0.5134848574398857
