,PM2.5,PM10,SO2,NO2,CO,O3,AQI,PR,PCDI,GRDP,PGDP,EDUL,UGA,TAAA,FEC,NGC,EC,TSI,CVO,RAAT,RAAP,RAAWS
PM2.5,1.0,0.9863045321502962,0.9197402551648645,0.9433129032239355,0.8129340910419455,-0.5466096274867318,0.6785268695602095,-0.9531025586342151,-0.927461346543493,-0.9167175529249175,-0.9150760921533325,0.171813036790115,-0.9704837637419165,-0.5441444533610441,-0.44209922146754393,-0.45434176956600925,-0.8599062786075685,-0.8971655927725998,-0.9596323561951275,-0.8799105040300383,0.8502328022087257,0.25836004888488995
PM10,0.9863045321502962,1.0,0.8703999348280655,0.9331943309602055,0.7362903128094704,-0.4874326685068924,0.7236332547772922,-0.9355969772992868,-0.907760080904315,-0.8946328060986803,-0.8933774080376564,0.06972292715515967,-0.9619033434666538,-0.671160616652951,-0.3526735748473637,-0.3365129701327259,-0.8358216889145779,-0.8765667491945482,-0.9233007195519071,-0.8891620951143383,0.78872784301344,0.18244042970459173
SO2,0.9197402551648645,0.8703999348280655,1.0,0.9212074495535949,0.949256827308583,-0.6464389359386331,0.5391051898973261,-0.9646454824899569,-0.9706435147306338,-0.9727074121795046,-0.9715787415732269,0.4495960862867151,-0.9199161037923469,-0.21005416490761306,-0.7604674336448506,-0.7844681884421821,-0.9496706041172269,-0.9679223334067956,-0.9678442415996209,-0.8300489273208553,0.910560101622377,0.5343760604887235
NO2,0.9433129032239355,0.9331943309602055,0.9212074495535949,1.0,0.83395862828002,-0.45326011267110916,0.761946461314284,-0.9151966309658536,-0.9157440759885697,-0.9082424220297,-0.9055275341715745,-0.11014337789715113,-0.8835712054491652,-0.49222412038782937,-0.6261402720523316,-0.3296160403563002,-0.8726541584213239,-0.9031363285437153,-0.8929292730102215,-0.83565021476655,0.8776013764759538,0.4192741111655084
CO,0.8129340910419455,0.7362903128094704,0.949256827308583,0.83395862828002,1.0,-0.6839561260226455,0.38853543134031654,-0.8838508933047562,-0.9063873132680301,-0.915531467813315,-0.9141414729346306,0.5738686962301305,-0.7735256461442338,0.07725962557221362,-0.8534192223589189,-0.9045695016182388,-0.9326708578279216,-0.9195382717133195,-0.8610436606773574,-0.7727582957631877,0.9089169928489383,0.7349394920009149
O3,-0.5466096274867318,-0.4874326685068924,-0.6464389359386331,-0.45326011267110916,-0.6839561260226455,1.0,0.2127370068832467,0.7001120004061774,0.6724266078097051,0.7046512160178693,0.7089570469789915,-0.5848694386829175,0.6194766458143859,-0.12181009360290007,0.6286108654754342,0.8161217659563654,0.6830611257548609,0.7003748437569441,0.6748703099432732,0.49968995125905347,-0.7113400840960188,-0.452117607064257
AQI,0.6785268695602095,0.7236332547772922,0.5391051898973261,0.761946461314284,0.38853543134031654,0.2127370068832467,1.0,-0.5266206003529612,-0.5352822780496516,-0.5006581987442215,-0.49519113633102313,-0.46998053003864015,-0.5099387549721573,-0.6970225785679985,0.007425793521743686,0.30918627894707384,-0.46616818616391836,-0.4927001014718512,-0.45570605724429875,-0.5994160054274231,0.41918587964729626,0.02958902208429732
PR,-0.9531025586342151,-0.9355969772992868,-0.9646454824899569,-0.9151966309658536,-0.8838508933047562,0.7001120004061774,-0.5266206003529612,1.0,0.9919492992733678,0.9916106769542556,0.9915405509840532,-0.3840366149363045,0.9916425769540678,0.412041473616874,0.6134185496602043,0.6897224165425889,0.9595365817666707,0.982306663236001,0.9980334820870462,0.901217761853796,-0.8899501435106811,-0.41400380618925925
PCDI,-0.927461346543493,-0.907760080904315,-0.9706435147306338,-0.9157440759885697,-0.9063873132680301,0.6724266078097051,-0.5352822780496516,0.9919492992733678,1.0,0.9971569608336917,0.9964259789924528,-0.3946237124698332,0.9830285571729538,0.3795046648440902,0.6451821085308823,0.7075264040927441,0.9829031521032301,0.9910591811382998,0.9991828142030238,0.9185405732430195,-0.9010521098921821,-0.47933025198518064
GRDP,-0.9167175529249175,-0.8946328060986803,-0.9727074121795046,-0.9082424220297,-0.915531467813315,0.7046512160178693,-0.5006581987442215,0.9916106769542556,0.9971569608336917,1.0,0.9999379710432578,-0.4200572528464484,0.9741852146098815,0.3278079135533361,0.7011823460822544,0.7536964267759094,0.9854602463907263,0.9975068278314566,0.995124799702456,0.8927097421424135,-0.8969730078596476,-0.5132609026607933
PGDP,-0.9150760921533325,-0.8933774080376564,-0.9715787415732269,-0.9055275341715745,-0.9141414729346306,0.7089570469789915,-0.49519113633102313,0.9915405509840532,0.9964259789924528,0.9999379710432578,1.0,-0.42509972560002657,0.973710122861491,0.32505193095161006,0.702306316146822,0.7579362587444601,0.9850518717058686,0.9977840187698588,0.9941484517363014,0.8898507071354812,-0.893982073784736,-0.513389700883513
EDUL,0.171813036790115,0.06972292715515967,0.4495960862867151,-0.11014337789715113,0.5738686962301305,-0.5848694386829175,-0.46998053003864015,-0.3840366149363045,-0.3946237124698332,-0.4200572528464484,-0.42509972560002657,1.0,-0.33731582262885945,0.38501241097340627,-0.21507694488533816,-0.8297462936765034,-0.484700161661818,-0.41665324824975436,-0.40875862456211814,-0.17335745904243377,0.15729301154886074,0.23366283977558286
UGA,-0.9704837637419165,-0.9619033434666538,-0.9199161037923469,-0.8835712054491652,-0.7735256461442338,0.6194766458143859,-0.5099387549721573,0.9916425769540678,0.9830285571729538,0.9741852146098815,0.973710122861491,-0.33731582262885945,1.0,0.5130311988488566,0.505674111091193,0.6033131502282112,0.9551533993317106,0.9612989001116878,0.9854528280546722,0.9149941655608833,-0.7984316247346143,-0.017088846471936946
TAAA,-0.5441444533610441,-0.671160616652951,-0.21005416490761306,-0.49222412038782937,0.07725962557221362,-0.12181009360290007,-0.6970225785679985,0.412041473616874,0.3795046648440902,0.3278079135533361,0.32505193095161006,0.38501241097340627,0.5130311988488566,1.0,-0.20440087752201672,-0.30221550801636793,0.24618988756782412,0.2939413399244423,0.37923245338183637,0.6552587160535386,-0.167844773280457,0.7182883844404406
FEC,-0.44209922146754393,-0.3526735748473637,-0.7604674336448506,-0.6261402720523316,-0.8534192223589189,0.6286108654754342,0.007425793521743686,0.6134185496602043,0.6451821085308823,0.7011823460822544,0.702306316146822,-0.21507694488533816,0.505674111091193,-0.20440087752201672,1.0,0.7115676410928133,0.7331616990417543,0.7424716939439916,0.629056352265311,0.08091281660748527,-0.8461416823648302,-0.6702185506902048
