,PM2.5,PM10,SO2,NO2,CO,O3,AQI,PR,PCDI,GRDP,PGDP,EDUL,UGA,TAAA,FEC,NGC,EC,TSI,CVO,RAAT,RAAP,RAAWS
PM2.5,1.0,0.9930331460062042,0.9758724359522499,0.9643834688392571,0.9838251695587258,0.20463212812918627,0.969473400052369,0.9189069303235574,-0.9388128986533113,-0.8783282258462098,-0.8800255990076395,0.5269868191214769,-0.4515736055254184,0.7965786140312336,-0.6653577189576453,-0.026899408029192027,-0.885251093085196,-0.5758190312171322,-0.944169383742623,0.42200191121959235,0.3186715620718875,0.037738364710764076
PM10,0.9930331460062042,1.0,0.9825428060237044,0.9751915048367552,0.9858248530521166,0.2810931531360715,0.9721297246175026,0.9474047267012483,-0.9584564413348055,-0.9029141715060018,-0.9049656605394362,0.4311271358839759,-0.5216835381349839,0.7557514491544184,-0.659569701225662,0.006627538147741885,-0.9019005474755005,-0.6108824135983216,-0.9609439207975575,0.33100710904998204,0.39294769317582473,0.151585187790815
SO2,0.9758724359522499,0.9825428060237044,1.0,0.977918086048363,0.9906256021518964,0.33250797302411644,0.9600290705696564,0.961474012332733,-0.9805263297015951,-0.9370537635492323,-0.9379480202914517,0.43733317282054407,-0.6016017002915909,0.6920439773573249,-0.8109003682631792,-0.12691192927764713,-0.9424770900754987,-0.6641463312143413,-0.9903671556857749,0.2809120176824981,0.46495161951184294,0.16270278318192222
NO2,0.9643834688392571,0.9751915048367552,0.977918086048363,1.0,0.9738923445120563,0.36252051149090747,0.9585726251260412,0.9340107539062106,-0.9495077845050568,-0.8891339663456826,-0.8907699062608682,0.3078517873435152,-0.560702197154684,0.682191452284418,-0.7334533695502948,0.021149050163392767,-0.8900118670249283,-0.5790095843607107,-0.9669675670925773,0.24875933622384613,0.4600907309735296,0.2010403191121989
CO,0.9838251695587258,0.9858248530521166,0.9906256021518964,0.9738923445120563,1.0,0.2591644298165037,0.9510426234436667,0.9269643029343386,-0.9526681289786333,-0.8973868657360508,-0.8978341900551426,0.4132520721395913,-0.5129029698723775,0.7205822699821098,-0.7533941787544408,-0.08162598888885553,-0.9015081345897455,-0.5971492258787516,-0.9658435580570672,0.29974239763921146,0.3636699310753896,0.10600428613873618
O3,0.20463212812918627,0.2810931531360715,0.33250797302411644,0.36252051149090747,0.2591644298165037,1.0,0.3955717503660388,0.4866837765460504,-0.43811680706537826,-0.5646226618281889,-0.5616881617332573,-0.49882436549609493,-0.4449749286155749,-0.5575463217143128,-0.3105151853357641,-0.3633572768548444,-0.5398185846967922,-0.7423984216706294,-0.13987603799313456,-0.4014190240567542,0.9262798649386704,0.6815753303014829
AQI,0.969473400052369,0.9721297246175026,0.9600290705696564,0.9585726251260412,0.9510426234436667,0.3955717503660388,1.0,0.9323240364958121,-0.9382510616352604,-0.9161467705050242,-0.9167975279933984,0.5156381106656838,-0.5113851863676249,0.6357052302935597,-0.7142330361024104,-0.19029767719242816,-0.9285721277851402,-0.6890425755146247,-0.9257567509174386,0.40830456512203445,0.47337417407353977,0.10542064800211241
PR,0.9189069303235574,0.9474047267012483,0.961474012332733,0.9340107539062106,0.9269643029343386,0.4866837765460504,0.9323240364958121,1.0,-0.9941746554324108,-0.9784187462986359,-0.9807686835829141,0.3434778775670212,-0.7333489746841065,0.6262166731603472,-0.8267970608611694,-0.08670948820148808,-0.9666185909713896,-0.780941753735966,-0.9960262208259201,0.15193696125423428,0.6388310118359961,0.36291702079759885
PCDI,-0.9388128986533113,-0.9584564413348055,-0.9805263297015951,-0.9495077845050568,-0.9526681289786333,-0.43811680706537826,-0.9382510616352604,-0.9941746554324108,1.0,0.9775916413216786,0.9792196560357623,-0.38033628784037915,0.6737178582220328,-0.657516769003793,0.847809795363338,0.11385033308748516,0.970085441200864,0.7588540501763215,0.9970335020631776,-0.18170093069431276,-0.5889845567072648,-0.29277178698583056
GRDP,-0.8783282258462098,-0.9029141715060018,-0.9370537635492323,-0.8891339663456826,-0.8973868657360508,-0.5646226618281889,-0.9161467705050242,-0.9784187462986359,0.9775916413216786,1.0,0.9999047088173704,-0.3905337105457041,0.6986795347184692,-0.493545125211722,0.9466294989492638,0.36720442857067853,0.9938136471490573,0.8772076482651672,0.9608814169872791,-0.14624434132561295,-0.6877830933745978,-0.3214143701054921
