,PM2.5,PM10,SO2,NO2,CO,O3,AQI,PR,PCDI,GRDP,PGDP,EDUL,UGA,TAAA,FEC,NGC,EC,TSI,CVO,RAAT,RAAP,RAAWS
PM2.5,1.0,0.9909302548722073,0.927573144865804,0.38347170128236385,0.9157257639503399,-0.6067961869298124,0.9395062702146599,-0.969267970847996,-0.9276890684226112,-0.928142036752108,-0.9265008434618186,0.2901486671421407,-0.9621089174059859,-0.9029394505560134,,-0.9751041565334158,-0.9073641861852711,-0.9029284159931458,-0.9699719150184798,-0.049639465634254434,0.7464498631373863,-0.31780099028769954
PM10,0.9909302548722073,1.0,0.9429491647896514,0.401485296830862,0.9539262176268372,-0.6310779921304143,0.9492099518990313,-0.9832331751323197,-0.946851598444569,-0.9472050796067815,-0.946033888733815,0.34347788897139725,-0.9819796991291054,-0.9051174022470697,,-0.9786953388119694,-0.9245205487743919,-0.9215262015274732,-0.9835909965387639,-0.08581779132683148,0.7720430095621396,-0.3325071164651389
SO2,0.927573144865804,0.9429491647896514,1.0,0.11401961776474943,0.8674304985154244,-0.7245575490666987,0.9000119908760659,-0.9223060009992584,-0.8394303479568831,-0.8456836780952441,-0.8456759893373088,0.18757135667699973,-0.9305256257841719,-0.8642310700606788,,-0.9337800799554765,-0.784563610964531,-0.8109586783403687,-0.9170696264449241,-0.31983092566590776,0.6187612970101558,-0.44920182858638413
NO2,0.38347170128236385,0.401485296830862,0.11401961776474943,1.0,0.5311898469449128,0.021497623200487634,0.44220659114304234,-0.41409954428053825,-0.5867253185021479,-0.5683797500624073,-0.5673196967819434,0.26108741247392825,-0.2044277591808508,-0.2330308554460482,,-0.09971117585961954,-0.6788390300505371,-0.5950837496777768,-0.24592260591614984,0.35191531278886307,0.7084308103494849,0.052850135891086364
CO,0.9157257639503399,0.9539262176268372,0.8674304985154244,0.5311898469449128,1.0,-0.535512882946686,0.9396217783473452,-0.9556785723807973,-0.9676427035706993,-0.9688413232720848,-0.9690294841488276,0.4726414516931749,-0.9673908844153919,-0.8570834199840605,,-0.9078776513631159,-0.9617048135524864,-0.9595049976524126,-0.960505756128026,-0.1317873915093583,0.7959908179526731,-0.32510521243849155
O3,-0.6067961869298124,-0.6310779921304143,-0.7245575490666987,0.021497623200487634,-0.535512882946686,1.0,-0.4473223721089355,0.6679933168911988,0.5434582857835557,0.5604522068812336,0.5616010958987875,-0.45298689972505635,0.7067907493190815,0.46155407790706393,,0.8737493704892602,0.49564636821400787,0.5090881892409082,0.7071272231922581,0.05623496074439172,-0.3292488076261299,0.3809503931759612
AQI,0.9395062702146599,0.9492099518990313,0.9000119908760659,0.44220659114304234,0.9396217783473452,-0.4473223721089355,1.0,-0.9214742727788451,-0.9350736059851301,-0.9322035797580844,-0.9320151812991003,0.03836383046975849,-0.9225924407658189,-0.9634751425249368,,-0.9097673478012792,-0.9202299928120106,-0.9252762426696545,-0.9164203403909232,-0.28715976655654907,0.7827396447561714,-0.38567221208372077
PR,-0.969267970847996,-0.9832331751323197,-0.9223060009992584,-0.41409954428053825,-0.9556785723807973,0.6679933168911988,-0.9214742727788451,1.0,0.9711562413284013,0.9745237704045354,0.9738483069208718,-0.42707328689464974,0.9932813448240465,0.8638558580996941,,0.9784950918942813,0.9389331510277086,0.9545454536085736,0.9941439202729345,0.041334060685495465,-0.7853717737862356,0.24339351962951014
PCDI,-0.9276890684226112,-0.946851598444569,-0.8394303479568831,-0.5867253185021479,-0.9676427035706993,0.5434582857835557,-0.9350736059851301,0.9711562413284013,1.0,0.9988740764033329,0.9985758170639613,-0.3892751100385574,0.99463229087691,0.901510225387921,,0.9900367845538446,0.9865793622085193,0.9946420235227579,0.9984542592930523,0.036631665085155495,-0.863994664431623,0.19798299660170765
GRDP,-0.928142036752108,-0.9472050796067815,-0.8456836780952441,-0.5683797500624073,-0.9688413232720848,0.5604522068812336,-0.9322035797580844,0.9745237704045354,0.9988740764033329,1.0,0.9999651335893495,-0.415618772560163,0.9956872201388456,0.8841182286319814,,0.9874559673566939,0.9855411468997546,0.9963433314943526,0.9991273269012128,0.04993360286855783,-0.8402324447857604,0.21867728840864784
