province,PM2.5,PM10,SO2,NO2,CO,O3,AQI,PR,PCDI,GRDP,PGDP,EDUL,UGA,TAAA,FEC,NGC,EC,TSI,CVO,RAAT,RAAP,RAAWS
Beijing,42,68,4,37,0.702,97,86,2190.0,67756.0,35445.1,161776.0,7948.0,8.87,34.08,,189.4,1166.0,5667.4,590.32,13.63,1.71,2.66
Tianjin,51,81,11,42,0.959,106,100,1385.0,42404.0,14055.5,101557.0,3338.0,4.29,16.54,7125.410000000001,110.61,878.0,4947.2,308.88,14.51,4.19,2.75
Hebei,50,93,15,39,0.975,104,97,7447.0,25665.0,34978.6,47036.0,6206.0,9.37,520.64,41311.41,165.48,3856.0,13393.7,1647.85,11.41,2.66,2.48
Shanxi,48,94,24,38,1.117,106,97,3497.0,23828.0,16961.6,48469.0,4124.0,5.14,347.36,,91.7,2262.0,7466.3,710.55,10.71,2.52,2.53
Inner_Mongoria,27,61,15,23,0.617,92,67,2415.0,30555.0,17212.5,71170.0,3839.0,6.91,720.29,52713.56999999999,64.18,3653.0,6763.1,576.74,4.97,1.74,3.28
Liaoning,39,68,18,27,0.875,88,74,4277.0,31820.0,24855.3,58019.0,5576.0,12.81,157.6,34152.83,75.01,2401.0,9475.9,861.09,9.9,3.42,2.68
Jilin,32,58,11,23,0.742,82,64,2448.0,24563.0,11726.8,47554.0,2599.0,9.0,102.93,11019.159999999998,30.17,780.0,4134.8,451.11,6.87,2.66,2.64
Heilongjiang,29,51,10,19,0.583,69,54,3255.0,24254.0,13544.4,41156.0,4068.0,6.87,118.26,16964.39,44.37,996.0,3640.1,516.11,3.92,2.62,3.11
Shanghai,35,48,7,42,0.658,98,72,2481.0,69442.0,37987.6,153299.0,5496.0,15.78,5.0,9825.489999999998,99.4,1569.0,10193.6,413.82,17.72,4.59,3.14
Jiangsu,41,70,10,33,0.792,105,82,8469.0,41400.0,98656.8,116650.0,10371.0,29.85,44.37,36241.34,288.06,6264.0,43507.5,1912.66,15.39,2.43,2.47
Zhejiang,31,52,6,30,0.692,86,64,6375.0,49899.0,62462.0,98770.0,7028.0,17.23,75.53,19451.06,147.2,4706.0,26299.5,1661.27,17.93,3.33,3.16
Anhui,46,74,10,31,0.75,102,86,6092.0,26415.0,36845.5,60561.0,5589.0,11.43,138.75,19903.22,59.64,2301.0,14970.0,907.83,14.84,2.94,2.73
Fujian,24,42,7,21,0.683,88,53,4137.0,35616.0,42326.6,102722.0,3191.0,7.39,214.09,13517.000000000002,52.77,2402.0,20065.5,680.33,19.64,3.61,2.64
Jiangxi,35,60,14,24,0.858,90,66,4516.0,26262.0,24667.3,54640.0,4085.0,7.19,269.35,10759.1,26.96,1536.0,10820.3,601.21,18.67,3.99,1.94
Shandong,45,84,12,30,0.792,104,88,10106.0,31597.0,70540.5,69901.0,9644.0,25.23,168.3,64649.70999999999,189.98,6219.0,28171.8,2333.73,14.08,2.83,2.9
Henan,59,98,11,34,0.892,109,107,9901.0,23903.0,53717.8,54356.0,7433.0,11.53,196.49,24156.750000000004,109.34,3364.0,23035.6,1612.09,16.35,2.36,2.38
Hubei,44,73,9,28,0.892,96,82,5927.0,28319.0,45429.0,76712.0,6334.0,9.69,473.11,16518.55,68.46,2214.0,18723.0,861.06,17.27,2.16,2.05
Hunan,41,61,9,25,0.9,88,72,6640.0,27680.0,39894.1,60104.0,6553.0,7.44,574.54,14222.250000000002,32.9,1864.0,15401.7,870.59,17.21,3.17,2.56
Guangdong,28,46,9,26,0.783,95,61,12489.0,39014.0,107986.9,86956.0,11940.0,50.24,244.73,27343.610000000004,206.18,6696.0,43368.2,2326.38,22.89,4.87,2.45
Guangxi,31,52,11,20,0.858,79,55,4982.0,23328.0,21237.1,42778.0,3324.0,7.24,220.07,11547.3,27.86,1907.0,7046.4,673.94,21.55,3.62,2.34
Hainan,15,30,4,11,0.533,79,43,995.0,26679.0,5330.8,53929.0,995.0,1.77,15.7,2601.23,46.15,355.0,1083.8,137.24,25.46,5.44,2.66
Chongqing,38,58,8,38,0.848,77,72,3188.0,28920.0,23605.8,74337.0,3500.0,6.77,275.2,,103.51,1160.0,9392.0,461.6,17.42,2.57,2.02
Sichuan,34,54,10,27,0.742,81,64,8351.0,24703.0,46363.8,55619.0,8607.0,12.42,400.37,12120.47,254.38,2636.0,17187.9,1196.95,11.48,2.38,2.07
Guizhou,24,38,10,18,0.608,74,47,3848.0,20397.0,16769.3,43727.0,2136.0,5.44,346.97,,36.76,1541.0,5971.5,532.15,16.46,2.41,1.74
