数据库：分省年度数据
指标：第二产业法人单位数(个)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,67254,56711,60550,55793,55250,54574,53433,51740,49257,48462,48273,,,,,,,,
天津市,,69170,62330,58229,84250,77536,69642,62959,53924,57812,53690,51090,,,,,,,,
河北省,,379431,334209,315838,290623,198384,158127,135975,115349,115236,109035,107117,,,,,,,,
山西省,,112411,88670,73378,77335,62498,48137,39551,34163,42458,39783,38883,,,,,,,,
内蒙古自治区,,69478,58227,50137,45915,37868,32509,29682,25614,28924,28255,27160,,,,,,,,
辽宁省,,152619,128162,130808,144177,136512,131216,122603,108790,123687,120313,115591,,,,,,,,
吉林省,,38739,33891,33009,40508,37815,35804,34021,26435,31582,30132,28251,,,,,,,,
黑龙江省,,50982,42623,43301,53021,41901,38344,37463,33483,43034,42774,41370,,,,,,,,
上海市,,76033,70022,64674,101788,100193,98622,97354,95065,114914,110746,106921,,,,,,,,
江苏省,,743879,684277,633703,702204,588922,513278,469994,391733,434107,402445,367387,,,,,,,,
浙江省,,593845,527013,480460,536493,483481,465537,454354,393069,353972,331379,300363,,,,,,,,
安徽省,,254409,193725,180608,185151,141615,124592,108915,91946,92767,84137,74403,,,,,,,,
福建省,,221019,187183,155460,198812,176046,164644,146990,104108,119832,108678,95001,,,,,,,,
江西省,,155567,113782,100611,123257,97702,83082,72526,58424,67680,57279,53604,,,,,,,,
山东省,,666397,544613,439203,471201,376382,299597,258436,218082,276205,263597,251875,,,,,,,,
河南省,,281552,231246,223621,174154,149863,158960,139984,120655,142271,139078,136662,,,,,,,,
湖北省,,225063,182723,156392,170969,142150,122743,107631,82924,102353,92609,84630,,,,,,,,
湖南省,,138136,103722,103144,118652,98947,86309,82262,80298,83973,80816,80259,,,,,,,,
广东省,,795214,747589,696146,566416,445873,414032,394595,334528,325016,299831,271020,,,,,,,,
广西壮族自治区,,99060,80676,66474,64913,56504,48303,41540,34375,39865,38251,34038,,,,,,,,
海南省,,17239,15579,13667,13063,10554,9312,7796,6373,7311,6477,5738,,,,,,,,
重庆市,,86191,78274,77501,87381,80113,72358,65200,53576,56330,50077,43747,,,,,,,,
四川省,,145612,126869,119589,97894,87896,81407,81202,68083,79379,76177,74195,,,,,,,,
贵州省,,92893,77164,71833,79790,62614,51081,40490,32330,24783,20457,18814,,,,,,,,
云南省,,105141,77360,70658,70301,55857,47273,39945,32809,34418,33163,29977,,,,,,,,
西藏自治区,,12397,12128,12191,4023,3814,3745,3693,3302,1069,1011,948,,,,,,,,
陕西省,,134092,107214,103742,82057,69558,62615,54308,42776,51393,44963,40168,,,,,,,,
甘肃省,,35020,28921,31121,28440,26686,25018,22514,18458,20026,18098,17503,,,,,,,,
青海省,,15464,12473,10840,15415,9316,8282,7302,5321,5449,4773,4252,,,,,,,,
宁夏回族自治区,,19866,16403,11792,13422,11832,9604,7953,7220,8081,7402,6573,,,,,,,,
新疆维吾尔自治区,,49869,39524,37555,33931,30258,26228,23483,18394,16510,14595,13005,,,,,,,,
数据来源：国家统计局
