数据库：分省年度数据
指标：集体户户数(人口抽样调查)(户)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,335,279,480,421,15621,607,727,490,512,,453,351,410,328,4192,157,156,103
天津市,,,292,358,317,352,8883,133,109,137,206,,139,8,56,36,1578,17,19,14
河北省,,,76,113,129,80,11199,96,114,65,206,,31,111,45,48,1937,20,28,84
山西省,,,37,86,106,67,8323,180,146,95,105,,66,46,67,62,837,63,21,38
内蒙古自治区,,,237,56,131,187,5934,62,101,213,226,,19,20,54,64,1365,56,25,43
辽宁省,,,92,94,101,45,7894,136,400,523,108,,64,69,96,96,1428,56,57,21
吉林省,,,32,29,18,22,3084,12,21,161,63,,12,12,27,36,631,79,43,34
黑龙江省,,,19,16,52,61,4267,92,19,17,96,,38,28,24,58,540,21,25,59
上海市,,,296,169,177,325,12213,392,412,528,730,,187,245,169,211,4756,39,33,167
江苏省,,,562,681,699,580,27460,645,658,690,875,,365,555,468,244,7971,189,223,231
浙江省,,,354,368,448,489,22321,969,1377,1290,1119,,422,509,487,418,8345,317,288,317
安徽省,,,143,236,103,52,12374,494,320,473,289,,159,39,67,188,2208,59,164,86
福建省,,,243,398,482,281,15364,541,462,557,882,,335,341,271,365,7262,422,394,457
江西省,,,187,123,32,102,7765,83,123,159,214,,7,42,53,20,1934,63,126,44
山东省,,,196,240,241,156,18520,124,161,227,272,,56,111,303,334,5517,175,223,560
河南省,,,168,76,116,120,12623,467,198,224,536,,,5,24,21,1290,127,167,158
湖北省,,,381,586,676,453,16673,160,217,255,286,,42,214,315,180,2606,206,210,197
湖南省,,,98,267,335,89,12416,264,182,163,282,,43,171,193,54,2432,123,235,100
广东省,,,2515,2113,1977,1763,70170,2479,2223,2353,2532,,2472,2683,2538,2473,35427,666,555,1028
广西壮族自治区,,,111,64,82,74,7454,188,251,175,320,,36,77,61,67,1775,44,24,65
海南省,,,61,97,73,17,2362,89,69,93,71,,38,36,40,24,644,24,25,30
重庆市,,,47,96,55,77,7077,274,300,188,178,,83,54,67,86,1057,10,13,9
四川省,,,273,217,340,178,14807,506,524,502,459,,148,224,77,154,2260,112,67,86
贵州省,,,48,43,75,46,4109,158,197,103,81,,19,14,22,46,823,27,24,15
云南省,,,170,157,259,279,7815,149,133,296,300,,147,156,110,118,2502,19,44,30
西藏自治区,,,9,13,9,10,553,,4,3,13,,,,,4,55,,1,2
陕西省,,,131,241,277,248,10046,206,171,145,268,,133,76,52,92,1176,35,65,45
甘肃省,,,105,108,30,21,5101,63,57,61,86,,10,7,2,13,775,15,28,11
青海省,,,18,39,11,11,1408,35,20,34,56,,20,12,10,13,321,9,6,8
宁夏回族自治区,,,11,26,41,8,1261,12,10,55,56,,11,4,5,8,158,8,12,23
新疆维吾尔自治区,,,73,31,43,22,4465,35,51,75,103,,14,19,15,11,657,12,69,25
注：2005年、2015年为1%人口抽样调查样本数据，其他年份为1‰人口变动调查样本数据。具体抽样比详见出版物中《中国统计年鉴》。
数据来源：国家统计局
