数据库：分省年度数据
指标：制造业法人单位数(个)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,25025,23574,25646,34406,34454,34144,34084,33023,35495,35234,35314,,,,,,,,
天津市,,42926,41870,39739,58413,57722,54114,50541,44653,47162,44474,43003,,,,,,,,
河北省,,250033,226936,218111,211132,151619,126557,110020,93568,94883,89874,89205,,,,,,,,
山西省,,43690,38137,36079,37197,32151,27601,23769,21612,26189,24620,24367,,,,,,,,
内蒙古自治区,,27812,23942,22169,22835,20204,18575,17424,15438,18085,17807,17223,,,,,,,,
辽宁省,,100250,87039,89332,102403,98922,97001,91540,82972,93851,92284,89447,,,,,,,,
吉林省,,22457,20501,20273,28130,26979,26010,24865,19348,23580,22750,21597,,,,,,,,
黑龙江省,,29455,25649,26101,34449,29398,27666,27546,24466,31205,31252,30745,,,,,,,,
上海市,,55728,52507,49395,83847,83350,82529,81777,79599,92397,90046,86565,,,,,,,,
江苏省,,548185,524675,513458,553654,481869,434394,405636,346771,375128,349839,322605,,,,,,,,
浙江省,,501768,454683,424775,473283,434321,423211,417132,365388,324348,304763,276974,,,,,,,,
安徽省,,141296,116544,112646,124605,101640,92414,81904,71494,71928,65867,59271,,,,,,,,
福建省,,158080,135044,116023,152699,138926,132615,119932,86140,97279,88371,76980,,,,,,,,
江西省,,89404,69191,63136,79759,67565,60422,53806,44179,50775,43365,40899,,,,,,,,
山东省,,416009,354725,310428,342582,284344,235765,208334,183231,228076,220014,212151,,,,,,,,
河南省,,159715,140757,138461,124077,110992,127691,116185,100313,119630,117274,115632,,,,,,,,
湖北省,,114737,100948,92277,100481,88664,83366,76294,60233,71998,66246,61239,,,,,,,,
湖南省,,75839,63104,62538,75769,68334,62180,61075,59905,62901,60303,60339,,,,,,,,
广东省,,647485,613236,572121,490284,389552,365811,351166,300938,287010,265396,240121,,,,,,,,
广西壮族自治区,,53555,44771,37551,38027,34750,31491,28087,24216,27725,27108,24381,,,,,,,,
海南省,,4510,3949,3719,4279,3833,3450,3148,2661,2991,2826,2684,,,,,,,,
重庆市,,57984,53772,55196,64767,60358,55432,50578,42594,42225,37103,31729,,,,,,,,
四川省,,72084,67442,65249,62199,60213,57055,57888,48284,56827,54709,53436,,,,,,,,
贵州省,,52591,47820,46302,50398,40573,33898,26912,21692,14905,11444,10490,,,,,,,,
云南省,,43405,36016,34606,32978,26905,23311,20034,17148,17663,17252,16215,,,,,,,,
西藏自治区,,3873,3761,3758,1305,1221,1178,1148,981,394,375,355,,,,,,,,
陕西省,,49204,42745,41926,45492,41267,38398,35125,28282,32873,29676,27634,,,,,,,,
甘肃省,,16231,13165,15209,17750,17228,16692,15466,12677,13585,12468,12126,,,,,,,,
青海省,,5636,5057,4727,7018,5032,4575,4135,2997,3157,2771,2493,,,,,,,,
宁夏回族自治区,,9784,8846,6678,7971,7392,6510,5477,5040,5624,5155,4596,,,,,,,,
新疆维吾尔自治区,,27996,22940,21977,21428,19491,17087,15643,12382,10870,9649,8554,,,,,,,,
数据来源：国家统计局
