数据库：分省年度数据
指标：电力、热力、燃气及水生产和供应业法人单位数(个)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,1427,1146,1193,729,699,659,640,638,471,460,450,,,,,,,,
天津市,,965,875,813,919,772,655,589,528,472,414,393,,,,,,,,
河北省,,6022,5700,5484,5544,3601,2747,2140,1839,1591,1463,1341,,,,,,,,
山西省,,5907,5377,4452,4955,3662,2183,1552,1211,1241,1112,1020,,,,,,,,
内蒙古自治区,,3365,3111,2902,3320,2832,2325,1905,1587,1425,1344,1255,,,,,,,,
辽宁省,,3658,3045,3073,3209,2691,2419,2169,1895,1973,1890,1762,,,,,,,,
吉林省,,1757,1588,1590,1917,1732,1551,1441,1149,1252,1213,1146,,,,,,,,
黑龙江省,,2719,2209,2284,2403,1804,1626,1510,1367,1279,1228,1124,,,,,,,,
上海市,,245,221,193,210,199,191,185,165,305,307,294,,,,,,,,
江苏省,,5193,5061,5033,5821,4287,3389,2953,2471,2798,2665,3029,,,,,,,,
浙江省,,6281,5678,5240,6483,5208,4856,4633,4338,4057,4032,3944,,,,,,,,
安徽省,,5989,5551,5608,5449,3696,3183,2674,2426,2319,2210,2054,,,,,,,,
福建省,,6853,6424,6582,7465,6888,7073,6860,6096,6570,6442,6230,,,,,,,,
江西省,,8060,7415,7566,7228,5248,4532,4042,3758,4063,3776,3771,,,,,,,,
山东省,,7884,6939,6280,8468,6094,3734,2947,2399,2528,2326,2151,,,,,,,,
河南省,,5337,4965,4971,3753,2778,2892,2402,2181,1627,1599,1556,,,,,,,,
湖北省,,5826,5593,5520,5910,4822,3968,3553,2969,3167,2890,2541,,,,,,,,
湖南省,,7309,6798,6800,7490,5901,5419,5506,5339,5255,4996,4834,,,,,,,,
广东省,,10550,10171,9714,11150,10423,10013,9906,8431,8522,8295,7978,,,,,,,,
广西壮族自治区,,3738,3399,3290,3328,3055,2885,2750,2587,2771,2700,2628,,,,,,,,
海南省,,498,460,418,514,438,422,390,345,327,314,295,,,,,,,,
重庆市,,2371,2231,2291,2616,2424,2294,2161,1929,2061,2003,1968,,,,,,,,
四川省,,6032,5869,5982,6233,6181,6135,6248,5701,5863,5675,5587,,,,,,,,
贵州省,,2445,2181,2089,2610,2386,2125,1877,1606,1403,1307,1254,,,,,,,,
云南省,,3367,3006,2975,3521,3206,2882,2561,2291,2351,2224,2085,,,,,,,,
西藏自治区,,294,284,261,208,170,164,150,119,95,94,94,,,,,,,,
陕西省,,3688,3287,3229,3600,3046,2493,2056,1831,1495,1331,1225,,,,,,,,
甘肃省,,1776,1513,1628,1927,1870,1774,1567,1374,1146,1057,1037,,,,,,,,
青海省,,860,789,684,919,694,621,528,443,393,325,278,,,,,,,,
宁夏回族自治区,,718,629,473,692,637,500,359,282,273,238,197,,,,,,,,
新疆维吾尔自治区,,2595,2134,2096,2145,2025,1776,1425,1114,854,722,630,,,,,,,,
数据来源：国家统计局
