数据库：分省年度数据
指标：信息传输、软件和信息技术服务业法人单位数(个)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,76341,68633,77133,36601,36026,47988,46848,47608,22151,21135,20878,,,,,,,,
天津市,,17825,17960,17802,17862,15818,12589,9386,7844,3452,2666,2314,,,,,,,,
河北省,,49354,42292,39141,30159,13944,8114,5233,4211,5106,4699,4875,,,,,,,,
山西省,,36222,25146,17399,18806,11529,5915,2955,1744,3691,2632,2770,,,,,,,,
内蒙古自治区,,11255,9627,8256,7178,5057,3208,2427,1869,2196,2081,2009,,,,,,,,
辽宁省,,33783,27372,28833,23389,18826,14937,11279,8724,12119,9240,8721,,,,,,,,
吉林省,,6907,5987,6495,4316,3808,3214,2933,2399,2207,1778,1684,,,,,,,,
黑龙江省,,12594,9855,10182,9530,5446,4164,3350,2703,3387,3253,3007,,,,,,,,
上海市,,28013,25212,23484,18695,16460,15863,14876,14045,14029,12645,12051,,,,,,,,
江苏省,,113158,98224,72799,87155,61674,41381,30926,21460,23021,18260,16029,,,,,,,,
浙江省,,112541,80752,55067,76660,51124,36445,25388,16505,19949,17387,14967,,,,,,,,
安徽省,,45235,34281,30440,30019,19282,13734,8843,6130,7572,6149,5499,,,,,,,,
福建省,,70248,46518,32791,31233,22801,16932,11738,6636,8875,7823,6537,,,,,,,,
江西省,,31528,19117,15310,18582,11354,6905,4287,2506,3182,2161,1884,,,,,,,,
山东省,,105443,81022,58722,53407,39025,25610,16620,10079,18621,16417,15138,,,,,,,,
河南省,,66983,56383,56112,25564,18203,11964,6306,4809,6434,5462,5266,,,,,,,,
湖北省,,64252,50017,39431,40205,25832,19146,10810,7728,9085,7334,7071,,,,,,,,
湖南省,,33795,24214,24880,22548,14495,8401,5984,5672,10525,8872,8381,,,,,,,,
广东省,,180484,172828,165633,63781,44114,38168,32964,27126,25038,21644,18622,,,,,,,,
广西壮族自治区,,27898,23516,18658,13404,9612,6486,3851,2546,6952,6508,5997,,,,,,,,
海南省,,7860,6401,5804,2957,1985,1541,976,855,1319,1083,913,,,,,,,,
重庆市,,27586,23871,22734,19167,15673,11706,8239,5775,6721,5215,4051,,,,,,,,
四川省,,38077,32672,31631,16198,11309,7850,6047,5120,12209,9386,9162,,,,,,,,
贵州省,,11738,9345,8179,8080,4851,3042,1907,1410,2425,2136,2051,,,,,,,,
云南省,,26952,16934,15285,17568,11683,9055,5318,3433,5021,4320,3719,,,,,,,,
西藏自治区,,1081,1060,1097,174,181,175,172,144,162,159,158,,,,,,,,
陕西省,,25994,20883,20798,11613,8662,7021,5163,3694,5088,4078,3264,,,,,,,,
甘肃省,,4525,3732,4146,2565,2329,1756,1210,1047,1629,1120,1035,,,,,,,,
青海省,,2844,2214,1785,2232,982,767,532,373,481,423,403,,,,,,,,
宁夏回族自治区,,3876,2773,1462,1796,1465,869,521,422,811,740,697,,,,,,,,
新疆维吾尔自治区,,11142,8567,8390,7706,4124,2896,2073,1490,2211,2061,2029,,,,,,,,
数据来源：国家统计局
