数据库：分省年度数据
指标：住宿和餐饮业法人单位数(个)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,35847,32208,34458,17215,17134,17141,16649,16323,13252,13003,12897,,,,,,,,
天津市,,5672,5114,4935,6330,5652,4658,3781,2981,3118,2841,3231,,,,,,,,
河北省,,17538,15905,15538,12923,8229,6000,5101,4458,4233,4069,4178,,,,,,,,
山西省,,12368,10083,8427,9121,7109,5056,3885,3411,3664,3382,3310,,,,,,,,
内蒙古自治区,,4917,4436,4358,4619,3999,3428,3137,2773,3449,3354,3452,,,,,,,,
辽宁省,,10122,8368,8862,9528,8935,8333,7500,6474,7575,6064,6016,,,,,,,,
吉林省,,2770,2439,2625,2463,2326,2109,2019,1594,1714,1691,1738,,,,,,,,
黑龙江省,,2993,2502,2706,3492,2930,2661,2499,2693,2491,2479,2983,,,,,,,,
上海市,,20695,19858,20445,14306,13787,13238,12958,12514,11590,11694,10687,,,,,,,,
江苏省,,32208,28194,25927,25098,20393,16420,14353,11328,12019,10858,10176,,,,,,,,
浙江省,,33787,27954,24951,24856,20961,19122,17271,13887,9072,8300,7549,,,,,,,,
安徽省,,21335,17297,16738,15319,11076,9009,7192,5874,5414,4889,4453,,,,,,,,
福建省,,16900,14732,12861,13252,11574,10556,9158,6430,6455,5848,5055,,,,,,,,
江西省,,10151,7384,6697,7560,5988,4920,4085,3291,3404,3062,3145,,,,,,,,
山东省,,41439,34177,28234,29390,23469,17774,14296,12168,16993,16409,16745,,,,,,,,
河南省,,24403,21297,21284,15029,12911,14547,12223,11136,8671,8381,8240,,,,,,,,
湖北省,,19944,18322,17622,17027,14747,13308,12083,10214,8594,7701,7576,,,,,,,,
湖南省,,14484,11407,11646,12954,11439,9786,9435,9228,7023,7277,7331,,,,,,,,
广东省,,59860,55598,52913,32729,27458,24390,22232,18606,18283,16672,16105,,,,,,,,
广西壮族自治区,,12713,10205,8451,7266,6264,5172,4103,3472,3466,3177,2764,,,,,,,,
海南省,,3674,3260,2691,2536,2139,1908,1655,1362,1457,1354,1371,,,,,,,,
重庆市,,25902,24797,26373,29331,26385,21802,16608,12436,10019,7222,4795,,,,,,,,
四川省,,19025,17323,16832,13068,11368,10241,9310,7794,8006,7217,6726,,,,,,,,
贵州省,,18625,17206,17053,16341,11495,8149,5043,4060,2144,1664,1542,,,,,,,,
云南省,,18052,14549,14348,14873,11186,8134,4915,3572,3498,3324,3044,,,,,,,,
西藏自治区,,1157,1130,1139,579,609,602,537,461,326,307,303,,,,,,,,
陕西省,,13639,11363,11321,10830,9337,8371,7128,5933,6064,5343,4909,,,,,,,,
甘肃省,,6168,5350,5899,4453,4040,3544,2936,2483,2299,2107,2150,,,,,,,,
青海省,,2548,2251,2095,2770,1381,1179,948,734,653,602,595,,,,,,,,
宁夏回族自治区,,2084,1692,1201,1444,1288,979,765,702,756,718,644,,,,,,,,
新疆维吾尔自治区,,3960,2876,2693,2272,2010,1746,1532,1200,1135,1061,1052,,,,,,,,
数据来源：国家统计局
