数据库：分省年度数据
指标：金融业法人单位数(个)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,7778,6933,12796,5138,4972,5117,4834,,1794,1364,1298,,,,,,,,
天津市,,4738,5070,4988,4912,4897,4218,3344,,1876,1493,884,,,,,,,,
河北省,,4365,4099,3681,5516,4847,4687,4580,,2597,2230,1669,,,,,,,,
山西省,,2824,2456,2401,3221,2883,2375,2133,,1785,1530,1257,,,,,,,,
内蒙古自治区,,1763,1712,1721,3134,2885,2488,2264,,1816,1687,1606,,,,,,,,
辽宁省,,3873,3445,3673,4439,4440,4078,3571,,3615,2371,2055,,,,,,,,
吉林省,,1375,1280,1312,1790,1669,1524,1430,,1007,898,838,,,,,,,,
黑龙江省,,1544,1410,1487,2254,2406,2215,2038,,1624,1446,1244,,,,,,,,
上海市,,9602,9069,9539,2802,2482,2258,2029,,1479,1128,920,,,,,,,,
江苏省,,6193,6012,6925,8306,7550,6908,5840,,5700,5059,4190,,,,,,,,
浙江省,,16626,15777,16965,10786,8853,8005,5498,,3065,2607,2484,,,,,,,,
安徽省,,3439,3243,3270,5452,5099,4478,3717,,3069,2547,1979,,,,,,,,
福建省,,4733,3773,3347,5360,4938,4432,3535,,3535,3311,2596,,,,,,,,
江西省,,2018,1670,1649,3509,3238,3467,3076,,2300,1352,1132,,,,,,,,
山东省,,9842,8141,5783,12053,10033,6952,5514,,6168,4859,3901,,,,,,,,
河南省,,2920,2723,3001,4921,4891,4159,3226,,2033,1972,1694,,,,,,,,
湖北省,,3305,2804,2875,4944,4750,4114,3192,,3238,2410,1457,,,,,,,,
湖南省,,2235,1928,2011,3570,3431,2996,2304,,1989,1511,1223,,,,,,,,
广东省,,30521,29733,30364,12751,10272,9547,7226,,4759,3984,3207,,,,,,,,
广西壮族自治区,,3174,2781,2387,2703,2509,2972,2321,,1643,1649,1249,,,,,,,,
海南省,,821,657,588,695,651,562,502,,347,275,245,,,,,,,,
重庆市,,2033,1906,1818,2976,3565,3478,3242,,1525,1250,1169,,,,,,,,
四川省,,3465,3361,3394,3550,3600,3338,3195,,2585,1979,1842,,,,,,,,
贵州省,,1641,1501,1509,2535,2417,2163,1761,,1062,894,759,,,,,,,,
云南省,,3434,2841,2948,4385,4080,3516,3022,,2607,2112,1541,,,,,,,,
西藏自治区,,320,321,336,107,109,106,107,,117,116,115,,,,,,,,
陕西省,,2600,2369,2399,3348,3119,2810,2453,,1764,1374,1104,,,,,,,,
甘肃省,,1534,1232,1550,2322,2211,2221,1755,,928,794,677,,,,,,,,
青海省,,365,348,354,504,439,414,376,,263,227,213,,,,,,,,
宁夏回族自治区,,801,792,576,1874,1983,1798,1475,,399,331,281,,,,,,,,
新疆维吾尔自治区,,2606,2357,2287,5211,3297,2315,2023,,865,753,683,,,,,,,,
数据来源：国家统计局
