数据库：分省年度数据
指标：科学研究和技术服务业法人单位数(个)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,222040,136076,154092,111740,107916,92262,75727,71148,38136,35568,33970,,,,,,,,
天津市,,42869,28778,25989,57506,42071,28149,18593,14491,10795,9357,7525,,,,,,,,
河北省,,72442,59330,51677,44124,26097,19522,15365,13650,6478,5877,5432,,,,,,,,
山西省,,34791,27128,21099,18000,13141,9640,7966,6911,5449,4810,4502,,,,,,,,
内蒙古自治区,,19582,16136,13102,9404,8029,6910,6379,5512,4258,4100,3971,,,,,,,,
辽宁省,,37584,29061,30154,29623,26317,23503,20888,17888,16450,13455,12685,,,,,,,,
吉林省,,10343,9169,9485,7933,7149,6006,5601,4556,5116,4338,4026,,,,,,,,
黑龙江省,,18145,15290,15612,14699,10991,8349,6729,5916,6843,6625,6083,,,,,,,,
上海市,,37615,31658,26067,25077,23051,21533,19994,17386,22603,19150,17544,,,,,,,,
江苏省,,182643,157330,129379,142157,98989,65696,52997,40130,27367,20893,17746,,,,,,,,
浙江省,,103928,78935,61583,67948,53401,43731,35096,25323,22256,19067,16517,,,,,,,,
安徽省,,57701,44132,41985,32816,23937,20225,15405,12606,8913,7337,5453,,,,,,,,
福建省,,54197,40404,27310,34023,27025,21860,17502,12126,9824,8801,7901,,,,,,,,
江西省,,27219,19027,16779,15488,11727,9574,8546,6936,5479,4187,3999,,,,,,,,
山东省,,153680,119160,93529,96850,78175,59213,48629,40568,17830,15966,14485,,,,,,,,
河南省,,92406,77074,75709,47284,39894,36961,27150,24110,7005,6533,6207,,,,,,,,
湖北省,,71496,62116,56306,43452,34873,30688,24724,20212,15165,13027,11958,,,,,,,,
湖南省,,56458,45174,45379,28849,21059,16851,13860,13489,9677,8151,7042,,,,,,,,
广东省,,209766,199286,194574,75646,51475,46376,42616,35982,30938,26966,23373,,,,,,,,
广西壮族自治区,,38701,32566,28686,21935,18547,15433,12613,10361,9959,9020,8397,,,,,,,,
海南省,,7039,6085,5537,3471,2771,2342,1835,1525,1478,1284,1178,,,,,,,,
重庆市,,24265,21783,21164,15457,12658,10497,8777,6947,5409,4486,4026,,,,,,,,
四川省,,48100,43156,42513,25808,22179,19315,17782,15817,11851,11302,11184,,,,,,,,
贵州省,,13804,11837,11100,9234,6650,5710,4756,3919,3368,3194,3213,,,,,,,,
云南省,,32954,23728,21870,18964,14057,12532,9847,7507,6656,6209,5710,,,,,,,,
西藏自治区,,1453,1423,1461,538,540,539,540,445,187,182,169,,,,,,,,
陕西省,,32979,28029,28134,15126,13169,12392,11219,9181,7580,6396,5433,,,,,,,,
甘肃省,,8263,7134,7564,5386,5268,4874,4144,3713,2483,2297,2172,,,,,,,,
青海省,,4998,3951,3370,3509,1940,1775,1581,1266,962,933,915,,,,,,,,
宁夏回族自治区,,4816,3360,2235,2104,1880,1529,1325,1209,835,771,716,,,,,,,,
新疆维吾尔自治区,,16058,12425,12135,11019,8275,7035,6123,4948,3582,3495,3333,,,,,,,,
数据来源：国家统计局
