数据库：分省年度数据
指标：水利、环境和公共设施管理业法人单位数(个)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,8004,6986,7346,4179,4119,4170,3989,3964,2488,2422,2398,,,,,,,,
天津市,,2248,1927,1732,2265,2124,1904,1703,1416,1458,1319,1202,,,,,,,,
河北省,,11240,9419,7420,8254,5535,4269,3707,3243,2315,2018,1877,,,,,,,,
山西省,,7121,6184,5510,5237,3848,3072,2705,2583,2369,2144,1968,,,,,,,,
内蒙古自治区,,4758,3937,3785,3605,2928,2502,2362,2129,1878,1785,1724,,,,,,,,
辽宁省,,4694,3601,3710,4889,4681,4430,4186,3745,3665,3098,2944,,,,,,,,
吉林省,,1917,1637,1519,1932,1771,1675,1606,1335,1342,1276,1254,,,,,,,,
黑龙江省,,2793,2366,2346,2494,1978,1860,1820,1708,1666,1629,1594,,,,,,,,
上海市,,2664,2458,2228,2210,2102,2068,2061,2035,2127,1968,1994,,,,,,,,
江苏省,,17298,13891,10920,11929,10268,9159,8711,7501,6750,6053,5610,,,,,,,,
浙江省,,12567,10103,8556,9869,8191,7155,6565,5542,4969,4476,4024,,,,,,,,
安徽省,,9999,7114,6426,6811,5013,4301,3709,3043,2654,2322,1891,,,,,,,,
福建省,,7619,6224,4849,5574,4834,4419,3975,3028,2923,2667,2334,,,,,,,,
江西省,,5182,3608,3033,4145,3416,3018,2755,2414,2164,1760,1668,,,,,,,,
山东省,,20713,14663,10758,9900,8272,6534,5898,5025,4213,3876,3683,,,,,,,,
河南省,,14625,11120,9631,7865,7072,6094,4614,4033,2592,2496,2406,,,,,,,,
湖北省,,11806,9743,8162,7940,6823,6110,5573,4821,4644,4117,3794,,,,,,,,
湖南省,,8119,6644,6462,6036,4901,4441,3965,3866,3227,3012,2896,,,,,,,,
广东省,,13668,12416,11067,8941,7746,7237,6789,5549,5406,4967,4649,,,,,,,,
广西壮族自治区,,8875,6432,4524,4344,3887,3496,3129,2762,2748,2571,2376,,,,,,,,
海南省,,1366,1163,876,854,662,568,475,384,387,351,311,,,,,,,,
重庆市,,5145,4142,3162,3728,3058,2552,2181,1710,1868,1676,1504,,,,,,,,
四川省,,7375,6492,6044,5200,4605,4290,4091,3537,3510,3193,3239,,,,,,,,
贵州省,,4231,3613,3373,3123,2311,1904,1510,1224,1258,1167,1119,,,,,,,,
云南省,,6803,4831,4061,4194,3220,2965,2655,2347,2210,2102,1926,,,,,,,,
西藏自治区,,209,203,205,88,84,82,81,72,43,41,40,,,,,,,,
陕西省,,7696,5864,5486,5103,4202,3668,3116,2661,2464,2244,2037,,,,,,,,
甘肃省,,1907,1626,1895,1731,1629,1507,1290,1156,1014,906,877,,,,,,,,
青海省,,1424,1192,970,1151,665,595,507,445,345,316,304,,,,,,,,
宁夏回族自治区,,1050,824,527,708,628,494,436,395,309,289,263,,,,,,,,
新疆维吾尔自治区,,3598,2433,2277,1996,1794,1530,1358,1130,975,925,888,,,,,,,,
数据来源：国家统计局
