数据库：分省年度数据
指标：居民服务、修理和其他服务业法人单位数(个)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,37706,33407,36756,19464,19510,19774,19429,18734,14788,14651,14613,,,,,,,,
天津市,,9144,7658,7237,11602,10889,9070,7663,5798,7457,6707,6236,,,,,,,,
河北省,,24548,22727,22280,20702,14019,10454,7695,6292,5088,4732,4331,,,,,,,,
山西省,,16018,13381,11377,11101,15397,9963,4778,2801,4840,4181,3592,,,,,,,,
内蒙古自治区,,8646,7678,6932,7496,6425,4661,3697,2621,2787,2533,2350,,,,,,,,
辽宁省,,14272,11873,12599,12487,11760,10606,9339,7471,9661,7170,6686,,,,,,,,
吉林省,,4648,4066,4078,4129,3935,3622,3528,2942,2157,2024,1914,,,,,,,,
黑龙江省,,5168,4540,4816,4997,3709,3199,3001,2748,3707,3657,3426,,,,,,,,
上海市,,17875,17401,17678,13114,12855,12568,12302,12073,13307,13396,13036,,,,,,,,
江苏省,,46772,44363,41016,41767,33190,26282,20725,14760,18805,16561,13907,,,,,,,,
浙江省,,41526,33452,26474,23451,18739,17458,15590,12375,9572,8345,7194,,,,,,,,
安徽省,,24591,21340,21003,19115,12809,10042,7797,5473,5033,4352,3269,,,,,,,,
福建省,,20506,17847,15468,15312,13098,11346,9326,5993,5919,5453,4856,,,,,,,,
江西省,,12405,9237,7990,10760,8882,7082,5517,3892,4751,3614,3047,,,,,,,,
山东省,,47685,39141,33873,37021,30633,22923,16531,11901,17604,15525,13944,,,,,,,,
河南省,,27288,24305,25048,15432,13368,11089,8029,6898,4790,4543,4445,,,,,,,,
湖北省,,23830,20763,20009,19963,18537,15665,13000,9419,9659,8639,7963,,,,,,,,
湖南省,,15915,12702,13286,14930,12840,10065,7789,7827,5675,5450,5317,,,,,,,,
广东省,,68344,65169,62395,32250,25957,23892,21772,17589,18981,17530,15975,,,,,,,,
广西壮族自治区,,19648,13569,11192,8590,7572,6487,4709,3541,4093,3417,2666,,,,,,,,
海南省,,3849,3713,3084,1930,1609,1381,1073,847,892,756,645,,,,,,,,
重庆市,,17733,16836,17501,16103,15427,12848,10199,7613,6844,5101,3408,,,,,,,,
四川省,,21340,19588,19026,11354,9165,7714,6620,5285,5066,4327,4091,,,,,,,,
贵州省,,17383,14726,13950,12186,9197,6403,4451,3418,2072,1770,1623,,,,,,,,
云南省,,18573,14557,13888,14686,12280,9186,5289,3122,3381,2882,2407,,,,,,,,
西藏自治区,,670,669,673,205,214,210,210,125,110,112,108,,,,,,,,
陕西省,,15605,13689,13423,9151,8169,6999,5652,4236,5372,4305,3368,,,,,,,,
甘肃省,,5986,5176,5882,3413,3136,2723,2275,1805,1776,1639,1502,,,,,,,,
青海省,,2169,1880,1778,2043,1221,947,746,477,370,326,297,,,,,,,,
宁夏回族自治区,,2784,2370,1741,1687,1603,1131,794,691,740,638,527,,,,,,,,
新疆维吾尔自治区,,6181,5080,4839,4226,3787,3168,2725,1925,1583,1477,1409,,,,,,,,
数据来源：国家统计局
