数据库：分省年度数据
指标：教育业法人单位数(个)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,21228,19869,21236,11418,11398,11339,11260,11145,8304,8207,8192,,,,,,,,
天津市,,8479,6275,5749,4540,4499,4307,4254,3803,3467,3325,3233,,,,,,,,
河北省,,29666,28723,28623,22699,21537,20754,20277,19794,17885,18168,19003,,,,,,,,
山西省,,19778,17383,15682,12875,11769,10826,10345,10068,8990,8755,8762,,,,,,,,
内蒙古自治区,,13986,12405,10805,8639,7802,7189,6894,6488,5673,5557,5491,,,,,,,,
辽宁省,,23366,19436,19103,15352,15061,14632,14196,13308,13499,11481,11459,,,,,,,,
吉林省,,8867,8276,8344,6464,6455,6392,6313,5572,5251,5248,5258,,,,,,,,
黑龙江省,,13265,11980,11671,8495,8287,8067,8092,7719,7780,7737,7682,,,,,,,,
上海市,,9283,9082,9227,6101,5988,5945,5895,5708,5760,5615,5590,,,,,,,,
江苏省,,42284,39883,36601,29119,24846,21802,20279,17858,17764,16869,15415,,,,,,,,
浙江省,,54244,46240,37929,27584,24772,23549,22464,21049,17736,16742,16018,,,,,,,,
安徽省,,28272,25780,25508,18901,16972,16224,15349,14217,12597,13538,13065,,,,,,,,
福建省,,23600,22421,20876,18066,17130,16785,16174,13974,12618,12276,11898,,,,,,,,
江西省,,21670,19511,19188,16699,15676,14760,14149,13457,9436,8914,9741,,,,,,,,
山东省,,63276,52077,43057,35311,31676,25908,24931,24364,21213,20908,20774,,,,,,,,
河南省,,62366,60178,60451,46326,45623,44940,42309,40079,23071,22915,22900,,,,,,,,
湖北省,,30650,27838,25978,23317,21728,20637,19842,17774,17743,16753,16426,,,,,,,,
湖南省,,34672,31653,31778,23726,22782,21891,21751,21741,14873,14847,14810,,,,,,,,
广东省,,77498,72214,71352,45292,42108,40628,39650,36113,32611,31500,30779,,,,,,,,
广西壮族自治区,,32145,28171,26800,23151,22010,21541,20043,18301,17788,17497,17126,,,,,,,,
海南省,,5771,5306,5239,4158,3819,3653,3435,3110,2358,2156,2139,,,,,,,,
重庆市,,18374,17374,16561,14573,13339,11938,10854,10133,8815,8035,7761,,,,,,,,
四川省,,36227,34768,34127,28633,27020,26097,25604,23458,21254,19961,19749,,,,,,,,
贵州省,,18456,16440,15828,13557,12807,12180,11290,9880,9821,9650,9592,,,,,,,,
云南省,,19353,16398,15492,12641,11604,10956,10521,9890,8203,7962,7618,,,,,,,,
西藏自治区,,1038,1035,1038,1012,1041,1042,1042,791,1046,1045,1040,,,,,,,,
陕西省,,22321,20272,20247,16430,16191,16022,15706,14851,12248,13613,13871,,,,,,,,
甘肃省,,12663,12519,12540,10799,10694,10503,10410,9421,9225,9173,9123,,,,,,,,
青海省,,2569,2370,2358,2106,1963,1929,1876,1677,1320,1259,1236,,,,,,,,
宁夏回族自治区,,4162,3667,3049,2154,2088,1900,1867,1855,1425,1409,1391,,,,,,,,
新疆维吾尔自治区,,10049,9349,9446,7601,7341,7115,6966,6310,5298,5275,5266,,,,,,,,
数据来源：国家统计局
