数据库：分省年度数据
指标：文化、体育和娱乐业法人单位数(个)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,82571,49183,53882,29908,29447,30574,27309,26787,12754,12112,11762,,,,,,,,
天津市,,9625,7684,7395,10716,7533,4821,3179,2544,1863,1608,1428,,,,,,,,
河北省,,27088,24147,23852,16678,10845,8614,7901,7388,2675,2322,2272,,,,,,,,
山西省,,17997,15417,13635,12183,10128,7360,6073,5601,3398,2727,2579,,,,,,,,
内蒙古自治区,,8950,8314,7343,5531,4575,3722,3357,3104,1900,1837,1801,,,,,,,,
辽宁省,,14359,11952,12712,11215,10218,9416,8745,7967,4880,3867,3782,,,,,,,,
吉林省,,4278,3922,4205,3516,3378,3186,3142,2736,1844,1599,1572,,,,,,,,
黑龙江省,,7565,6322,6496,6301,4920,4464,4133,3988,2026,1856,1793,,,,,,,,
上海市,,13669,12802,12599,8172,7621,7315,6864,6266,4941,4453,4166,,,,,,,,
江苏省,,47539,44902,44141,37550,28933,20741,18371,15410,9065,7352,6312,,,,,,,,
浙江省,,52742,42742,36470,30861,25203,21070,17680,14697,7218,6044,5274,,,,,,,,
安徽省,,23232,21037,21353,18125,14519,13372,11029,8852,3204,2653,2280,,,,,,,,
福建省,,30424,25113,19022,16348,12883,11493,9927,7234,5082,4622,3829,,,,,,,,
江西省,,14443,11180,10752,9369,7479,6586,6084,5098,2899,2357,2303,,,,,,,,
山东省,,50216,43350,37583,27862,21732,15590,13593,11541,6234,5263,4992,,,,,,,,
河南省,,36426,33538,34229,18163,15552,17609,15757,13048,4574,3856,3750,,,,,,,,
湖北省,,26551,24354,23539,16360,13358,12279,11787,10128,5913,4806,4486,,,,,,,,
湖南省,,27782,23584,24155,19582,16344,14899,14328,14474,4998,4346,4199,,,,,,,,
广东省,,66685,63415,61695,25782,20781,18220,16988,14695,9290,7762,7010,,,,,,,,
广西壮族自治区,,14253,12679,11599,9168,8818,7962,7302,6665,3489,3180,3005,,,,,,,,
海南省,,4337,3807,3140,2426,2027,1798,1605,1343,832,712,662,,,,,,,,
重庆市,,17272,16681,16975,13588,11155,9173,6896,5682,3156,2394,2128,,,,,,,,
四川省,,26918,25914,26469,17780,17190,15893,15232,12806,6505,4576,4394,,,,,,,,
贵州省,,10059,9162,9258,8782,5829,4616,3476,2853,1765,1515,1480,,,,,,,,
云南省,,18086,14523,14315,12425,9216,7768,6212,5432,3393,2809,2561,,,,,,,,
西藏自治区,,1011,984,1013,513,515,512,485,363,173,172,169,,,,,,,,
陕西省,,15199,13420,13799,8848,7690,7052,6322,5611,3231,2794,2554,,,,,,,,
甘肃省,,6365,5553,5870,5959,5495,4818,3774,3331,1775,1283,1226,,,,,,,,
青海省,,2107,1865,1766,1992,1301,1183,1056,888,457,404,394,,,,,,,,
宁夏回族自治区,,2472,2085,1647,1606,1520,1268,1149,1087,368,333,329,,,,,,,,
新疆维吾尔自治区,,6584,5593,5684,7664,4977,3900,3628,2925,1224,1161,1141,,,,,,,,
数据来源：国家统计局
