数据库：分省年度数据
指标：公共管理、社会保障和社会组织法人单位数(个)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,19250,17047,17477,17339,17225,17204,17187,17142,14017,13948,14013,,,,,,,,
天津市,,12396,10767,9864,10591,10843,10903,10959,10170,9874,9792,9856,,,,,,,,
河北省,,85122,86289,86524,79590,80061,81789,81924,81786,74933,75190,76296,,,,,,,,
山西省,,58978,58002,59737,59018,58919,58238,58110,57682,52277,51975,51881,,,,,,,,
内蒙古自治区,,40218,37744,36462,35215,35865,36823,36824,35332,30668,30764,30507,,,,,,,,
辽宁省,,40851,39400,41294,44631,44623,44583,44530,42346,43195,40798,40576,,,,,,,,
吉林省,,27429,27377,28104,29056,29995,30090,30173,27606,26216,26403,26394,,,,,,,,
黑龙江省,,33622,32857,32818,33692,34856,35958,36929,35461,34582,34181,33956,,,,,,,,
上海市,,13601,13596,13735,13054,13195,13189,13163,12677,12481,12254,12227,,,,,,,,
江苏省,,81418,81572,82333,81720,77054,74907,73537,66234,64159,63212,60277,,,,,,,,
浙江省,,79985,79461,77570,83064,82151,82224,81300,78994,71015,69944,69993,,,,,,,,
安徽省,,52367,52004,52752,47114,47486,49844,49519,47661,41592,44099,44026,,,,,,,,
福建省,,59553,59281,58629,62502,62931,63603,63119,58350,46338,46026,45638,,,,,,,,
江西省,,55724,55436,57261,56255,57474,57443,56925,55679,45027,44063,45262,,,,,,,,
山东省,,135173,133795,129035,136066,133819,128391,128569,127801,122583,124453,124347,,,,,,,,
河南省,,104458,103526,104927,103148,105134,105245,103815,93959,81557,81466,81489,,,,,,,,
湖北省,,76612,71894,69421,71581,70234,70607,70884,65648,64856,63066,61640,,,,,,,,
湖南省,,72523,71922,72337,83382,87558,89936,90708,89742,84536,84695,85249,,,,,,,,
广东省,,84711,80672,80079,80082,79667,77563,74744,68194,59835,58186,57333,,,,,,,,
广西壮族自治区,,53777,51814,51867,51431,52212,53089,51127,49444,48354,47043,44998,,,,,,,,
海南省,,8066,7549,7580,8182,8317,8255,8050,7280,6116,6099,6036,,,,,,,,
重庆市,,29854,29743,29418,29518,29473,29525,29163,27518,25060,24802,24340,,,,,,,,
四川省,,90085,111669,115402,113042,113387,115384,116370,108476,107697,106147,106639,,,,,,,,
贵州省,,42978,42274,42359,39781,39793,40430,39258,36469,36291,35944,35935,,,,,,,,
云南省,,55791,52829,52787,46415,46668,47114,46947,45077,39193,39046,38522,,,,,,,,
西藏自治区,,12814,12752,12793,14098,14206,14202,14204,11743,11211,11198,11187,,,,,,,,
陕西省,,54117,53534,54057,53108,54292,54874,55777,54897,47694,50023,51479,,,,,,,,
甘肃省,,51799,52492,54033,46784,47447,47450,47615,44564,38665,38485,38384,,,,,,,,
青海省,,15729,14936,14454,12821,13131,13115,13086,12210,11474,11484,11307,,,,,,,,
宁夏回族自治区,,12755,12814,12809,11330,11173,11126,11389,11414,10986,10940,11031,,,,,,,,
新疆维吾尔自治区,,39097,37982,39092,36925,40690,40604,40422,38519,31475,31385,31286,,,,,,,,
数据来源：国家统计局
