数据库：分省年度数据
指标：国有控股企业法人单位数(个)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,14462,13800,,17711,17503,17315,17075,,17337,16962,16539,,,,,,,,
天津市,,6773,6963,,8879,8797,8379,7959,,8635,8185,7768,,,,,,,,
河北省,,14025,12361,,10473,10747,9769,8721,,8895,8827,8623,,,,,,,,
山西省,,10631,9649,,11060,9850,9690,8851,,9148,8523,8374,,,,,,,,
内蒙古自治区,,5301,4944,,5722,5693,5107,4742,,4702,4527,4363,,,,,,,,
辽宁省,,10868,9035,,14058,13490,13263,12448,,15384,13891,13661,,,,,,,,
吉林省,,4599,4165,,5790,5352,5166,4755,,4875,4619,4366,,,,,,,,
黑龙江省,,6481,5923,,8225,7948,7453,7192,,8916,8825,8620,,,,,,,,
上海市,,11685,10852,,11706,11395,11003,10539,,12962,12459,12407,,,,,,,,
江苏省,,16748,16286,,22014,20904,17978,15767,,15381,13802,12564,,,,,,,,
浙江省,,14145,12981,,12991,12158,12025,11759,,10950,10538,10193,,,,,,,,
安徽省,,10836,8096,,12738,11826,11111,10036,,9916,9281,8314,,,,,,,,
福建省,,9763,12626,,12632,12053,11966,11143,,11333,10648,9489,,,,,,,,
江西省,,9660,7963,,9764,9134,8938,8101,,9078,7613,7456,,,,,,,,
山东省,,16606,14213,,18645,20899,17766,14662,,16925,15687,14696,,,,,,,,
河南省,,12180,10663,,14556,15632,14213,10473,,10255,9937,9702,,,,,,,,
湖北省,,10497,9788,,13511,13062,13203,11102,,13698,12340,11301,,,,,,,,
湖南省,,8776,8050,,12911,11014,9080,8317,,9522,8723,8080,,,,,,,,
广东省,,23506,21898,,24617,22050,20962,19916,,21074,20166,19443,,,,,,,,
广西壮族自治区,,7855,7056,,7043,7052,7460,6952,,8029,8192,7604,,,,,,,,
海南省,,2424,2187,,2592,2429,2351,2252,,2361,2220,2166,,,,,,,,
重庆市,,6557,5320,,7988,7353,6684,5925,,6524,6042,5799,,,,,,,,
四川省,,13594,11966,,11682,10289,9814,9041,,9627,9082,8863,,,,,,,,
贵州省,,9289,7790,,9604,7955,6880,6004,,5577,5307,5096,,,,,,,,
云南省,,8610,7351,,9558,9178,7954,6235,,6565,6229,5766,,,,,,,,
西藏自治区,,1318,1281,,1016,975,937,916,,745,736,735,,,,,,,,
陕西省,,9937,8623,,10722,9857,9305,8476,,7901,7423,7043,,,,,,,,
甘肃省,,4670,4043,,4951,4842,4661,4217,,4233,3936,3842,,,,,,,,
青海省,,1863,1629,,2124,1776,1692,1618,,1460,1344,1276,,,,,,,,
宁夏回族自治区,,1424,1360,,1295,1314,1226,1107,,1427,1227,1124,,,,,,,,
新疆维吾尔自治区,,8390,7572,,9222,8465,7912,7047,,5044,4653,4349,,,,,,,,
数据来源：国家统计局
