数据库：分省年度数据
指标：私人控股企业法人单位数(个)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,1068113,804470,,605577,598427,591978,549595,,302438,289754,282726,,,,,,,,
天津市,,313483,251746,,333849,288611,233366,185836,,130302,114857,101465,,,,,,,,
河北省,,1217010,1076053,,909843,522769,407222,327961,,220456,201671,189638,,,,,,,,
山西省,,587073,452828,,405243,308827,213305,146882,,122687,104535,95000,,,,,,,,
内蒙古自治区,,312201,251884,,196315,151845,128702,110810,,80739,74519,67903,,,,,,,,
辽宁省,,585514,466686,,457248,410571,381241,337847,,289252,248133,232034,,,,,,,,
吉林省,,153352,126949,,120238,108339,99692,90941,,69471,64184,58740,,,,,,,,
黑龙江省,,214613,175854,,196814,121834,109192,97232,,94640,91324,85945,,,,,,,,
上海市,,426299,386568,,380614,363269,352007,339861,,348584,327741,310753,,,,,,,,
江苏省,,2266394,2022985,,1983808,1549449,1252077,1073275,,852185,753093,662276,,,,,,,,
浙江省,,2032691,1667655,,1533686,1249186,1125276,1018210,,685161,609007,521940,,,,,,,,
安徽省,,958071,713371,,642934,451680,390178,314518,,197796,166899,132679,,,,,,,,
福建省,,1003326,781353,,650640,543730,466542,379362,,239343,205490,167455,,,,,,,,
江西省,,594393,407674,,385919,289956,229576,180354,,133072,96319,83021,,,,,,,,
山东省,,2422497,1917542,,1558518,1137040,891045,705251,,541701,489249,443405,,,,,,,,
河南省,,1296094,1035360,,605195,448117,413262,309559,,236769,226345,215665,,,,,,,,
湖北省,,940678,771891,,680305,523815,407280,338056,,220335,187841,162720,,,,,,,,
湖南省,,596939,448378,,428709,323658,267281,235630,,177969,155167,145391,,,,,,,,
广东省,,2938660,2779958,,1463030,1083856,981428,895004,,661733,584768,501866,,,,,,,,
广西壮族自治区,,579896,477415,,387506,313656,247128,195924,,134578,108943,85255,,,,,,,,
海南省,,96416,85149,,62322,50573,43566,32538,,26096,21601,17677,,,,,,,,
重庆市,,555368,495876,,480917,392947,336105,273251,,170026,135521,99266,,,,,,,,
四川省,,676933,580467,,327439,267708,237040,215705,,183839,167872,158391,,,,,,,,
贵州省,,416855,345854,,304496,215136,170616,124259,,56056,43020,38465,,,,,,,,
云南省,,570451,415493,,422374,267535,217359,151594,,112255,101194,82867,,,,,,,,
西藏自治区,,24106,23654,,6909,6874,6794,6533,,1803,1685,1498,,,,,,,,
陕西省,,507920,413093,,290534,242143,215479,175329,,129007,104963,78331,,,,,,,,
甘肃省,,158503,128686,,103305,98723,89576,72043,,46060,38921,34850,,,,,,,,
青海省,,74567,60739,,70210,32219,27559,22797,,12125,10331,8944,,,,,,,,
宁夏回族自治区,,100509,79542,,59877,50385,39247,29820,,23992,21118,17643,,,,,,,,
新疆维吾尔自治区,,214132,166582,,149769,124328,106493,91711,,51579,46037,42629,,,,,,,,
数据来源：国家统计局
