数据库：分省年度数据
指标：港、澳、台商控股企业法人单位数(个)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,6226,5023,,6148,6112,6160,5750,,5363,4966,4834,,,,,,,,
天津市,,2058,2214,,2069,1997,1882,1781,,1621,1546,1494,,,,,,,,
河北省,,892,812,,699,638,606,603,,551,511,496,,,,,,,,
山西省,,238,212,,212,165,156,152,,154,153,147,,,,,,,,
内蒙古自治区,,228,223,,143,138,138,133,,153,142,138,,,,,,,,
辽宁省,,1524,1449,,1900,1852,1851,1848,,2032,1919,1874,,,,,,,,
吉林省,,205,203,,204,207,194,183,,159,168,154,,,,,,,,
黑龙江省,,258,221,,323,279,262,256,,259,257,255,,,,,,,,
上海市,,12481,11731,,12693,12561,12376,11866,,14293,12400,10776,,,,,,,,
江苏省,,11842,11491,,13489,11825,11636,11567,,10453,9972,9675,,,,,,,,
浙江省,,7669,7169,,8843,8054,8088,7661,,7893,7545,7108,,,,,,,,
安徽省,,1050,1022,,1057,945,875,812,,840,795,719,,,,,,,,
福建省,,9241,8295,,9808,9458,9227,8872,,8338,8020,7562,,,,,,,,
江西省,,1481,1077,,1584,1165,1127,1109,,1278,1156,1127,,,,,,,,
山东省,,3748,3173,,3560,2609,2528,2471,,2237,2119,2058,,,,,,,,
河南省,,847,824,,741,697,636,589,,565,544,492,,,,,,,,
湖北省,,1414,1295,,1628,1396,1089,1013,,1010,937,916,,,,,,,,
湖南省,,853,727,,931,818,779,774,,868,755,710,,,,,,,,
广东省,,62904,61189,,42118,38784,38174,37546,,39703,38024,35991,,,,,,,,
广西壮族自治区,,1333,1186,,1020,787,792,724,,788,762,691,,,,,,,,
海南省,,483,455,,404,359,353,336,,407,376,352,,,,,,,,
重庆市,,1014,855,,1019,758,709,649,,632,553,492,,,,,,,,
四川省,,1206,1101,,797,814,765,723,,742,640,609,,,,,,,,
贵州省,,295,235,,299,242,217,198,,175,175,174,,,,,,,,
云南省,,676,522,,597,440,418,403,,328,319,294,,,,,,,,
西藏自治区,,30,28,,20,20,18,16,,5,4,3,,,,,,,,
陕西省,,516,479,,412,376,347,326,,371,344,288,,,,,,,,
甘肃省,,96,79,,96,99,92,85,,103,96,84,,,,,,,,
青海省,,55,59,,75,56,49,43,,40,31,33,,,,,,,,
宁夏回族自治区,,68,65,,65,54,45,36,,34,33,26,,,,,,,,
新疆维吾尔自治区,,175,148,,149,144,141,136,,123,120,109,,,,,,,,
数据来源：国家统计局
