数据库：分省年度数据
指标：其他企业法人单位数(个)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,14249,25397,,19318,19298,19092,18570,,18574,19114,19407,,,,,,,,
天津市,,13322,26626,,60382,52790,43054,34413,,36384,31506,28408,,,,,,,,
河北省,,7288,10310,,23256,67841,59694,40560,,36795,29571,23048,,,,,,,,
山西省,,620,2088,,6638,12187,14457,9735,,19335,18306,14536,,,,,,,,
内蒙古自治区,,600,12977,,18273,22886,19059,16233,,16794,15938,14686,,,,,,,,
辽宁省,,22777,25810,,51349,43227,36586,28814,,35693,21196,17944,,,,,,,,
吉林省,,6428,9011,,11647,15182,15210,14522,,12568,10721,9571,,,,,,,,
黑龙江省,,9949,8317,,13355,23739,27280,22484,,24595,23613,21365,,,,,,,,
上海市,,22588,14764,,17940,15435,12732,11617,,14508,10038,7741,,,,,,,,
江苏省,,13375,43455,,94025,101754,72679,49612,,66576,56630,40099,,,,,,,,
浙江省,,6382,5582,,9399,8748,12292,11559,,5620,3967,3676,,,,,,,,
安徽省,,21055,57703,,61411,46690,44564,30529,,37986,29588,22587,,,,,,,,
福建省,,444,8906,,61565,57432,54460,44596,,47032,41543,34760,,,,,,,,
江西省,,11430,13181,,34812,36610,30819,26786,,27975,20197,16006,,,,,,,,
山东省,,23489,31644,,69345,161805,114671,74582,,136522,117625,107658,,,,,,,,
河南省,,6328,42894,,65055,105403,95517,68373,,24264,21729,22212,,,,,,,,
湖北省,,7923,13597,,46316,62110,91444,69507,,76872,61958,54110,,,,,,,,
湖南省,,16856,15419,,51929,49380,36825,25109,,24027,19854,12496,,,,,,,,
广东省,,140539,137462,,178983,139951,124022,109779,,110895,94856,79332,,,,,,,,
广西壮族自治区,,999,5498,,7020,24422,29895,21036,,30167,24804,17532,,,,,,,,
海南省,,16815,14946,,10708,8770,7894,7151,,7161,6413,5667,,,,,,,,
重庆市,,489,11123,,26201,55002,44222,32050,,42431,30049,22363,,,,,,,,
四川省,,20005,26605,,52538,40281,32990,26993,,28489,20594,17716,,,,,,,,
贵州省,,658,3646,,23484,19788,16288,12513,,10903,8918,7981,,,,,,,,
云南省,,13867,12083,,17525,60390,51509,28237,,24729,21295,16215,,,,,,,,
西藏自治区,,2669,2649,,822,964,948,832,,527,491,464,,,,,,,,
陕西省,,16929,16725,,23616,26194,22353,15392,,31901,27138,27727,,,,,,,,
甘肃省,,10278,11656,,16251,18282,17373,13678,,12873,11194,10379,,,,,,,,
青海省,,988,2129,,2831,6112,5794,4293,,3000,2387,2147,,,,,,,,
宁夏回族自治区,,1058,1999,,1760,4474,3484,2424,,2717,2456,2031,,,,,,,,
新疆维吾尔自治区,,14396,9958,,15308,15874,12550,9464,,6297,4955,4088,,,,,,,,
数据来源：国家统计局
