数据库：分省年度数据
指标：企业法人单位数(个)
时间：最近20年
地区,2020年,2019年,2017年,2016年,2015年,2014年,2012年,2011年,2010年
北京市,1127720,870824,676829,669663,663135,619279,374051,360799,353802
天津市,341215,293307,414784,362508,296954,240190,187579,166426,149382
河北省,1248654,1108146,954073,611099,487926,388801,278564,252808,234754
山西省,604760,470657,429757,336910,243379,171179,159461,140229,127218
内蒙古自治区,320329,271654,222801,183081,155636,134578,105156,97871,89791
辽宁省,633098,514311,543275,488742,453377,401336,370163,312648,293675
吉林省,166693,142289,141199,132492,123843,113983,90302,82914,75975
黑龙江省,234504,193326,223467,158568,149370,132421,134426,130121,122302
上海市,497979,447643,453393,432697,417855,403109,427928,397868,375023
江苏省,2333775,2119006,2148335,1717140,1388252,1184337,977842,865414,756400
浙江省,2087888,1719850,1599310,1307844,1189601,1080455,739030,659000,570258
安徽省,998274,786202,727017,518794,454812,363443,254386,214306,171775
福建省,1031865,819718,748141,636091,556220,457591,319214,278412,231539
江西省,621069,433517,439890,344148,277496,222139,176556,130247,112502
山东省,2483474,1982466,1676178,1344176,1048450,819061,722344,649565,592306
河南省,1324372,1097816,695953,580619,535639,399985,283009,269535,258797
湖北省,968729,804818,751526,609683,522899,429641,322331,273217,239300
湖南省,628510,477440,502984,392705,321582,277672,221798,193955,176147
广东省,3203987,3037617,1752016,1325287,1204941,1102077,884679,788631,686522
广西壮族自治区,596654,497222,409008,351445,290980,230232,180309,149865,117828
海南省,117573,103994,77662,63702,55689,43752,37505,32016,27164
重庆市,566829,516287,520514,460825,392712,316677,224487,176841,132525
四川省,720525,628030,401716,327339,288685,260661,230936,206310,193641
贵州省,431382,361163,342972,247409,199132,147403,76025,60595,54865
云南省,599648,440778,457374,343742,283491,192072,150093,135280,111062
西藏自治区,28775,28257,9461,9593,9441,9030,3434,3265,3037
陕西省,540901,444203,333776,287034,255984,207718,176977,147432,119935
甘肃省,175537,146197,127899,125742,115557,93913,66817,57616,52559
青海省,78106,65128,76169,41210,36105,29731,17567,14977,13225
宁夏回族自治区,103540,83411,63463,56781,44519,33919,28802,25476,21446
新疆维吾尔自治区,239091,185993,176740,151379,129592,110769,64883,57561,52915
数据来源：国家统计局
