数据库：分省年度数据
指标：集体企业法人单位数(个)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,8897,8463,,10630,10721,10818,10944,,11718,11765,11924,,,,,,,,
天津市,,1570,1835,,3837,4339,4386,4543,,5399,5396,5517,,,,,,,,
河北省,,5643,5646,,6307,5140,6113,6702,,7418,7881,8651,,,,,,,,
山西省,,3963,3640,,4918,4038,3949,3885,,5813,5963,6343,,,,,,,,
内蒙古自治区,,743,658,,976,920,963,958,,1482,1519,1563,,,,,,,,
辽宁省,,6779,6263,,10366,10958,11480,11622,,16006,15992,16424,,,,,,,,
吉林省,,1006,910,,1904,1720,1745,1746,,2141,2193,2253,,,,,,,,
黑龙江省,,1714,1590,,3028,2562,2542,2700,,4382,4547,4646,,,,,,,,
上海市,,3054,2895,,5927,5914,5883,5849,,8747,8997,9376,,,,,,,,
江苏省,,6425,6577,,11809,10342,10305,10874,,11850,11954,12879,,,,,,,,
浙江省,,5352,5858,,10792,9705,10059,10126,,10253,10352,10427,,,,,,,,
安徽省,,2804,2838,,4390,3684,3927,3831,,5032,5262,5517,,,,,,,,
福建省,,4132,4008,,6061,6239,6705,6690,,7551,7572,7512,,,,,,,,
江西省,,2134,1886,,2532,2319,2598,2694,,2948,2867,2963,,,,,,,,
山东省,,5857,5637,,10505,7789,7630,7730,,10648,10846,11081,,,,,,,,
河南省,,6248,5226,,6380,5044,6090,5976,,7717,7732,7693,,,,,,,,
湖北省,,4667,4920,,5441,4900,4667,4680,,7025,7189,7530,,,,,,,,
湖南省,,2581,2543,,4218,3787,3700,3978,,5487,5636,5716,,,,,,,,
广东省,,13050,12661,,17253,16973,17070,17145,,22205,22394,22728,,,,,,,,
广西壮族自治区,,3923,3935,,4729,3614,3644,3601,,5062,5307,5327,,,,,,,,
海南省,,510,445,,700,688,693,694,,835,831,804,,,,,,,,
重庆市,,1606,1359,,2328,2054,2111,2182,,2779,2820,2928,,,,,,,,
四川省,,2618,2773,,3773,4046,4032,4339,,5535,5953,6089,,,,,,,,
贵州省,,2794,2530,,2776,2123,1934,1879,,2250,2258,2287,,,,,,,,
云南省,,3387,3154,,4827,3211,3136,3027,,3719,3883,3796,,,,,,,,
西藏自治区,,238,232,,373,397,388,378,,245,244,244,,,,,,,,
陕西省,,3183,2921,,5200,4677,4740,4713,,5172,5251,5566,,,,,,,,
甘肃省,,1008,850,,1982,2028,2049,2144,,2640,2630,2680,,,,,,,,
青海省,,256,248,,552,460,463,466,,499,498,504,,,,,,,,
宁夏回族自治区,,268,207,,200,109,97,201,,363,371,369,,,,,,,,
新疆维吾尔自治区,,516,455,,927,941,939,954,,949,962,1004,,,,,,,,
数据来源：国家统计局
