数据库：分省年度数据
指标：事业法人单位数(个)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,11226,11207,,12134,11978,12035,12139,,11173,11217,11256,,,,,,,,
天津市,,7125,6147,,6632,6758,6798,6921,,6396,6309,6234,,,,,,,,
河北省,,32874,34708,,31652,32495,35033,35371,,31640,31944,33432,,,,,,,,
山西省,,26563,28053,,28266,28005,27785,27799,,24571,24109,23972,,,,,,,,
内蒙古自治区,,20501,19588,,18633,18580,18428,18500,,17426,17406,17398,,,,,,,,
辽宁省,,21636,21171,,30808,30909,30884,30884,,29385,27992,27878,,,,,,,,
吉林省,,17499,17758,,18783,19260,19269,19409,,16970,17249,17224,,,,,,,,
黑龙江省,,20340,20018,,20749,21267,21268,21753,,19808,19764,19759,,,,,,,,
上海市,,7769,7765,,7735,7802,7823,7832,,8463,8168,8254,,,,,,,,
江苏省,,39948,40733,,39479,39825,39866,40678,,37704,37377,37582,,,,,,,,
浙江省,,28492,28654,,32297,32194,32048,31597,,27797,27337,27269,,,,,,,,
安徽省,,22520,23131,,22036,22725,22695,22794,,21297,22844,22789,,,,,,,,
福建省,,26700,26728,,28939,29071,29103,29242,,26005,25724,25545,,,,,,,,
江西省,,29282,29254,,32792,33154,33047,33100,,25521,24614,24706,,,,,,,,
山东省,,47480,47378,,48352,44903,40919,41210,,36366,36470,36621,,,,,,,,
河南省,,70427,71380,,64467,66825,66905,67030,,40960,40660,40774,,,,,,,,
湖北省,,42109,39815,,40514,41443,41717,42640,,39425,38153,37450,,,,,,,,
湖南省,,44321,44128,,42006,43318,43579,44420,,40452,40549,40518,,,,,,,,
广东省,,46408,46181,,46421,46438,46198,46317,,41463,40854,40611,,,,,,,,
广西壮族自治区,,44140,42799,,41509,41280,43387,42819,,41667,40652,39786,,,,,,,,
海南省,,4164,4107,,4355,4359,4326,4310,,3535,3491,3468,,,,,,,,
重庆市,,16483,17104,,17847,18073,18037,17928,,17062,16909,16764,,,,,,,,
四川省,,53431,59585,,58571,59930,60675,62155,,54562,53086,53356,,,,,,,,
贵州省,,25866,25550,,21416,21448,21450,20901,,21701,21404,21653,,,,,,,,
云南省,,29454,27245,,22241,22431,22606,22575,,20855,20398,20312,,,,,,,,
西藏自治区,,2674,2660,,2301,2358,2360,2372,,2168,2170,2163,,,,,,,,
陕西省,,28177,27984,,29210,29980,30476,30708,,26461,29571,30847,,,,,,,,
甘肃省,,17733,18186,,19901,19981,19977,20178,,18485,18351,18313,,,,,,,,
青海省,,4817,4779,,4270,4444,4460,4457,,3735,3705,3692,,,,,,,,
宁夏回族自治区,,3440,3451,,3045,3161,3173,3223,,2842,2829,2837,,,,,,,,
新疆维吾尔自治区,,19363,19182,,17355,17382,17288,17178,,13823,13694,13604,,,,,,,,
数据来源：国家统计局
