数据库：分省年度数据
指标：股份合作企业法人单位数(个)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,6395,5544,,13470,13537,13588,14299,,15286,15251,15435,,,,,,,,
天津市,,345,339,,834,916,899,891,,1055,1034,996,,,,,,,,
河北省,,1018,905,,1448,2325,2221,2148,,2369,2240,2061,,,,,,,,
山西省,,87,68,,228,387,377,357,,1178,1222,1284,,,,,,,,
内蒙古自治区,,149,97,,525,637,640,612,,1177,1124,752,,,,,,,,
辽宁省,,1256,1035,,2427,2460,2499,2493,,3934,3808,3889,,,,,,,,
吉林省,,151,131,,525,641,630,616,,532,509,500,,,,,,,,
黑龙江省,,538,472,,1365,1461,1482,1566,,1989,2035,2010,,,,,,,,
上海市,,962,891,,1897,1909,1887,1874,,2443,2439,2468,,,,,,,,
江苏省,,1416,1351,,3054,3115,3264,3394,,4101,4051,4063,,,,,,,,
浙江省,,8030,8281,,8528,8413,8676,10437,,6529,6736,6816,,,,,,,,
安徽省,,386,353,,1905,2041,2017,1922,,2324,2100,1795,,,,,,,,
福建省,,382,339,,2353,2359,2409,2303,,2583,2488,2416,,,,,,,,
江西省,,398,328,,1795,2095,2433,2355,,2204,2274,2332,,,,,,,,
山东省,,683,621,,1823,2602,2563,2539,,2652,2521,2392,,,,,,,,
河南省,,520,430,,1588,2206,2449,2161,,1761,1687,1594,,,,,,,,
湖北省,,331,323,,960,1195,1619,1631,,2657,2655,2647,,,,,,,,
湖南省,,244,214,,994,1075,968,879,,1816,1814,1859,,,,,,,,
广东省,,4704,4168,,8190,8386,8472,8399,,6657,6360,5959,,,,,,,,
广西壮族自治区,,340,322,,513,736,731,596,,1470,1460,1396,,,,,,,,
海南省,,183,106,,573,454,391,346,,385,339,292,,,,,,,,
重庆市,,477,294,,1017,1582,1517,1412,,1538,1373,1258,,,,,,,,
四川省,,845,665,,2184,2213,2132,2128,,2682,2441,2461,,,,,,,,
贵州省,,165,156,,963,1061,1070,1042,,909,886,849,,,,,,,,
云南省,,370,324,,682,1204,1146,1064,,1273,1237,1154,,,,,,,,
西藏自治区,,18,17,,70,75,74,64,,55,54,52,,,,,,,,
陕西省,,355,275,,1002,977,895,782,,1722,1695,1788,,,,,,,,
甘肃省,,155,114,,784,814,806,779,,891,837,823,,,,,,,,
青海省,,82,66,,165,206,191,167,,201,189,195,,,,,,,,
宁夏回族自治区,,22,27,,77,164,144,104,,148,140,116,,,,,,,,
新疆维吾尔自治区,,112,77,,411,408,403,407,,176,160,158,,,,,,,,
数据来源：国家统计局
