数据库：分省年度数据
指标：有限责任公司法人单位数(个)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,90173,70535,,160269,158070,155997,148752,,65821,63847,62807,,,,,,,,
天津市,,40891,39584,,89797,74700,62555,52580,,24533,20693,16807,,,,,,,,
河北省,,70302,48526,,87485,135881,107065,87056,,44066,38979,31945,,,,,,,,
山西省,,19650,18161,,21763,32175,27586,21967,,21840,20087,16553,,,,,,,,
内蒙古自治区,,27107,28472,,38564,51150,41790,36953,,25601,22517,19528,,,,,,,,
辽宁省,,64092,70373,,99561,92527,85347,75259,,51278,44469,41059,,,,,,,,
吉林省,,25946,29084,,30179,34812,30270,27403,,16781,13755,11404,,,,,,,,
黑龙江省,,21209,21020,,25823,45346,41105,36986,,24990,23273,20689,,,,,,,,
上海市,,62197,59605,,35531,34298,32824,31440,,26507,21437,17722,,,,,,,,
江苏省,,81345,100748,,118480,141409,111278,93115,,54046,46095,40135,,,,,,,,
浙江省,,51691,42241,,62931,65525,63292,56631,,53964,48078,42459,,,,,,,,
安徽省,,79969,108705,,97282,91939,78624,62681,,38520,29665,21098,,,,,,,,
福建省,,23506,25728,,157146,136153,113866,91545,,44991,36722,27672,,,,,,,,
江西省,,31022,28710,,91991,88768,64313,45874,,31035,20229,16059,,,,,,,,
山东省,,96271,89228,,98536,170148,137249,109441,,70728,59264,50796,,,,,,,,
河南省,,58904,68414,,152549,222279,166720,106668,,46833,40319,35849,,,,,,,,
湖北省,,49067,56039,,87314,115141,157231,109609,,68608,50941,41308,,,,,,,,
湖南省,,28932,25947,,68485,64036,49925,43708,,18780,15309,13201,,,,,,,,
广东省,,329577,330471,,440614,297914,259965,240779,,136879,118031,99850,,,,,,,,
广西壮族自治区,,27806,25269,,26597,42961,37972,34508,,21479,17249,13092,,,,,,,,
海南省,,32185,29002,,32342,27309,23719,15494,,15367,12145,9430,,,,,,,,
重庆市,,10080,16266,,26963,52493,46272,39962,,23067,20221,16976,,,,,,,,
四川省,,60613,54065,,89306,83432,75031,67857,,45826,38356,33092,,,,,,,,
贵州省,,25658,23422,,45636,42649,39514,36426,,19651,16956,14877,,,,,,,,
云南省,,39113,35624,,27509,61141,55139,42679,,18527,15516,12295,,,,,,,,
西藏自治区,,12564,12529,,1533,1428,1378,1276,,539,487,442,,,,,,,,
陕西省,,34114,33950,,86844,100128,92665,78454,,52125,38746,25263,,,,,,,,
甘肃省,,34160,30581,,28299,25884,23895,20759,,11211,9041,7979,,,,,,,,
青海省,,5730,4990,,4517,5422,4717,3810,,2600,2518,2264,,,,,,,,
宁夏回族自治区,,2854,2626,,3876,7924,6882,5535,,3553,3092,2516,,,,,,,,
新疆维吾尔自治区,,20339,16321,,31228,29381,25568,22884,,10629,9076,8157,,,,,,,,
数据来源：国家统计局
