数据库：分省年度数据
指标：私营企业法人单位数(个)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,996741,764432,,462638,456468,452038,413407,,252528,241920,235894,,,,,,,,
天津市,,284017,238555,,284687,247956,195361,152733,,133282,117845,105128,,,,,,,,
河北省,,1159547,1041796,,822090,417040,305049,241217,,188109,169923,162293,,,,,,,,
山西省,,576002,443537,,390365,281809,184841,124663,,93984,78457,71821,,,,,,,,
内蒙古自治区,,289112,238959,,166401,106821,85557,73318,,64180,61101,57611,,,,,,,,
辽宁省,,541493,419572,,379806,333327,301568,264051,,252708,210646,196983,,,,,,,,
吉林省,,133761,106372,,94996,76492,69886,63256,,58010,55404,52437,,,,,,,,
黑龙江省,,203271,164136,,177590,85377,69828,60473,,80634,79173,74914,,,,,,,,
上海市,,393518,348461,,366776,348067,334896,323012,,337337,317345,302714,,,,,,,,
江苏省,,2195125,1958344,,1918712,1453329,1150373,976131,,817146,724881,632068,,,,,,,,
浙江省,,1990603,1632403,,1476631,1189853,1041206,937635,,612077,545209,467318,,,,,,,,
安徽省,,899165,663366,,565122,372145,306967,244576,,178484,153674,124374,,,,,,,,
福建省,,983054,769872,,519053,426830,362692,293459,,217870,189946,157990,,,,,,,,
江西省,,575613,392331,,298909,201994,162295,130858,,110394,81410,70290,,,,,,,,
山东省,,2350076,1858036,,1479916,1002982,747385,582417,,530778,486316,450110,,,,,,,,
河南省,,1247318,1010965,,476044,255194,252278,199133,,197686,191963,185999,,,,,,,,
湖北省,,901566,730224,,620232,442802,292625,246103,,196856,173510,154165,,,,,,,,
湖南省,,587876,439957,,382288,270653,215308,190349,,160456,139889,129336,,,,,,,,
广东省,,2728049,2567749,,1114596,847445,770550,695114,,606355,537725,462575,,,,,,,,
广西壮族自治区,,557681,460823,,368061,278343,223548,170406,,132977,104622,80780,,,,,,,,
海南省,,80816,71384,,36655,27690,23486,20404,,15682,13820,12098,,,,,,,,
重庆市,,549520,492023,,467991,367325,302919,241020,,166614,127565,91265,,,,,,,,
四川省,,643252,557850,,269875,203615,171274,153580,,147137,133565,128035,,,,,,,,
贵州省,,398716,330745,,272765,181520,129120,86695,,43166,31875,29059,,,,,,,,
云南省,,545651,392590,,405613,232256,175463,116661,,103651,95797,79200,,,,,,,,
西藏自治区,,14675,14229,,5424,5438,5393,5175,,1617,1554,1400,,,,,,,,
陕西省,,491824,399705,,213363,145512,123679,98157,,95997,82866,71570,,,,,,,,
甘肃省,,134734,110103,,75902,68918,59508,47044,,41476,36227,33021,,,,,,,,
青海省,,70382,58580,,67546,26448,22378,18618,,11026,9081,8077,,,,,,,,
宁夏回族自治区,,99542,79645,,56699,42069,31094,22832,,21928,19291,16276,,,,,,,,
新疆维吾尔自治区,,212865,165184,,132114,104979,87929,73691,,47573,42270,39050,,,,,,,,
数据来源：国家统计局
