数据库：分省年度数据
指标：港、澳、台商投资企业法人单位数(个)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,6569,5304,,6392,6382,6412,6017,,5578,5141,4824,,,,,,,,
天津市,,2532,2665,,3236,3024,2457,2156,,1997,1886,1768,,,,,,,,
河北省,,987,940,,966,868,817,850,,782,752,759,,,,,,,,
山西省,,304,256,,288,213,197,189,,191,197,196,,,,,,,,
内蒙古自治区,,213,177,,221,203,196,194,,186,173,163,,,,,,,,
辽宁省,,1768,1575,,2254,2236,2249,2261,,2380,2285,2183,,,,,,,,
吉林省,,218,192,,292,287,265,260,,202,204,184,,,,,,,,
黑龙江省,,292,247,,432,368,337,345,,326,315,303,,,,,,,,
上海市,,12986,12153,,13542,13398,13198,12616,,15114,13066,11248,,,,,,,,
江苏省,,13585,13103,,15840,13720,13484,13464,,11984,11504,11097,,,,,,,,
浙江省,,9639,9211,,11461,10663,11293,11059,,10662,10131,9575,,,,,,,,
安徽省,,937,853,,1214,1081,1010,965,,942,942,852,,,,,,,,
福建省,,10775,9642,,10948,10499,10178,9746,,9083,8736,8209,,,,,,,,
江西省,,1513,1051,,1706,1343,1306,1265,,1387,1267,1223,,,,,,,,
山东省,,4487,3792,,4802,3360,3228,3177,,2954,2814,2680,,,,,,,,
河南省,,1070,782,,949,860,772,728,,675,634,616,,,,,,,,
湖北省,,1810,1660,,2065,1730,1347,1266,,1302,1217,1181,,,,,,,,
湖南省,,947,766,,1214,1052,991,991,,1133,972,968,,,,,,,,
广东省,,66131,63796,,46372,41719,40977,40312,,41500,39792,37365,,,,,,,,
广西壮族自治区,,1333,1215,,1100,912,866,847,,903,892,808,,,,,,,,
海南省,,469,438,,453,408,400,383,,475,442,390,,,,,,,,
重庆市,,1129,905,,1166,833,781,722,,679,609,538,,,,,,,,
四川省,,1202,1059,,950,940,885,832,,829,723,698,,,,,,,,
贵州省,,361,313,,345,271,244,215,,193,201,187,,,,,,,,
云南省,,740,542,,791,545,507,496,,403,402,367,,,,,,,,
西藏自治区,,19,19,,24,24,20,19,,5,5,3,,,,,,,,
陕西省,,922,750,,739,417,375,341,,384,366,341,,,,,,,,
甘肃省,,90,68,,109,107,102,102,,116,116,108,,,,,,,,
青海省,,56,52,,90,73,66,62,,57,54,57,,,,,,,,
宁夏回族自治区,,82,69,,79,65,53,44,,46,41,34,,,,,,,,
新疆维吾尔自治区,,184,157,,174,163,155,152,,134,134,124,,,,,,,,
数据来源：国家统计局
