数据库：分省年度数据
指标：外商投资企业单位法人单位数(个)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,10233,8586,,9737,9696,9807,9585,,9862,9469,9251,,,,,,,,
天津市,,3869,3905,,5525,5864,5614,5362,,5595,5415,5162,,,,,,,,
河北省,,1854,1841,,1824,1542,1543,1575,,1672,1694,1688,,,,,,,,
山西省,,496,416,,473,301,301,284,,286,277,291,,,,,,,,
内蒙古自治区,,334,314,,329,284,291,292,,362,374,365,,,,,,,,
辽宁省,,4406,3922,,6064,6141,6257,6262,,7805,7504,7588,,,,,,,,
吉林省,,586,509,,813,770,779,773,,707,700,708,,,,,,,,
黑龙江省,,480,419,,816,581,533,592,,640,634,608,,,,,,,,
上海市,,19538,18386,,22048,21491,21409,20944,,26942,24089,21579,,,,,,,,
江苏省,,18304,18130,,21957,20137,20143,20240,,19049,18292,17602,,,,,,,,
浙江省,,16967,15663,,14112,11625,12291,11867,,13415,11795,11117,,,,,,,,
安徽省,,1214,1057,,1711,1431,1395,1365,,1412,1372,1256,,,,,,,,
福建省,,5342,4702,,5451,5429,5465,5396,,5449,5287,5081,,,,,,,,
江西省,,868,621,,893,777,795,779,,845,816,827,,,,,,,,
山东省,,9926,8892,,13636,9626,9487,9415,,10599,11042,10746,,,,,,,,
河南省,,1455,1069,,1184,832,817,765,,810,833,825,,,,,,,,
湖北省,,2381,2100,,2915,2577,2482,1901,,1445,1381,1299,,,,,,,,
湖南省,,835,667,,922,765,753,809,,784,687,813,,,,,,,,
广东省,,20636,19633,,19311,16742,16462,16231,,17741,17272,16363,,,,,,,,
广西壮族自治区,,1338,1208,,1037,783,782,737,,748,782,790,,,,,,,,
海南省,,268,235,,343,324,321,315,,366,351,330,,,,,,,,
重庆市,,1374,1056,,1301,960,920,859,,840,748,704,,,,,,,,
四川省,,1735,1460,,1295,1315,1326,1293,,1386,1265,1238,,,,,,,,
贵州省,,344,286,,288,257,239,216,,223,217,224,,,,,,,,
云南省,,1222,854,,1237,683,664,617,,588,576,551,,,,,,,,
西藏自治区,,50,48,,32,39,42,41,,33,33,32,,,,,,,,
陕西省,,1087,896,,987,791,754,740,,716,679,635,,,,,,,,
甘肃省,,113,108,,146,143,148,153,,166,160,159,,,,,,,,
青海省,,91,76,,190,88,88,83,,78,68,66,,,,,,,,
宁夏回族自治区,,108,100,,107,99,91,98,,88,97,90,,,,,,,,
新疆维吾尔自治区,,300,234,,313,298,289,289,,199,193,180,,,,,,,,
数据来源：国家统计局
