数据库：分省年度数据
指标：第二产业增加值(亿元)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,7268.6,5739.1,5667.4,5477.4,5049.4,4665.8,4419.8,4433.0,4168.3,3856.0,3563.3,3233.1,2736.4,2526.7,2413.4,2072.1,1907.4,1773.7,1456.4,1235.1
天津市,5854.3,4911.8,4947.2,4835.3,4564.1,4368.0,4489.6,4615.5,4407.1,4134.0,3756.3,3259.7,2808.7,2659.7,2123.6,1834.5,1630.5,1348.3,1137.6,931.5
河北省,16364.2,13765.1,13393.7,12904.1,12778.0,12332.3,11519.5,11476.9,11178.4,10919.7,10275.5,8470.5,7164.4,6981.5,5849.5,4771.9,4123.9,3467.9,2922.7,2467.7
山西省,11213.1,7703.2,7466.3,7074.5,6635.3,5113.6,5219.7,6378.0,6684.3,6852.7,6750.2,5349.6,4091.2,4389.0,3602.3,2799.3,2389.5,1931.6,1520.7,1134.3
内蒙古自治区,9374.2,6908.2,6763.1,6335.4,5874.3,5579.8,5269.5,5114.4,4870.1,4553.6,4044.0,3420.5,2916.0,2555.1,2122.7,1722.4,1377.8,1041.2,840.9,754.8
辽宁省,10875.2,9357.5,9475.9,9049.0,8328.9,7865.7,8344.6,9038.8,9204.2,8886.9,8478.7,7181.8,6539.3,6273.1,5060.2,4060.7,3443.9,2957.8,2841.0,2599.7
吉林省,4768.3,4319.9,4134.8,4051.5,3995.5,3901.4,3837.8,3804.9,3572.1,3315.2,2931.4,2485.8,2055.1,1788.0,1477.7,1097.2,1002.4,903.4,805.7,793.5
黑龙江省,3975.3,3449.9,3640.1,3536.0,3519.5,3689.7,3926.9,4872.4,5202.7,5099.8,4916.3,4146.1,3668.1,3935.0,3383.0,2998.0,2656.4,2270.3,1956.4,1728.3
上海市,11449.3,10258.6,10193.6,10360.8,9525.9,8570.2,8408.7,8633.3,8286.5,8174.1,8169.3,7434.9,6184.8,6215.5,5677.5,4929.2,4314.9,3872.2,3239.6,2635.3
江苏省,51775.4,44631.3,43507.5,42129.4,39124.1,35041.5,33371.8,31048.8,29149.4,27150.8,25231.2,21853.6,18667.2,17051.1,14497.4,11991.1,10234.1,8325.8,6787.1,5604.5
浙江省,31188.6,26361.5,26299.5,25308.1,23246.7,21571.3,20606.6,19580.7,18162.8,17040.5,16271.0,14140.9,11882.4,11512.7,10122.7,8295.7,6953.7,6160.4,5126.3,4112.9
安徽省,17613.2,15216.5,14970.0,14094.4,12681.2,11517.5,10838.3,10982.6,10233.4,9247.9,8189.1,6396.0,4918.7,4194.5,3371.8,2653.2,2197.4,1846.2,1557.6,1347.3
福建省,22866.3,20168.4,20065.5,18847.8,16290.0,14683.7,13735.7,13165.1,11805.5,10527.0,9316.6,7705.3,6129.1,5387.0,4521.8,3629.7,3095.9,2738.7,2329.7,2029.2
江西省,13183.2,11107.9,10820.3,10081.2,9444.6,8732.5,8367.7,8238.7,7661.9,6893.3,6338.0,5083.1,3882.7,3518.8,2950.3,2337.6,1834.7,1505.2,1204.3,941.8
山东省,33187.2,28456.7,28171.8,27523.7,26925.6,25565.0,24814.9,23588.0,22615.9,21275.9,19926.1,17733.1,15919.7,14911.5,12529.4,10568.5,8841.1,7327.6,5720.0,5037.6
河南省,24331.6,22220.9,23035.6,22038.6,20940.3,18986.9,17947.9,17139.6,15995.4,15042.6,14021.6,12173.5,10324.6,9713.4,7904.0,6316.2,5202.3,4080.7,3348.6,2881.6
湖北省,18952.9,15933.8,18723.0,17573.9,15713.9,14527.0,13569.5,13007.9,11846.3,11152.6,9766.1,7748.3,6035.5,5066.2,4128.9,3270.8,2758.8,2273.5,1949.8,1704.4
湖南省,18126.1,15949.2,15401.7,13904.1,13459.8,12942.0,12665.7,11825.1,10913.8,9926.7,8883.6,7034.7,5494.7,4870.0,3867.4,3030.7,2490.2,2135.6,1772.3,1523.5
广东省,50219.2,43868.1,43368.2,41398.5,38536.6,35499.2,33913.8,31930.4,29343.0,27346.1,26161.1,22917.4,19439.7,18519.4,16022.6,13158.0,11049.2,9191.7,7684.4,6209.1
广西壮族自治区,8187.9,7046.8,7046.4,6692.9,6138.3,5621.0,5391.0,5145.6,4709.3,4503.1,4241.2,3465.2,2715.3,2466.0,2074.0,1604.7,1324.3,1151.1,955.1,844.8
海南省,1238.8,1072.2,1083.8,1053.1,996.4,904.0,882.9,826.5,750.9,747.2,671.3,528.6,432.4,412.6,354.3,291.6,229.8,199.6,175.8,148.9
重庆市,11184.9,9969.6,9392.0,8842.2,8455.0,7765.4,7208.0,6774.6,5988.6,5308.1,4571.3,3624.1,3016.8,2651.8,2237.3,1873.4,1559.2,1392.6,1164.1,981.3
四川省,19901.4,17505.6,17187.9,16056.9,14569.2,13450.1,13192.5,13082.7,12418.9,11231.1,10014.4,8283.2,6653.2,5766.5,4607.7,3658.1,2961.2,2439.7,2020.5,1733.4
贵州省,6984.7,6263.0,5971.5,5506.2,4970.9,4468.7,4026.7,3582.4,3171.0,2716.8,2258.9,1820.7,1574.9,1437.7,1187.2,953.0,797.9,667.0,570.7,482.0
云南省,9589.4,8387.5,8060.4,7267.5,6317.8,5747.4,5491.7,5376.5,5000.5,4458.4,3811.4,3267.7,2605.4,2476.1,2057.4,1674.2,1387.3,1267.8,1059.8,942.1
西藏自治区,757.3,714.9,635.6,582.7,469.6,390.4,341.8,310.3,270.8,226.1,195.6,155.0,130.1,110.8,95.2,76.1,60.5,51.3,47.5,32.7
陕西省,13802.5,11222.0,11779.5,11215.3,10114.1,8906.5,8664.6,9045.0,8418.0,7612.3,6484.3,5071.5,4017.5,3666.1,2865.9,2271.0,1807.8,1506.1,1221.2,1007.6
甘肃省,3466.6,2824.8,2862.4,2761.6,2515.8,2483.5,2505.4,2823.3,2674.0,2493.3,2288.6,1910.4,1473.2,1429.9,1254.1,972.5,772.2,680.3,572.2,501.7
青海省,1332.6,1143.2,1153.9,1093.7,975.7,867.7,761.1,714.8,681.0,620.2,553.1,444.2,365.7,350.3,275.3,228.1,190.3,154.4,132.2,113.0
宁夏回族自治区,2021.6,1629.3,1587.1,1488.1,1406.0,1179.7,1116.8,1113.7,1059.5,992.5,919.8,733.4,593.0,558.1,422.0,321.9,259.8,232.6,191.8,153.1
新疆维吾尔自治区,5967.4,4786.7,4784.4,4657.2,4096.2,3446.1,3446.1,3829.3,3479.9,3325.9,3093.4,2479.8,1846.0,1991.8,1588.5,1409.8,1127.1,887.1,700.3,589.2
注：1.本表按当年价格计算。
　　　2.行业分类采用《国民经济行业分类（GB/T 4754－2017）》。第一产业是指农、林、牧、渔业（不含农、林、牧、渔专业及辅助性活动）；第二产业是指采矿业（不含开采专业及辅助性活动），制造业（不含金属制品、机械和设备修理业），电力、热力、燃气及水生产和供应业，建筑业；第三产业即服务业，是指除第一产业、第二产业以外的其他行业。
　　　3.按照我国国民经济核算数据修订制度和国际通行作法，在第四次全国经济普查后，对2018年及以前年度的地区生产总值历史数据进行了系统修订。
　　　4.2019年为最终核实数。
　　　5.若表中数据分项合计与总计不等，是由于数据修约误差所致，未做机械调整。
数据来源：国家统计局
