数据库：分省年度数据
指标：机关法人单位数(个)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,1868,1845,,2156,2172,2187,2179,,2092,2089,2149,,,,,,,,
天津市,,1924,1573,,2042,2030,2043,2064,,1873,1861,1831,,,,,,,,
河北省,,11349,11759,,11797,12105,12434,12529,,11802,11842,11998,,,,,,,,
山西省,,8339,8338,,8956,8995,8988,9057,,8898,8905,8914,,,,,,,,
内蒙古自治区,,8009,7632,,7697,7557,7548,7605,,7677,7665,7650,,,,,,,,
辽宁省,,8196,8073,,9514,9604,9617,9638,,9763,9514,9489,,,,,,,,
吉林省,,5025,4985,,5889,5880,5876,5886,,5631,5678,5699,,,,,,,,
黑龙江省,,8948,8787,,9595,9583,9572,9756,,9919,9935,9962,,,,,,,,
上海市,,1364,1363,,1676,1688,1678,1673,,1892,1854,1846,,,,,,,,
江苏省,,9139,9354,,10474,10620,10652,10803,,9997,10061,10192,,,,,,,,
浙江省,,7824,7848,,8262,8113,8133,8260,,7720,7677,7830,,,,,,,,
安徽省,,8507,8625,,9278,9054,9076,9095,,9352,9658,9747,,,,,,,,
福建省,,7706,7717,,9183,9109,9117,9092,,8032,8020,8010,,,,,,,,
江西省,,8492,8469,,9746,9699,9782,9760,,9366,9327,9361,,,,,,,,
山东省,,12417,12213,,12306,12826,12412,12420,,12085,12117,12145,,,,,,,,
河南省,,13874,13960,,14337,14465,14464,14299,,11827,11833,11837,,,,,,,,
湖北省,,10381,9879,,9921,9810,9873,9874,,10520,10396,10185,,,,,,,,
湖南省,,10735,10587,,12686,12712,12788,12946,,12832,12915,12923,,,,,,,,
广东省,,13041,12937,,12147,11971,11916,11742,,11781,11661,11593,,,,,,,,
广西壮族自治区,,8900,8772,,8565,9329,10615,10555,,11034,10683,10382,,,,,,,,
海南省,,1618,1583,,1735,1699,1697,1600,,1386,1389,1368,,,,,,,,
重庆市,,3526,3797,,4227,4032,4037,4037,,4403,4459,4469,,,,,,,,
四川省,,15284,16806,,18546,19358,19721,20105,,20076,19555,19580,,,,,,,,
贵州省,,7322,7024,,7346,7270,7271,7190,,7211,7216,7265,,,,,,,,
云南省,,10828,10239,,11415,11253,11266,11337,,10902,10917,10853,,,,,,,,
西藏自治区,,5217,5166,,5764,5795,5791,5797,,4124,4108,4105,,,,,,,,
陕西省,,8364,8270,,9493,9641,9699,9863,,8948,9435,9838,,,,,,,,
甘肃省,,6726,6761,,7249,7025,7011,7056,,7065,7059,7075,,,,,,,,
青海省,,2939,2897,,3005,2959,2969,2984,,2777,2777,2769,,,,,,,,
宁夏回族自治区,,1731,1708,,1526,1471,1460,1466,,1490,1486,1485,,,,,,,,
新疆维吾尔自治区,,8286,8189,,8827,8706,8701,8689,,7796,7763,7707,,,,,,,,
数据来源：国家统计局
