数据库：分省年度数据
指标：第三产业增加值(亿元)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,32889.6,30095.9,29663.4,27508.1,24711.7,22245.7,20218.9,18333.9,16806.5,15020.3,13491.0,11608.1,10047.7,9175.1,7912.8,6227.7,5155.5,4393.4,3726.7,3208.2
天津市,9615.4,8885.9,8922.9,8352.3,7717.5,6940.8,6227.6,5866.3,5383.6,4761.1,4215.2,3439.3,2781.3,2406.1,1927.3,1600.3,1415.7,1167.5,1030.3,911.2
河北省,19996.7,18368.4,18066.4,16252.0,14732.8,13059.3,11778.4,10567.3,9939.3,9243.8,8406.4,7060.0,6020.7,5261.8,4566.4,3869.3,3304.2,2787.1,2346.8,2094.2
山西省,10090.2,8965.8,8670.0,8142.9,7129.8,6108.5,5890.5,4980.1,4605.3,4188.4,3557.7,3043.9,2613.0,2460.5,2029.8,1657.9,1442.1,1301.5,1118.3,992.7
内蒙古自治区,8914.8,8321.1,8586.1,8054.7,7374.0,6558.9,6049.2,5405.8,4939.4,4463.3,4104.4,3681.6,3253.4,2784.4,2281.7,1804.5,1556.3,1378.4,1127.4,811.5
辽宁省,14247.1,13369.1,13201.4,12441.0,11461.8,10685.6,9811.9,8984.9,8031.2,7092.4,6182.9,5245.5,4979.1,4648.9,4154.7,3421.1,2962.5,2737.6,2467.3,2284.4
吉林省,6913.4,6383.1,6304.7,6041.6,5831.2,5395.5,4909.6,4891.5,4605.5,4167.2,3697.4,2996.3,2491.1,2183.2,1847.5,1489.1,1155.5,989.5,848.6,808.0
黑龙江省,7440.9,6738.5,6721.1,6309.3,5828.2,5454.0,5050.9,4607.4,4106.9,3796.5,3323.2,2870.4,2409.0,2125.4,1850.9,1599.9,1425.4,1283.5,1160.3,1050.2
上海市,31665.6,28597.1,27686.9,25546.3,23288.3,21202.4,18352.8,16504.5,14786.0,13002.1,11713.9,10366.1,9445.3,8212.1,7101.8,5578.2,4794.2,4148.0,3485.4,3082.1
江苏省,59866.4,53638.9,50852.1,46936.5,42700.5,38269.6,33931.7,30174.3,26752.5,23309.8,20699.2,17121.0,13660.9,11906.2,9775.4,7781.4,6497.1,5197.0,4493.3,3891.9
浙江省,40118.1,36161.3,34075.8,30718.8,27222.5,23792.4,21129.8,18716.2,17453.1,15731.1,14048.6,11936.1,9816.7,8698.6,7547.9,6093.9,5193.2,4517.9,3909.3,3242.6
安徽省,21985.4,19660.1,18959.5,17278.5,14412.7,12300.5,10616.8,9242.1,8177.4,7075.2,6227.8,5253.2,4563.4,4010.1,3453.5,2836.1,2512.0,2332.4,2000.8,1696.7
福建省,23046.3,20709.3,19665.6,17461.0,15337.3,12780.6,11150.9,9921.2,8953.2,8034.8,7109.0,6027.4,5180.2,4448.7,3852.6,3010.1,2527.0,2210.5,1987.9,1778.9
江西省,14102.2,12430.2,11789.3,10758.0,8930.9,7862.0,6698.8,5802.3,5097.7,4475.2,3926.0,3152.5,2685.2,2400.9,1958.7,1584.1,1388.9,1228.4,1056.9,972.7
山东省,43879.7,38977.2,37251.7,34174.7,31253.8,28367.2,25571.1,22524.0,20274.3,17634.4,15370.3,12778.1,10544.9,9318.5,7737.6,6301.1,5178.2,4232.3,3726.2,3669.7
河南省,28934.9,26684.5,26046.5,23586.2,19745.3,17198.8,15120.7,13446.9,11809.9,10342.2,8947.8,7354.4,6190.8,5446.7,4763.8,3791.9,3197.2,2682.9,2395.1,1946.8
湖北省,26398.4,22937.6,22896.5,20899.9,17992.2,15419.5,13664.6,12232.6,10648.0,8763.5,7707.1,6435.5,5439.3,4715.2,3991.1,3135.5,2641.0,2264.4,2009.3,1801.4
湖南省,23614.1,21352.7,20845.2,19341.4,17369.9,14995.9,13125.0,11385.2,10042.3,8712.7,7611.4,6466.4,5482.3,4675.6,3854.2,3156.2,2801.4,2384.6,2018.0,1780.8
广东省,69146.8,62550.8,60268.1,54710.4,49500.7,43163.5,37628.9,33204.0,30284.0,26950.3,24358.5,20827.6,18079.0,16264.0,14056.6,11308.5,9518.6,8246.8,7222.4,6377.8
广西壮族自治区,12537.5,11428.1,10801.0,9913.9,8774.1,7695.3,6841.4,6028.8,5448.4,4674.1,4052.3,3447.6,2972.1,2567.2,2185.9,1788.8,1513.1,1343.8,1183.4,1077.0
海南省,3982.0,3358.0,3168.1,2871.6,2538.4,2261.5,2016.0,1829.3,1641.4,1358.3,1155.9,970.1,739.8,638.5,528.4,425.1,365.2,331.1,293.9,271.0
重庆市,14787.1,13268.3,12662.2,11367.9,10335.2,9020.7,7764.8,6858.5,6097.7,5407.6,4795.8,3791.7,3053.4,2692.7,2064.0,1647.2,1434.1,1246.6,1118.6,985.9
四川省,28287.6,25439.2,24368.3,22417.7,19073.5,15787.8,13488.6,12283.9,10841.7,9548.8,8181.9,6556.7,5377.0,4850.8,3987.8,3222.6,2831.5,2535.2,2197.1,1943.7
贵州省,9870.8,9057.5,8517.3,7691.0,6602.3,5461.8,4872.3,4309.3,3802.7,3162.8,2657.1,2095.5,1750.6,1544.2,1229.7,944.0,779.6,647.3,567.4,480.7
云南省,13687.2,12556.5,12125.7,11114.5,9829.8,8396.1,7389.0,6657.7,5946.5,4998.6,4315.1,3377.3,2919.3,2538.6,2170.4,1712.0,1464.1,1260.8,1079.0,953.2
西藏自治区,1158.8,1037.5,924.0,837.3,761.2,672.1,607.6,541.3,476.2,408.8,346.1,293.1,255.1,229.8,196.6,162.2,137.7,124.5,98.9,90.6
陕西省,13589.1,12524.4,12022.6,10896.4,9618.3,8443.2,7634.5,6790.6,6023.9,5215.3,4503.4,3827.0,3228.7,2794.2,2255.2,1858.4,1590.8,1278.8,1063.8,963.6
甘肃省,5412.0,4966.7,4796.6,4416.4,3961.2,3623.7,3317.8,2999.4,2682.4,2308.9,2002.7,1560.8,1376.6,1250.5,1055.1,900.6,788.1,690.0,589.7,514.8
青海省,1661.4,1528.6,1485.3,1386.2,1251.0,1169.3,1041.0,917.0,827.6,734.1,664.6,567.4,468.7,443.0,363.2,291.2,246.3,231.2,206.8,182.3
宁夏回族自治区,2136.3,1989.0,1881.4,1742.7,1543.7,1360.7,1225.8,1143.4,1057.5,949.5,837.0,686.9,553.2,468.2,362.7,284.6,250.3,222.0,195.2,171.1
新疆维吾尔自治区,7660.2,7032.8,7030.9,6460.1,5511.9,4711.6,4451.2,4028.5,3586.2,2881.9,2391.4,1880.1,1686.1,1503.8,1318.3,1045.1,907.8,844.1,795.8,733.0
注：1.本表按当年价格计算。
　　　2.行业分类采用《国民经济行业分类（GB/T 4754－2017）》。第一产业是指农、林、牧、渔业（不含农、林、牧、渔专业及辅助性活动）；第二产业是指采矿业（不含开采专业及辅助性活动），制造业（不含金属制品、机械和设备修理业），电力、热力、燃气及水生产和供应业，建筑业；第三产业即服务业，是指除第一产业、第二产业以外的其他行业。
　　　3.按照我国国民经济核算数据修订制度和国际通行作法，在第四次全国经济普查后，对2018年及以前年度的地区生产总值历史数据进行了系统修订。
　　　4.2019年为最终核实数。
　　　5.若表中数据分项合计与总计不等，是由于数据修约误差所致，未做机械调整。
数据来源：国家统计局
