数据库：分省年度数据
指标：农林牧渔业增加值(亿元)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,113.4,110.7,116.9,122.6,124.3,132.2,142.8,161.5,162.0,150.4,136.5,124.6,118.3,112.8,101.3,88.8,88.7,87.4,84.6,82.9
天津市,233.3,218.3,191.8,181.0,174.0,174.6,167.3,163.1,158.5,147.9,141.1,131.7,119.5,116.6,107.5,103.4,112.4,105.3,89.9,84.2
河北省,4286.1,4113.2,3727.5,3522.3,3298.3,3235.1,3240.3,3294.3,3260.8,3021.8,2802.9,2563.2,2207.7,2034.9,1805.0,1462.0,1400.2,1370.6,1064.2,957.0
山西省,1356.9,1232.0,875.5,788.4,764.1,766.8,767.1,775.9,733.1,674.7,616.2,536.7,466.5,393.5,317.2,276.8,262.4,277.3,215.2,197.8
内蒙古自治区,2258.8,2060.0,1893.5,1779.8,1677.7,1677.0,1655.3,1661.9,1605.3,1453.2,1309.7,1097.8,934.9,902.9,762.6,634.9,589.6,522.8,420.1,374.7
辽宁省,2546.7,2370.3,2266.9,2109.6,2000.4,1945.8,2158.0,2104.8,2067.4,1951.8,1763.3,1526.5,1346.3,1259.6,1114.8,939.4,882.4,798.4,615.8,590.2
吉林省,1604.2,1600.6,1333.4,1205.0,1137.7,1171.1,1309.1,1308.2,1286.6,1231.5,1139.7,958.6,915.7,875.8,766.2,650.5,625.6,568.7,488.2,446.2
黑龙江省,3558.0,3534.6,3268.2,3080.2,3036.9,2817.7,2770.7,2742.6,2584.8,2157.9,1727.9,1318.6,1164.4,1095.5,912.5,750.1,684.6,593.3,504.8,474.2
上海市,108.2,116.7,113.3,112.4,115.1,118.3,129.7,136.3,136.0,133.3,130.2,117.8,115.8,112.8,102.6,93.8,90.3,83.5,81.0,79.7
江苏省,5073.7,4868.5,4611.9,4431.4,4314.5,4286.1,4175.9,3808.2,3623.7,3400.4,3051.4,2530.9,2255.8,2096.5,1814.6,1545.1,1461.5,1367.6,1162.5,1110.4
浙江省,2270.1,2221.4,2135.9,2019.3,1972.8,1925.5,1803.8,1756.0,1745.7,1635.8,1558.1,1343.2,1152.4,1089.5,983.1,925.1,892.8,814.1,726.7,692.6
安徽省,3545.1,3353.7,3069.2,2776.0,2707.3,2603.8,2467.3,2380.3,2250.3,2088.4,1931.2,1655.6,1430.7,1358.2,1155.8,1011.2,966.6,950.6,749.5,783.8
福建省,3004.9,2831.8,2691.1,2464.3,2294.4,2221.0,2003.2,1920.7,1805.2,1684.3,1544.1,1317.5,1153.4,1139.7,992.3,866.0,827.4,795.2,713.1,689.7
江西省,2437.9,2328.1,2135.8,1947.9,1898.5,1851.9,1773.9,1682.3,1591.7,1484.4,1363.3,1188.3,1101.0,1051.8,902.4,786.1,727.4,673.8,560.0,543.7
山东省,6449.5,5750.1,5477.1,5273.9,5114.7,5072.3,5110.8,4857.3,4630.8,4198.2,3909.3,3538.7,3194.4,2983.6,2501.0,2138.9,1963.5,1778.5,1480.7,1390.0
河南省,5908.6,5600.5,4860.7,4501.2,4310.6,4217.4,4154.4,4089.9,3913.5,3654.2,3421.1,3192.8,2726.3,2630.2,2206.2,1916.7,1892.0,1692.8,1239.7,1246.4
湖北省,4923.1,4359.0,4014.3,3734.3,3690.3,3527.9,3210.9,3080.6,2951.6,2732.9,2518.7,2088.4,1759.0,1755.5,1368.5,1140.4,1082.1,1020.1,808.6,714.2
湖南省,4561.4,4462.0,3850.5,3266.5,3165.3,3063.1,2878.9,2793.1,2702.1,2671.1,2509.8,2150.3,1857.3,1815.3,1594.9,1272.2,1100.7,1041.1,886.5,847.3
广东省,5169.5,4880.8,4478.3,3948.9,3712.7,3593.6,3275.1,3118.4,2950.0,2778.5,2614.6,2254.5,1996.4,1969.5,1705.7,1532.2,1428.3,1248.6,1097.3,1037.9
广西壮族自治区,4136.3,3757.3,3493.9,3116.4,2964.7,2877.0,2633.0,2473.9,2343.6,2172.4,2047.2,1675.1,1458.5,1453.8,1241.4,1032.5,912.5,817.9,666.7,608.5
海南省,1300.7,1178.4,1118.0,1020.2,993.3,951.6,859.3,814.7,742.7,701.0,651.4,534.4,458.7,433.9,360.1,317.5,293.8,275.8,244.3,222.9
重庆市,1960.9,1837.0,1581.3,1405.4,1300.3,1258.4,1086.2,1006.4,955.3,892.3,805.3,659.1,589.8,563.1,476.6,386.4,463.4,428.1,339.1,317.9
四川省,5818.0,5701.2,4938.0,4544.3,4365.3,3991.9,3745.5,3598.7,3323.6,3198.9,2900.4,2424.6,2194.5,2175.0,1999.8,1638.9,1427.5,1351.6,1147.7,1064.8
贵州省,2877.7,2675.6,2408.0,2273.0,2140.0,1959.9,1714.0,1317.2,1032.6,892.7,726.9,625.7,550.9,540.9,446.9,387.3,368.9,340.9,304.0,280.8
云南省,3939.5,3674.5,3096.2,2552.6,2388.6,2272.6,2121.8,2045.4,1912.8,1671.0,1424.0,1114.6,1072.4,1024.3,870.5,724.4,661.7,607.8,494.6,463.4
西藏自治区,168.5,154.4,142.1,132.2,121.5,113.6,96.2,90.4,83.4,77.3,71.8,66.6,62.2,59.2,53.8,48.9,46.1,43.3,40.7,39.8
陕西省,2532.2,2381.8,2098.2,1927.8,1830.6,1778.9,1675.6,1637.8,1528.6,1372.5,1237.5,989.5,790.8,753.7,592.6,484.8,435.8,372.3,302.7,282.2
甘肃省,1406.8,1227.3,1097.2,962.3,896.0,834.5,780.7,739.7,698.3,626.7,558.3,501.7,447.3,418.6,391.0,334.5,308.4,287.0,244.4,221.3
