数据库：分省年度数据
指标：交通运输、仓储和邮政业增加值(亿元)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,942.5,844.4,1010.8,1015.9,901.0,790.8,739.8,724.8,670.6,635.5,637.3,570.4,449.2,408.4,412.5,373.5,333.9,303.4,271.1,249.2
天津市,871.1,805.0,787.7,748.8,729.8,689.2,669.5,685.0,681.2,679.1,650.0,572.1,474.7,431.9,342.8,304.5,283.5,239.0,229.6,222.9
河北省,3104.0,2780.1,2886.0,2606.5,2541.9,2410.3,2399.3,2333.5,2291.5,2207.8,2078.9,1773.3,1514.9,1357.8,1172.8,952.2,801.5,593.6,582.5,560.7
山西省,1209.4,1048.9,1028.2,983.8,853.2,745.5,721.3,644.0,632.2,684.6,611.0,528.4,472.8,550.4,441.4,356.3,303.0,312.4,279.1,268.2
内蒙古自治区,1262.4,1142.5,1202.7,1130.1,1074.2,976.5,936.3,910.2,862.7,819.6,743.7,652.4,584.1,539.3,459.0,395.7,349.2,304.2,264.1,244.3
辽宁省,1293.6,1209.6,1311.2,1304.4,1255.7,1200.0,1045.3,953.7,884.5,848.0,778.0,654.5,662.7,649.5,611.2,511.1,439.9,409.8,490.8,425.4
吉林省,650.0,582.1,574.4,579.9,563.7,537.6,516.4,513.9,506.3,481.5,442.4,373.9,341.8,317.1,275.8,236.8,208.1,192.3,201.0,194.9
黑龙江省,549.8,497.4,503.6,508.5,488.7,463.4,434.3,426.6,374.4,380.4,346.3,316.4,284.4,286.8,274.3,236.1,224.0,201.2,184.9,177.5
上海市,1843.5,1548.0,1650.4,1616.5,1381.7,1254.6,1143.3,1059.5,945.0,903.4,868.9,839.4,639.6,713.2,682.8,628.8,555.9,486.5,409.6,356.9
江苏省,3466.2,3179.8,3170.0,2964.4,2743.4,2535.6,2435.3,2592.0,2425.9,2352.7,2128.3,1768.6,1423.7,1346.3,1101.3,953.7,798.2,603.8,555.0,510.1
浙江省,2252.0,1915.8,1980.1,1852.8,1742.6,1605.9,1499.5,1383.8,1303.3,1229.2,1157.0,1037.9,861.8,826.4,735.9,611.0,493.5,434.8,361.8,327.2
安徽省,2057.0,1850.4,1951.5,1865.4,1591.0,1462.3,1374.9,1351.1,1233.3,1080.2,966.6,854.1,748.9,700.4,636.2,543.6,494.6,471.9,486.2,403.6
福建省,1772.7,1502.3,1482.2,1376.2,1309.3,1184.7,1110.2,1037.9,979.6,943.0,885.8,846.8,778.3,729.5,631.4,510.9,435.3,412.5,408.9,379.1
江西省,1218.9,1036.2,1106.7,1022.5,895.8,821.4,754.1,710.9,679.5,631.8,508.6,447.2,395.7,389.2,372.2,339.6,301.0,259.0,266.1,248.6
山东省,4166.8,3478.6,3636.1,3384.9,3221.2,2664.9,2436.3,2285.1,2033.8,2146.1,1961.9,1728.2,1616.9,1596.1,1236.4,1074.9,869.2,713.0,653.3,657.0
河南省,3378.4,2846.5,3038.0,2834.1,2413.9,2212.8,2032.3,1890.3,1634.7,1401.4,1142.5,1016.2,937.2,891.7,942.0,763.9,628.5,554.3,508.5,401.6
湖北省,2180.3,1737.3,2233.5,2031.0,1876.6,1652.9,1547.9,1454.3,1295.6,1101.4,1006.3,859.4,720.9,619.6,526.6,447.4,375.8,338.1,303.9,277.5
湖南省,1652.4,1486.5,1578.0,1516.2,1440.6,1309.6,1251.3,1184.8,1102.9,1016.5,899.4,795.5,677.9,601.9,501.7,418.1,367.4,323.8,372.3,333.5
广东省,3957.3,3370.1,3658.0,3363.5,3166.7,2877.5,2662.7,2490.1,2237.3,2100.8,1889.9,1670.5,1486.6,1541.3,1351.8,1164.2,1000.4,840.8,747.9,725.9
广西壮族自治区,1050.5,889.7,902.0,867.1,804.6,737.2,689.3,624.3,580.4,541.4,515.7,427.9,342.4,308.8,247.8,215.4,207.3,201.1,182.2,174.6
海南省,352.8,257.6,256.0,224.2,213.9,188.9,176.9,150.0,135.4,124.6,109.4,96.4,85.2,82.6,76.8,66.4,59.9,57.6,66.5,62.0
重庆市,1087.3,944.0,977.1,899.4,828.0,777.2,726.1,680.9,642.6,591.2,580.2,489.1,416.7,367.3,285.2,263.3,223.6,189.2,159.5,145.1
四川省,1553.6,1359.5,1473.1,1401.7,1205.9,1118.8,941.9,864.7,617.9,591.7,545.0,500.9,489.3,472.6,472.7,420.0,355.8,313.1,297.4,271.2
贵州省,817.8,708.1,709.9,655.3,576.3,503.3,454.7,421.9,383.1,335.6,297.9,244.9,212.2,195.7,164.1,131.6,113.8,94.6,84.5,79.5
云南省,1247.8,1049.7,1101.1,1041.2,888.1,740.2,650.5,591.6,528.8,454.2,378.8,321.1,283.4,247.6,278.6,230.3,164.2,180.8,159.5,132.6
西藏自治区,45.4,43.5,47.8,47.7,42.0,37.5,37.5,36.0,33.5,29.7,26.7,24.4,23.1,20.6,17.9,14.4,12.6,12.2,11.4,11.1
陕西省,1245.2,1127.8,1106.3,1033.6,959.1,879.4,803.7,753.3,674.0,673.5,596.3,506.6,442.3,395.5,337.8,298.2,249.2,204.9,169.7,160.5
甘肃省,471.6,409.9,438.4,407.2,378.3,343.7,342.2,343.9,349.2,330.3,303.6,260.1,240.5,233.7,197.2,181.5,152.2,126.1,127.1,107.0
青海省,140.8,116.8,123.2,123.2,118.3,107.5,100.6,97.8,90.8,85.5,79.1,70.7,52.5,45.3,42.4,36.2,31.7,30.5,25.1,22.1
宁夏回族自治区,204.0,181.0,177.7,170.1,182.8,187.4,183.0,183.6,183.2,182.2,162.5,136.7,108.9,89.1,64.9,53.1,45.0,39.0,49.8,43.5
新疆维吾尔自治区,703.6,595.9,751.1,730.1,554.4,461.6,436.5,397.9,317.7,294.6,212.9,188.5,182.9,169.2,159.8,138.2,133.8,132.4,136.7,142.6
注：1.本表按当年价格计算。
　　　2.行业分类采用《国民经济行业分类（GB/T 4754－2017）》。第一产业是指农、林、牧、渔业（不含农、林、牧、渔专业及辅助性活动）；第二产业是指采矿业（不含开采专业及辅助性活动），制造业（不含金属制品、机械和设备修理业），电力、热力、燃气及水生产和供应业，建筑业；第三产业即服务业，是指除第一产业、第二产业以外的其他行业。
　　　3.按照我国国民经济核算数据修订制度和国际通行作法，在第四次全国经济普查后，对2018年及以前年度的地区生产总值历史数据进行了系统修订。
　　　4.2019年为最终核实数。
　　　5.若表中数据分项合计与总计不等，是由于数据修约误差所致，未做机械调整。
数据来源：国家统计局
