数据库：分省年度数据
指标：住宿和餐饮业增加值(亿元)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,421.7,360.8,538.1,515.3,470.4,447.0,441.7,404.4,413.1,408.8,380.6,346.3,285.7,297.7,265.0,230.2,190.8,172.9,121.0,130.5
天津市,137.1,124.7,169.1,157.9,147.2,123.0,116.6,115.2,114.9,134.8,132.3,128.4,109.9,102.8,89.9,80.9,70.2,43.2,34.2,31.6
河北省,371.2,327.2,389.0,354.8,330.5,297.2,274.7,251.1,228.6,219.0,185.9,145.6,134.1,123.0,113.4,103.9,93.8,77.1,67.0,63.1
山西省,214.6,178.6,207.1,193.5,176.8,165.8,156.2,133.3,121.6,133.5,116.4,103.2,90.7,76.8,61.2,50.5,48.8,40.9,34.1,28.8
内蒙古自治区,332.9,292.5,361.5,330.2,318.7,302.6,283.8,263.9,247.5,230.5,214.7,203.9,183.7,164.3,146.1,130.9,113.2,100.6,87.9,80.0
辽宁省,308.7,265.8,316.9,296.3,287.8,284.9,268.5,261.8,250.3,242.3,229.9,206.7,208.9,196.2,175.7,153.5,140.5,141.0,140.9,146.1
吉林省,189.1,160.0,192.6,188.1,181.1,178.1,168.7,163.6,160.3,159.2,136.2,120.1,108.2,87.9,83.8,72.3,43.0,34.6,43.2,39.8
黑龙江省,210.7,176.6,232.0,213.7,200.2,186.6,173.7,162.6,144.4,140.9,121.1,101.5,85.7,69.3,59.2,52.0,45.9,41.2,37.1,34.2
上海市,399.3,347.9,458.9,451.6,430.3,400.1,382.9,368.8,318.2,304.1,282.0,270.2,241.7,245.8,220.4,190.3,164.2,149.0,135.9,122.2
江苏省,1591.0,1396.4,1531.4,1413.4,1302.9,1203.2,1112.6,1094.5,1028.0,1045.2,919.1,711.0,678.4,584.7,432.8,375.1,299.1,235.6,212.2,194.0
浙江省,1174.3,986.7,1085.5,991.9,941.3,889.4,813.8,726.1,646.6,627.1,583.3,486.9,401.0,380.3,315.9,252.2,216.0,198.0,176.8,158.7
安徽省,798.5,664.8,741.9,688.2,614.7,552.8,500.0,416.8,374.0,317.4,297.0,227.6,184.1,168.5,140.9,119.3,107.9,108.8,94.9,85.3
福建省,696.2,593.7,655.6,611.8,557.7,493.1,458.6,424.1,398.7,374.6,331.7,286.3,250.5,212.8,175.8,148.2,117.2,91.7,90.5,79.9
江西省,506.4,416.0,453.4,408.4,386.1,373.3,354.1,353.5,319.7,310.8,270.3,200.7,167.6,131.7,92.5,80.0,67.1,54.2,37.7,33.2
山东省,1258.9,1071.0,1173.7,1040.7,983.7,868.2,802.5,681.1,619.2,681.9,581.3,454.8,414.8,387.5,345.0,287.7,259.3,240.2,221.3,220.8
河南省,1114.2,1036.7,1157.6,1037.9,979.3,843.9,798.6,764.3,708.9,657.2,602.8,473.8,425.5,426.7,425.3,327.5,269.1,245.0,181.1,168.2
湖北省,1154.6,887.2,1248.5,1125.9,1022.2,913.7,828.8,753.7,673.6,585.0,502.7,428.5,370.9,312.2,243.4,187.0,156.3,135.6,124.3,113.5
湖南省,913.5,796.1,915.7,835.6,774.3,726.7,654.6,570.0,518.7,473.3,416.3,362.7,310.7,285.1,227.4,172.9,151.2,125.1,104.4,85.0
广东省,1742.7,1540.4,1880.5,1749.4,1654.3,1575.9,1452.8,1333.4,1256.7,1231.7,1137.6,1039.3,928.9,844.0,713.3,610.8,518.6,447.6,387.8,340.3
广西壮族自治区,379.8,325.1,376.9,342.7,322.7,301.1,289.8,284.7,284.8,276.3,251.1,201.5,177.5,172.6,150.1,116.9,100.7,93.0,70.4,65.4
海南省,256.7,221.0,267.2,252.4,221.4,202.0,183.1,167.4,148.6,106.0,94.1,79.2,63.3,55.0,43.6,34.1,27.4,23.4,16.9,16.8
重庆市,550.3,468.4,502.0,458.3,426.0,392.0,356.2,321.9,291.1,236.3,214.2,183.1,160.5,136.1,101.6,77.2,66.5,57.7,47.2,42.4
四川省,1196.2,996.3,1178.6,1043.2,934.0,852.9,780.3,706.0,645.9,588.5,536.3,460.8,393.1,327.0,294.7,246.8,214.8,193.2,167.5,151.4
贵州省,461.1,383.4,417.2,378.4,337.2,292.6,264.1,243.8,227.1,212.5,196.4,176.9,150.8,127.9,88.7,61.6,44.0,26.5,21.9,13.3
云南省,590.2,511.8,589.5,539.2,486.4,435.4,398.1,384.8,347.0,308.3,260.8,179.9,154.1,142.4,118.4,88.0,92.8,58.0,49.0,46.9
