数据库：分省年度数据
指标：金融业增加值(亿元)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,7603.7,7057.1,6544.2,5951.3,5299.6,4784.7,4365.5,3736.8,3247.5,2783.2,2421.6,2038.1,1744.4,1648.5,1410.2,1036.1,879.9,755.9,683.9,600.8
天津市,2153.2,2056.6,1907.9,1838.4,1731.8,1558.6,1455.6,1351.4,1192.4,995.3,783.8,546.8,443.1,349.7,283.1,174.3,140.4,131.9,102.4,73.2
河北省,2724.4,2528.9,2411.1,2220.9,2039.9,1720.0,1471.4,1327.9,1124.6,908.1,741.5,611.8,522.6,423.3,345.7,282.5,212.3,208.0,198.8,178.7
山西省,1284.0,1180.2,1130.6,1081.1,965.1,909.4,849.5,678.3,582.3,476.4,387.2,333.9,269.4,236.7,192.9,150.9,130.6,108.7,117.3,124.1
内蒙古自治区,898.4,849.0,874.9,847.0,809.4,730.1,627.8,547.9,489.3,437.6,377.0,295.5,255.7,192.3,149.7,113.4,87.5,72.5,64.5,46.5
辽宁省,2103.5,2064.5,1988.1,1856.6,1755.9,1650.4,1553.7,1218.1,1028.7,806.8,633.1,534.5,451.8,389.3,344.6,264.2,203.1,178.2,142.2,137.2
吉林省,964.3,901.2,837.9,780.8,774.6,732.2,683.1,680.4,643.1,503.6,382.6,245.9,233.9,190.5,177.0,145.4,90.9,85.5,78.4,82.0
黑龙江省,1112.9,1053.1,977.2,946.6,898.6,864.6,811.9,682.7,577.6,468.4,361.1,298.9,223.4,174.3,152.8,134.6,121.8,117.1,112.5,106.4
上海市,7973.3,7216.2,6535.2,5901.9,5334.5,4698.0,4089.5,3365.3,2787.2,2422.6,2237.3,1930.8,1791.3,1397.3,1196.7,799.2,652.5,601.1,518.5,485.3
江苏省,9164.0,8245.2,7435.7,6846.9,6215.7,5545.2,4914.6,4483.7,3818.8,3046.5,2540.1,2105.9,1597.0,1298.5,1054.3,653.3,492.4,440.5,392.1,368.9
浙江省,6159.1,5538.2,4904.0,4506.3,3770.6,3229.7,2956.3,2824.4,2786.7,2698.4,2572.1,2215.0,1839.3,1620.6,1230.2,871.8,659.2,511.8,451.5,347.5
安徽省,2779.5,2498.7,2340.6,2142.5,1683.2,1446.1,1236.8,1049.4,910.8,615.7,502.9,397.0,361.2,315.6,225.6,163.2,124.5,94.0,89.5,83.7
福建省,3623.1,3319.6,3040.5,2581.1,2343.4,2082.4,1852.6,1605.9,1411.5,1130.3,889.3,742.2,569.9,465.7,387.4,238.2,180.5,168.3,149.9,138.3
江西省,1975.0,1769.9,1583.0,1422.6,1100.1,1012.3,861.7,739.7,542.8,413.1,357.4,241.5,165.1,130.6,101.3,79.8,69.6,65.1,64.3,76.5
山东省,4938.6,4522.3,4177.4,3871.2,3570.6,3265.2,2890.8,2525.8,2215.6,1793.6,1513.9,1255.9,964.9,812.7,678.2,471.3,399.4,312.0,302.8,310.3
河南省,3101.6,2912.3,2773.2,2529.2,2130.5,1850.4,1612.8,1375.1,1168.3,998.2,853.6,686.7,491.9,406.6,296.9,209.7,172.3,163.1,146.6,122.5
湖北省,3432.7,3185.8,2783.6,2554.0,2255.2,1975.1,1588.8,1196.4,1033.1,769.1,602.7,508.5,439.4,364.4,316.6,161.8,118.5,115.9,107.3,97.0
湖南省,2288.0,2099.8,1938.6,1809.9,1701.8,1340.1,1209.8,962.7,763.1,580.8,501.2,463.8,403.0,334.1,259.9,198.8,156.9,116.5,99.7,92.4
广东省,11058.1,10016.1,8764.1,7962.3,7311.2,6570.0,6119.7,4872.8,4498.8,3757.1,3326.8,2890.1,2372.9,2019.4,1716.6,923.7,681.7,614.4,539.4,454.7
广西壮族自治区,1709.2,1572.9,1469.5,1366.8,1242.1,1110.7,996.3,830.8,735.1,559.6,424.4,368.2,324.2,240.5,185.2,122.3,87.0,71.7,61.5,35.9
海南省,422.8,395.9,386.2,380.1,328.9,296.9,255.8,238.5,192.8,142.0,112.0,90.3,60.8,47.3,31.2,16.4,13.2,11.6,10.7,10.1
重庆市,2459.8,2220.8,2088.0,1876.0,1737.6,1594.0,1387.2,1210.0,1070.3,927.4,768.0,538.9,397.8,312.4,236.3,214.8,186.6,162.0,144.7,132.5
四川省,3618.7,3320.3,3101.7,2922.4,2720.8,2312.7,1878.5,1622.0,1530.2,1176.1,792.6,606.9,482.6,437.3,344.8,284.2,250.9,230.4,204.4,183.1
贵州省,1158.0,1083.8,1060.0,992.3,874.5,736.1,642.5,575.3,507.1,411.2,335.5,258.2,198.9,155.6,128.9,88.3,70.7,59.0,48.1,41.5
云南省,1517.9,1450.4,1393.1,1312.6,1245.7,1121.3,1001.0,881.3,737.1,547.4,458.8,379.4,355.4,280.1,169.9,140.7,127.1,117.2,106.7,103.2
西藏自治区,213.5,186.0,121.9,118.6,108.2,90.4,66.0,54.2,40.6,31.2,30.9,26.5,22.7,22.0,11.3,7.7,7.3,5.3,4.7,3.4
陕西省,1986.2,1807.3,1673.7,1580.3,1435.9,1295.1,1177.3,1024.3,791.1,586.0,455.9,402.8,345.7,296.1,236.4,154.6,128.6,90.1,77.9,67.3
甘肃省,911.6,859.3,862.3,774.5,718.0,646.3,555.1,449.2,343.0,262.5,201.9,126.1,99.7,80.4,67.2,54.1,47.1,44.5,43.1,42.1
青海省,275.0,263.8,263.0,259.5,258.9,232.6,207.9,127.1,106.1,95.5,75.4,65.8,40.4,35.7,27.1,23.3,19.1,18.9,17.9,16.8
宁夏回族自治区,331.4,319.5,305.9,285.9,266.0,239.8,217.9,199.0,179.5,147.1,119.3,88.3,69.0,59.9,47.8,34.2,30.0,26.7,24.6,21.5
新疆维吾尔自治区,1141.7,1068.9,1018.6,967.3,858.1,748.2,711.8,666.5,563.6,415.6,324.4,249.9,220.2,185.7,159.3,94.8,74.8,68.5,66.6,52.2
注：1.本表按当年价格计算。
　　　2.行业分类采用《国民经济行业分类（GB/T 4754－2017）》。第一产业是指农、林、牧、渔业（不含农、林、牧、渔专业及辅助性活动）；第二产业是指采矿业（不含开采专业及辅助性活动），制造业（不含金属制品、机械和设备修理业），电力、热力、燃气及水生产和供应业，建筑业；第三产业即服务业，是指除第一产业、第二产业以外的其他行业。
　　　3.按照我国国民经济核算数据修订制度和国际通行作法，在第四次全国经济普查后，对2018年及以前年度的地区生产总值历史数据进行了系统修订。
　　　4.2019年为最终核实数。
　　　5.若表中数据分项合计与总计不等，是由于数据修约误差所致，未做机械调整。
数据来源：国家统计局
