数据库：分省年度数据
指标：社会团体法人单位数(个)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,6047,4988,,5814,5738,5711,5709,,4193,4144,4129,,,,,,,,
天津市,,2363,1492,,1918,2129,2163,2192,,1769,1734,1865,,,,,,,,
河北省,,9091,8879,,8286,8235,8594,8546,,5028,5122,5467,,,,,,,,
山西省,,9725,7633,,8106,8030,7470,7366,,5616,5380,5365,,,,,,,,
内蒙古自治区,,9628,8468,,7192,8356,9431,9200,,5834,5769,5556,,,,,,,,
辽宁省,,6404,5546,,8803,9234,9286,9318,,9152,8191,8121,,,,,,,,
吉林省,,2702,2575,,3534,4266,4340,4360,,3494,3495,3489,,,,,,,,
黑龙江省,,4720,4358,,4082,4943,6023,6121,,6198,5748,5519,,,,,,,,
上海市,,3142,3139,,3268,3376,3376,3372,,3330,3242,3177,,,,,,,,
江苏省,,32191,30577,,31021,26721,24681,22564,,17886,17062,13934,,,,,,,,
浙江省,,22336,20317,,21289,20527,20149,19556,,15431,14818,14059,,,,,,,,
安徽省,,13666,12650,,9267,9730,12020,11645,,7922,8489,8207,,,,,,,,
福建省,,18154,16480,,18185,18744,19023,18640,,11200,11053,10720,,,,,,,,
江西省,,9362,8708,,9721,10369,10238,10955,,6315,5821,6303,,,,,,,,
山东省,,18876,17384,,20929,18819,15919,15909,,13545,13739,13530,,,,,,,,
河南省,,11363,10360,,7390,8342,8100,7123,,5568,5687,5650,,,,,,,,
湖北省,,15574,13291,,14693,13280,13493,13447,,11374,10394,9363,,,,,,,,
湖南省,,12190,11941,,9830,11321,11645,11693,,8043,7922,7904,,,,,,,,
广东省,,28965,25149,,24332,24696,23774,22505,,12675,11513,11018,,,,,,,,
广西壮族自治区,,11564,10864,,12566,13091,11204,10249,,8645,8595,8098,,,,,,,,
海南省,,1822,1365,,1665,1809,1764,1687,,909,838,815,,,,,,,,
重庆市,,7132,6546,,7117,7429,7571,7369,,4939,4559,4197,,,,,,,,
四川省,,15591,16396,,18547,18721,20144,19946,,17127,16833,16617,,,,,,,,
贵州省,,6031,5772,,5809,5703,6190,5546,,3785,3589,3525,,,,,,,,
云南省,,14279,13553,,11123,11895,12330,12190,,7808,7716,7296,,,,,,,,
西藏自治区,,436,432,,617,642,646,644,,566,569,562,,,,,,,,
陕西省,,14185,13693,,7027,7282,7016,6864,,3710,4346,4761,,,,,,,,
甘肃省,,15555,15959,,8468,9991,9998,9952,,5635,5468,5353,,,,,,,,
青海省,,4465,3850,,1790,2145,2132,2099,,1683,1707,1558,,,,,,,,
宁夏回族自治区,,2281,2344,,1637,1513,1468,1678,,2300,2277,2266,,,,,,,,
新疆维吾尔自治区,,4402,3987,,5222,6316,6306,6246,,3917,3845,3790,,,,,,,,
数据来源：国家统计局
