数据库：分省年度数据
指标：人均地区生产总值(元/人)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,183980,164158,161776,150962,136172,123391,113692,106732,100569,92758,86246,78307,71059,68541,63629,53438,47182,42402,36583,32231
天津市,113732,101068,101557,95689,87280,79647,75868,74960,71345,66517,61458,54053,47497,45242,37976,33411,30567,25761,22371,19161
河北省,54172,48302,47036,43808,41451,38688,35994,34507,33346,31844,29647,25308,21831,20385,17561,14609,12845,11178,9380,8216
山西省,64821,51051,48469,45517,41242,33972,33593,34248,33848,32864,30534,25434,20906,21234,17542,14008,12195,10515,8639,7082
内蒙古自治区,85422,71640,71170,66491,61196,56560,52972,49585,46320,42441,38276,33262,28982,25620,21334,17275,14695,12315,10015,8146
辽宁省,65026,58629,58019,54657,50221,47069,46482,45915,43956,40778,37353,31888,29611,28185,24022,19760,17210,15355,14041,13000
吉林省,55450,50561,47554,44925,42890,40259,38128,37539,35139,32005,28270,23370,19858,17696,14966,11864,10237,9073,7925,7581
黑龙江省,47266,42432,41156,38199,35887,34025,32759,33464,32068,29352,26093,21694,18871,18654,16023,13947,12456,10836,9464,8507
上海市,173630,156803,153299,145767,133489,121369,109186,102827,95746,89613,85897,79396,72363,69154,63951,54996,49377,44998,39117,34277
江苏省,137039,121333,116650,110508,102202,92658,85871,78711,72768,66533,61464,52787,44272,39967,33798,27868,23984,19790,16743,14369
浙江省,113032,100738,98770,93230,85612,78384,73276,68569,65105,61097,57828,51110,43543,41061,36454,30415,26277,23476,20249,16918
安徽省,70321,62411,60561,56063,49092,43686,39692,37580,34404,30697,27303,21923,17715,15535,12989,10630,9193,8279,7001,6238
福建省,116939,105106,102722,94719,83758,74024,67649,63709,58255,52959,47928,40773,33999,30153,25915,20915,18107,16248,14330,12910
江西省,65560,57065,54640,50347,44878,40950,37436,34988,31952,28624,25928,21099,17277,15816,13270,10859,9172,7960,6636,5829
山东省,81727,71825,69901,66284,62993,59239,56205,51933,48673,44348,40581,35599,31282,28861,24329,20443,17308,14540,11977,11120
河南省,59410,54691,54356,50714,45723,41326,38338,35982,33114,30497,27901,23984,20280,18879,15811,12761,10978,9047,7376,6487
湖北省,86416,73687,76712,71097,63169,56844,52021,48635,43835,39149,34719,28359,23081,20153,16593,13210,11342,9746,8378,7437
湖南省,69440,62537,60104,54763,51030,46606,43155,39181,35702,32203,28766,24005,19979,17758,14626,11733,10200,9004,7589,6734
广东省,98285,88521,86956,81625,76218,69671,64516,59909,56029,52308,50076,44669,39418,37543,33236,27861,23997,20647,17950,15478
广西壮族自治区,49206,44237,42778,39837,36441,33340,30890,28603,26416,24181,22234,18070,14708,13471,11542,9421,8069,7182,6120,5559
海南省,63707,55438,53929,50263,46631,43009,39704,37166,34053,30993,28014,23323,18860,17357,14683,12350,10753,9859,8849,8041
重庆市,86879,78294,74337,68460,64171,58327,52480,48311,43527,39180,34864,28084,23346,20865,16966,13915,12335,10934,9311,8079
四川省,64326,58009,55619,51658,45835,40297,37150,35563,32750,29627,26136,21230,17387,15685,12963,10371,8828,7751,6565,5890
贵州省,50808,46355,43727,40271,35988,31589,28547,25101,22089,18947,16024,12882,10814,9697,7778,6103,5218,4244,3708,3257
云南省,57686,52047,49323,44446,39458,35051,32117,30217,27665,23992,20653,16866,14427,13286,11287,9158,7890,7136,6048,5472
西藏自治区,56831,52280,47491,44051,39158,35015,31847,29275,26209,22762,20083,17209,15154,13703,11991,10112,8733,7946,6883,6094
陕西省,75360,65867,65506,61115,55216,49341,46654,45610,41906,37453,32467,26388,21485,19331,15342,12439,10357,8545,7057,6161
甘肃省,41046,35848,34707,32178,29103,27396,25946,25724,23647,21141,18846,15421,12802,12048,10501,8653,7332,6512,5525,4875
青海省,56398,50845,49976,46854,42211,38968,34883,32218,30005,26839,24233,20418,16907,16220,13100,10728,9233,8275,7248,6478
宁夏回族自治区,62549,55021,52537,49614,45718,40339,37876,36815,35135,32609,30161,24984,20382,18554,14458,11389,9796,8904,7686,6647
新疆维吾尔自治区,61725,53606,53542,51238,45476,40020,39520,40193,36988,33103,29624,24700,19755,19605,16887,14567,12687,11139,9842,8457
注：1.本表按当年价格计算。
　　　2.行业分类采用《国民经济行业分类（GB/T 4754－2017）》。第一产业是指农、林、牧、渔业（不含农、林、牧、渔专业及辅助性活动）；第二产业是指采矿业（不含开采专业及辅助性活动），制造业（不含金属制品、机械和设备修理业），电力、热力、燃气及水生产和供应业，建筑业；第三产业即服务业，是指除第一产业、第二产业以外的其他行业。
　　　3.按照我国国民经济核算数据修订制度和国际通行作法，在第四次全国经济普查后，对2018年及以前年度的地区生产总值历史数据进行了系统修订。
　　　4.2019年为最终核实数。
　　　5.若表中数据分项合计与总计不等，是由于数据修约误差所致，未做机械调整。
数据来源：国家统计局
