数据库：分省年度数据
指标：地区生产总值指数(上年=100)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,108.5,101.1,106.1,106.7,106.8,106.9,106.9,107.4,107.7,107.7,108.1,110.4,110.0,109.0,114.4,112.8,112.3,113.3,111.1,111.8
天津市,106.6,101.4,104.8,103.4,103.4,106.0,106.9,107.5,110.1,111.3,113.4,114.4,113.8,113.7,112.8,111.9,112.2,113.6,112.3,110.2
河北省,106.5,103.8,106.7,106.5,106.6,106.7,106.8,106.5,108.2,108.7,110.3,109.2,108.1,108.0,109.6,110.3,110.3,110.0,108.4,109.5
山西省,109.1,103.6,106.1,106.6,106.8,104.1,103.0,104.9,109.0,109.2,110.0,110.8,105.5,108.3,113.2,109.9,110.5,112.2,111.9,112.9
内蒙古自治区,106.3,100.2,105.2,105.2,104.0,107.0,107.7,107.8,108.7,110.7,113.6,114.1,116.0,116.5,118.0,118.0,119.6,116.7,116.3,113.2
辽宁省,105.8,100.6,105.4,105.6,104.2,100.5,102.8,105.7,108.7,108.9,110.2,110.3,110.4,110.7,112.9,111.5,110.5,110.4,108.9,110.2
吉林省,106.6,102.3,103.0,104.4,105.2,106.5,106.1,106.3,108.5,108.9,110.5,110.4,110.3,112.0,111.6,110.8,108.6,109.0,109.2,107.0
黑龙江省,106.1,100.9,104.0,104.5,106.0,104.4,105.4,105.3,107.6,108.7,110.9,111.7,110.1,110.3,109.8,110.4,110.6,110.4,109.8,109.9
上海市,108.1,101.7,106.0,106.8,107.0,106.9,107.0,107.1,107.9,107.5,108.3,110.2,108.4,109.7,115.2,112.8,111.5,113.3,112.3,111.4
江苏省,108.6,103.7,105.9,106.7,107.2,107.8,108.6,108.6,109.7,110.2,111.0,112.7,112.4,112.7,114.9,114.9,114.5,114.1,113.6,111.7
浙江省,108.5,103.6,106.8,107.1,107.8,107.5,108.0,107.7,108.3,108.1,109.0,111.9,109.0,110.1,114.5,114.0,112.9,113.1,114.7,112.7
安徽省,108.3,103.7,107.3,108.0,108.6,108.8,108.7,109.2,110.3,111.2,113.4,114.3,113.1,112.6,114.1,112.6,111.0,112.4,109.4,109.9
福建省,108.0,103.2,107.5,108.3,108.1,108.4,108.9,109.9,111.0,111.5,112.3,113.9,112.3,112.9,115.1,114.9,111.6,111.4,111.5,110.2
江西省,108.8,103.8,107.9,108.7,108.8,109.0,109.1,109.7,110.1,111.0,112.4,114.0,113.2,113.3,113.2,112.3,112.9,113.2,113.0,110.5
山东省,108.3,103.5,105.3,106.3,107.3,107.4,107.8,108.5,109.4,109.7,110.7,110.4,109.8,109.7,111.9,112.3,112.6,112.5,110.8,111.0
河南省,106.3,101.1,106.8,107.6,107.8,108.2,108.4,108.9,109.0,110.1,112.0,112.4,111.0,112.0,114.6,114.5,114.3,112.8,110.9,109.1
湖北省,112.9,94.6,107.3,107.8,107.8,108.1,108.6,109.7,110.2,111.2,114.1,114.7,113.7,113.4,114.6,113.3,112.1,110.8,109.7,109.2
湖南省,107.7,103.8,107.6,107.8,108.0,108.0,108.5,109.5,110.1,111.4,112.8,114.6,113.9,114.1,115.1,112.8,112.2,111.1,109.6,109.0
广东省,108.0,102.3,106.2,106.8,107.5,107.5,108.0,107.8,108.5,108.3,110.2,112.5,109.9,110.5,115.0,114.9,114.2,113.2,114.8,112.4
广西壮族自治区,107.5,103.7,106.0,106.8,107.1,107.0,107.9,108.3,110.0,110.1,111.5,111.7,111.5,110.3,113.0,111.1,111.1,110.3,109.1,110.6
海南省,111.2,103.5,105.8,105.8,107.0,107.5,107.8,108.6,109.6,109.4,112.2,116.0,111.7,110.3,115.8,110.6,110.5,109.7,110.6,109.6
重庆市,108.3,103.9,106.3,106.0,109.3,110.7,111.0,110.9,112.3,113.6,116.4,117.2,115.1,114.6,116.0,112.5,111.8,112.5,111.7,110.5
四川省,108.2,103.8,107.4,108.0,108.1,107.8,107.9,108.5,110.0,111.7,115.0,115.1,114.5,111.0,114.5,113.5,112.7,111.9,111.0,110.5
贵州省,108.1,104.5,108.3,109.1,110.2,110.5,110.7,110.8,112.4,113.0,115.4,112.8,111.4,111.3,114.8,112.8,112.7,110.4,110.1,109.1
云南省,107.3,104.0,108.1,108.9,109.5,108.7,108.7,108.1,112.2,112.0,113.7,112.3,112.1,110.6,112.2,111.8,108.9,110.3,108.8,109.0
西藏自治区,106.7,107.8,108.1,108.9,110.0,110.1,111.0,110.8,112.1,111.8,112.7,112.3,112.4,110.1,114.0,113.3,112.1,112.1,112.0,112.9
