数据库：分省年度数据
指标：第二产业增加值指数(上年=100)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,123.2,102.5,103.9,103.9,104.2,105.3,102.8,106.8,107.7,106.8,106.6,113.4,110.0,100.3,111.9,109.9,109.7,115.4,110.2,107.8
天津市,106.5,101.5,103.2,100.2,101.0,104.0,107.3,106.7,108.8,111.4,114.9,116.5,114.6,114.4,114.1,113.8,115.3,117.5,115.3,111.2
河北省,104.8,104.2,103.9,103.3,102.8,104.4,104.8,105.0,109.1,110.0,111.9,109.5,108.5,108.4,109.3,110.6,110.5,110.0,108.6,110.5
山西省,110.2,105.5,106.0,104.4,105.9,101.1,98.7,103.2,109.4,110.0,113.2,115.0,102.0,106.9,114.2,112.4,113.4,114.4,113.5,115.0
内蒙古自治区,106.1,101.1,105.7,105.0,101.5,106.9,107.8,108.6,110.1,112.9,116.3,115.7,119.2,118.4,122.3,124.1,130.3,122.3,120.1,115.7
辽宁省,104.2,101.6,106.0,107.3,103.2,95.4,99.4,105.0,107.0,109.2,112.1,112.6,112.7,113.2,115.5,113.7,111.8,113.0,109.4,109.8
吉林省,105.0,105.7,102.6,103.8,103.6,105.5,104.7,106.1,106.3,110.2,114.1,115.1,113.8,112.9,109.6,109.8,107.4,110.0,112.2,107.0
黑龙江省,105.0,102.6,102.7,102.1,102.8,102.0,101.7,102.9,107.0,109.1,112.0,113.8,111.5,111.2,111.2,111.3,111.3,111.8,111.9,110.9
上海市,109.4,101.1,100.5,103.5,106.7,102.2,101.1,104.4,105.9,103.0,106.7,117.0,103.4,107.5,111.4,111.9,110.5,113.8,116.0,112.1
江苏省,110.1,104.0,105.6,105.9,106.7,106.6,108.4,108.1,110.1,111.2,111.8,113.1,112.5,113.2,115.6,115.9,116.1,115.9,117.2,113.7
浙江省,110.2,103.0,105.5,106.3,106.3,105.9,105.9,107.8,108.2,107.3,109.1,112.4,107.0,109.4,115.7,114.6,112.9,114.9,116.8,113.4
安徽省,107.9,104.6,107.5,108.2,108.2,107.9,108.3,109.7,111.9,112.8,117.0,120.1,116.8,115.8,119.2,118.6,116.4,113.1,113.2,111.4
福建省,107.5,102.4,105.4,108.8,107.2,107.2,108.7,111.9,113.2,114.4,116.3,118.2,113.9,115.2,118.2,116.8,112.3,115.7,115.6,113.8
江西省,108.2,104.1,107.9,109.7,108.1,108.5,109.4,111.0,112.1,113.2,115.2,118.1,117.1,117.1,117.4,116.3,117.2,118.6,124.3,118.5
山东省,107.2,103.2,102.6,104.1,106.0,106.2,107.1,108.8,109.8,110.3,111.5,111.7,111.2,109.4,113.1,113.8,114.5,116.0,113.5,113.9
河南省,104.1,100.2,106.7,106.9,107.0,107.1,107.6,109.3,109.5,111.2,113.9,114.7,111.9,114.2,117.9,117.8,117.1,113.3,115.7,116.6
湖北省,113.6,91.6,106.7,106.8,107.1,107.8,108.3,110.2,110.6,113.4,117.9,119.8,116.9,116.7,116.3,116.1,115.0,113.5,110.1,110.1
湖南省,106.9,104.6,107.8,107.4,106.9,106.8,107.6,109.6,111.0,113.0,117.0,120.3,119.3,115.6,118.9,117.3,113.1,114.5,112.7,110.9
广东省,108.7,101.9,104.2,105.9,106.5,106.1,107.0,108.0,108.0,107.3,110.4,114.5,109.1,111.6,117.3,117.2,115.3,116.8,120.2,113.7
广西壮族自治区,106.7,102.1,105.5,103.8,104.1,104.9,105.6,108.0,109.4,110.4,115.3,114.9,114.7,113.2,117.6,114.2,113.8,112.6,111.5,111.3
海南省,106.0,99.0,104.1,104.1,102.6,104.7,105.7,109.5,108.4,111.7,116.3,119.3,112.7,105.9,123.9,111.7,116.9,113.9,119.5,112.9
重庆市,107.3,104.8,106.4,103.0,109.3,111.3,111.2,112.7,112.9,116.6,121.0,122.7,118.1,118.3,121.0,117.2,113.4,116.9,116.4,114.1
四川省,107.4,103.8,107.4,107.5,107.5,107.6,107.7,109.0,112.0,115.9,121.6,122.8,116.4,114.0,120.9,117.7,118.6,116.0,116.3,111.9
贵州省,109.4,104.2,108.8,109.5,110.1,111.3,111.4,112.3,114.1,116.1,118.8,116.6,112.1,108.1,113.2,113.4,112.0,113.3,113.3,113.2
云南省,106.1,103.7,108.5,111.6,110.8,109.1,108.5,108.8,112.6,115.3,117.9,115.6,113.6,112.0,115.5,117.5,108.5,111.3,110.0,109.4
西藏自治区,99.1,116.1,107.0,116.8,110.8,111.6,115.0,113.7,119.2,113.5,117.4,113.1,120.6,107.0,115.1,121.9,120.4,111.4,113.4,120.5
陕西省,105.6,101.3,105.0,108.0,107.1,106.6,105.9,110.5,110.9,113.4,115.0,117.1,110.3,115.1,114.1,111.1,112.6,115.4,115.8,113.4
甘肃省,106.4,105.6,104.7,104.2,99.2,106.8,107.5,107.9,110.5,112.6,116.0,114.8,111.3,108.7,117.4,114.6,113.4,112.5,111.8,110.2
青海省,106.5,102.6,106.3,107.5,107.1,108.3,108.2,110.0,111.9,113.7,117.2,119.1,111.3,115.5,114.2,114.9,114.9,116.1,116.2,116.5
