数据库：分省年度数据
指标：劳动者报酬(亿元)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,,,16141.0,14518.9,13435.5,11679.6,10703.8,9505.1,8337.7,7228.3,6388.1,5815.8,4402.4,3697.8,3218.7,2695.3,2231.4,1893.5
天津市,,,,,5093.6,4578.2,4315.4,4184.7,3904.5,3454.7,3074.9,2583.5,2110.6,1904.7,1452.7,1234.9,1131.3,873.1,787.6,749.8
河北省,,,,,14860.0,13868.2,12993.3,12396.4,11896.0,11101.8,10044.6,8426.6,6966.7,6361.2,5290.9,4196.8,3610.4,3339.8,2344.9,2072.5
山西省,,,,,7287.8,6236.8,6135.4,6088.4,6102.7,5477.3,5058.1,4116.3,3477.2,3397.2,2759.1,2189.1,1919.2,1661.8,1332.3,1128.5
内蒙古自治区,,,,,7376.8,7015.9,6654.3,6182.8,5725.0,5077.0,4578.3,4005.0,3588.1,2889.8,2398.8,1932.4,1663.7,1446.4,1155.9,890.1
辽宁省,,,,,11486.2,10773.4,10645.2,10532.8,10021.7,9157.4,8240.7,6957.2,6446.6,6050.9,5115.9,4169.6,3654.9,3277.4,2879.8,2682.0
吉林省,,,,,5067.5,4836.3,4683.3,4400.4,4351.3,3804.1,3425.4,2879.6,2469.8,2237.0,1887.7,1546.2,1352.6,1203.2,1394.8,1328.7
黑龙江省,,,,,7178.1,6847.8,6554.0,6248.2,5799.0,5132.8,4374.4,3647.6,3343.9,3012.3,2415.0,2084.5,1825.6,1592.6,1384.1,1266.2
上海市,,,,,14997.1,13213.2,11818.2,10975.2,9852.6,8833.0,8028.1,7018.8,6125.7,5566.0,4593.5,3826.7,3188.8,2723.1,2426.6,2205.8
江苏省,,,,,39574.8,35490.6,32791.0,29160.5,26353.9,23349.0,21082.4,17542.3,14902.3,12965.0,10102.8,8919.0,7506.8,6684.2,6207.9,5418.9
浙江省,,,,,25026.5,22669.9,21027.3,18611.9,17848.2,14581.5,13132.0,10775.6,9102.5,8818.7,7421.9,6194.4,5191.4,4627.6,3880.8,3220.3
安徽省,,,,,15169.3,13434.2,12192.8,11280.0,10335.0,9009.9,7941.2,6511.8,5472.7,4824.7,4063.5,3372.6,3017.2,2796.5,2188.8,1969.7
福建省,,,,,18497.5,16300.1,14606.7,13084.0,11663.1,10259.5,8953.1,7577.0,6633.4,5802.6,4082.6,3330.8,2870.9,2542.5,2248.5,2189.0
江西省,,,,,8802.8,8021.9,7243.1,6525.4,6368.4,5596.8,5196.2,4303.1,3161.2,3032.0,2557.9,2112.8,1804.9,1907.0,1555.5,1399.7
山东省,,,,,29879.5,26516.7,24929.6,21273.3,19205.1,16714.0,15179.9,13505.4,13416.6,12219.1,9893.7,7705.5,6360.0,5753.6,5131.0,4790.7
河南省,,,,,24310.0,21735.4,20021.0,18586.9,16929.2,15180.4,13571.1,11742.1,10044.3,9235.6,7659.3,6232.3,5476.1,4577.5,3704.5,3288.0
湖北省,,,,,19941.9,17812.3,16182.6,15031.8,13483.2,11843.3,10369.8,8384.4,6933.2,6098.5,4967.5,3954.0,3464.2,2999.5,2505.3,2363.7
湖南省,,,,,16929.8,15330.5,14241.2,13070.0,11680.2,10435.8,9369.6,7766.2,6421.0,5837.9,4339.0,3492.9,2979.9,2650.2,2638.8,2441.1
广东省,,,,,45801.8,40626.1,36848.2,32662.5,29956.4,27496.0,24527.6,20691.0,18101.7,16817.5,14389.3,11979.2,10496.4,9029.5,8040.8,7116.0
广西壮族自治区,,,,,10245.1,9367.9,8449.3,7607.1,6493.9,6552.6,6202.8,5248.6,4351.4,4092.7,3296.0,2700.9,2295.3,1708.1,1594.5,1486.3
海南省,,,,,2346.2,2142.2,1927.5,1771.7,1608.0,1459.5,1265.6,1048.9,871.0,823.9,530.4,490.9,441.0,400.3,352.5,315.7
重庆市,,,,,10014.3,8925.0,7873.1,7049.3,6239.5,5407.5,4711.7,3810.3,3162.4,2866.0,2370.3,1923.7,1684.4,1415.2,1219.4,1104.7
四川省,,,,,18513.4,16066.6,14574.8,13593.9,12464.0,11113.1,9924.3,8253.3,6899.8,6037.4,5104.8,4111.5,3496.9,3146.8,2609.9,2356.1
贵州省,,,,,7759.6,6772.2,6079.7,5195.6,4399.9,3636.6,2992.9,2453.9,2091.5,1961.5,1576.2,1253.0,1002.4,847.4,860.6,753.4
云南省,,,,,10051.9,8775.9,7864.2,7208.4,6568.0,5472.0,4623.9,3642.0,3228.0,2935.7,2499.6,2008.8,1719.2,1535.6,1277.7,1131.3
西藏自治区,,,,,841.5,729.6,650.4,580.4,520.4,431.4,370.0,311.9,275.4,243.0,215.9,179.9,154.3,140.0,118.7,105.5
陕西省,,,,,9454.3,8711.0,7921.7,7440.9,6844.5,5647.8,4947.8,4038.3,3690.8,3316.6,2193.2,1874.2,1607.2,1310.6,1202.7,1132.0
甘肃省,,,,,3759.8,3548.0,3311.5,3188.6,2969.3,2638.4,2316.5,2012.6,1739.8,1651.8,1357.1,1176.5,984.3,889.8,711.3,633.1
青海省,,,,,1251.9,1159.7,1017.0,995.5,904.3,783.7,733.5,619.5,550.6,528.8,406.3,311.5,262.5,236.0,210.7,172.3
宁夏回族自治区,,,,,1728.3,1516.7,1407.2,1309.0,1223.3,1096.9,984.9,810.7,655.4,572.0,437.3,342.4,293.4,264.4,225.5,195.8
新疆维吾尔自治区,,,,,6340.9,5605.0,5346.3,4931.2,4357.5,3694.3,3097.1,2642.5,2172.3,1938.2,1584.3,1331.5,1230.8,1121.3,1037.4,848.0
注：按照我国国民经济核算数据修订制度和国际通行作法，在第四次全国经济普查后，对2018年以前年度的地区生产总值历史数据进行了系统修订。
数据来源：国家统计局
