数据库：分省年度数据
指标：营业盈余(亿元)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,,,6287.9,5590.4,4629.2,4981.2,4327.6,3859.4,3717.0,3215.1,2502.0,2127.5,2770.8,2065.5,1688.0,1577.2,1359.6,1199.5
天津市,,,,,3103.5,3525.1,3399.4,3352.8,3117.9,2899.6,2612.2,2268.0,1915.9,1864.1,1357.3,1171.5,979.1,838.8,615.7,482.1
河北省,,,,,6328.2,5921.6,5405.1,5267.4,5160.2,5110.8,5036.0,4457.9,4082.0,4014.5,3612.5,3155.7,2875.1,2364.1,2386.0,2076.7
山西省,,,,,3003.8,2173.4,2130.6,2221.7,2329.6,2684.9,2706.0,2241.8,1442.3,1765.0,1438.0,1128.0,945.0,787.4,679.4,551.7
内蒙古自治区,,,,,3450.7,3019.7,3207.8,2913.2,2874.9,2749.3,2408.4,2080.3,1684.7,1659.2,1331.0,1127.3,957.8,763.5,632.6,554.4
辽宁省,,,,,5071.8,4754.6,4656.0,4522.2,4413.0,4066.2,3834.4,3312.6,2977.3,2844.2,2396.5,1941.4,1626.7,1407.4,1353.6,1242.9
吉林省,,,,,2632.7,2533.3,2364.2,2805.9,2349.3,2316.6,2008.6,1674.1,1400.8,1211.0,1031.3,746.6,620.3,545.5,234.0,217.0
黑龙江省,,,,,2194.3,2140.8,2095.6,2579.8,2852.9,2724.0,2566.4,2142.3,1975.1,2371.8,2091.9,1809.7,1575.6,1371.1,1152.9,1014.3
上海市,,,,,8780.0,7635.0,6806.1,6404.8,5862.6,5595.9,5705.0,5072.3,4233.2,4015.1,4069.4,3293.3,3027.0,2753.3,2057.4,1482.9
江苏省,,,,,24830.1,22192.7,20725.0,19129.4,17618.5,16102.4,14664.5,12575.9,9759.6,9187.6,8245.5,6039.8,5228.0,3859.9,3016.5,2453.3
浙江省,,,,,13459.0,12107.5,10638.9,10428.6,9498.2,10098.2,9856.9,9242.4,7484.0,6430.7,5902.2,4809.0,4165.0,3622.1,3162.2,2563.9
安徽省,,,,,6880.9,6097.3,5435.1,5116.9,4756.3,4184.5,3794.7,3113.4,2453.4,2136.9,1734.0,1383.3,1152.1,987.2,905.2,799.2
福建省,,,,,8170.7,6559.8,5582.2,5718.1,5532.9,5015.6,4862.6,4011.0,2830.9,2477.6,2874.7,2189.8,1821.0,1707.0,1478.0,1166.4
江西省,,,,,5757.7,5314.3,4706.8,4518.9,3920.4,3282.2,2956.0,2375.0,1678.4,1496.7,1788.6,1423.0,1185.2,357.8,310.5,236.9
山东省,,,,,16538.1,16593.5,15611.8,14301.5,14057.5,13298.0,12013.4,10548.4,7820.1,7281.0,6557.1,6067.7,4908.1,3889.6,1915.6,1860.6
