数据库：分省年度数据
指标：支出法生产总值(亿元)
时间：最近20年
地区,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,28014.9,25669.1,23014.6,21330.8,19500.6,17879.4,16251.9,14113.6,12153.0,11115.0,9846.8,8117.8,6969.5,6033.2,5007.2,4315.0
天津市,18549.2,17885.4,16538.2,15727.0,14370.2,12893.9,11307.3,9224.5,7521.9,6719.0,5252.8,4462.7,3905.6,3111.0,2578.0,2150.8
河北省,34016.3,32070.5,29806.4,29421.2,28301.4,26575.0,24515.8,20394.3,17235.5,16012.0,13607.3,11467.6,10012.1,8477.6,6921.3,6018.3
山西省,15528.4,13055.6,12766.5,12761.5,12602.2,12112.8,11237.6,9200.9,7438.2,7330.2,6022.0,4952.0,4153.4,3479.3,2784.4,2324.8
内蒙古自治区,16096.2,18128.1,17831.5,17769.5,16832.4,15880.6,14359.9,11672.0,9740.3,8496.2,6423.2,4944.3,3905.0,3041.1,2388.4,1940.9
辽宁省,23409.2,22246.9,28669.0,28626.6,27077.7,24846.4,22226.7,18457.3,15212.5,13668.6,11164.3,9304.5,8047.3,6672.0,6002.5,5458.2
吉林省,14944.5,14776.8,15507.9,14631.4,13946.8,12688.4,11162.2,9352.9,7665.8,6791.3,5601.1,4964.9,3761.6,3012.3,2598.7,2317.7
黑龙江省,15902.7,15386.1,15083.7,15275.2,14382.9,13691.6,12582.0,10368.6,8587.0,8314.4,7104.0,6211.8,5513.7,4750.6,4057.4,3637.2
上海市,30633.0,28178.7,25123.5,23567.7,21602.1,20181.7,19195.7,17166.0,15046.5,14069.9,12494.0,10572.2,9247.7,8072.8,6694.2,5741.0
江苏省,85869.8,77388.3,70116.4,65088.3,59161.8,54058.2,49110.3,41425.5,34457.3,30982.0,26018.5,21742.1,18598.7,15003.6,12442.9,10606.9
浙江省,51768.3,47251.4,42886.5,40173.0,37568.5,34665.3,32318.9,27722.3,22990.4,21462.7,18753.7,15718.5,13417.7,11648.7,9705.0,8003.7
安徽省,27018.0,24407.6,22005.6,20848.8,17212.1,17212.1,15300.7,12359.3,10062.8,8851.7,7360.9,6112.5,5350.2,4814.7,3973.0,3553.6
福建省,32182.1,28810.6,25979.8,24055.8,21759.6,19701.8,17932.9,14931.7,12777.1,11569.2,9426.5,7820.8,6568.9,5763.4,4983.7,4467.6
江西省,20006.3,18499.0,16723.8,14410.2,14338.5,12948.9,11702.8,9458.7,7647.8,6993.9,5783.1,4790.3,4061.8,3464.6,2815.4,2460.5
山东省,72634.2,68024.5,63002.3,59426.6,54684.3,50013.2,45361.9,39169.9,33896.7,30933.3,25776.9,21900.2,18366.9,15021.8,12078.2,10275.5
河南省,44552.8,40471.8,37002.2,34938.2,32155.9,29599.3,26931.0,23092.4,19480.5,18018.5,15012.5,12362.8,10587.4,8553.8,6867.7,6035.5
湖北省,35478.1,32665.4,31226.4,28728.2,25431.7,22659.4,20167.3,16182.3,13240.4,11728.6,9550.0,7972.3,6520.1,5633.3,4910.5,4416.9
湖南省,33902.7,31551.4,28902.2,27037.3,24501.7,22154.2,19669.6,16038.0,13059.7,11555.0,9439.6,7688.7,6596.1,5641.9,4660.0,4151.5
广东省,89705.2,80854.9,72812.6,67809.9,62164.0,57067.9,53210.3,46013.1,39482.6,36796.7,31777.0,26587.8,22557.4,18864.6,15844.6,13502.4
广西壮族自治区,18523.3,18317.6,16803.1,15672.9,14378.0,13035.1,11720.9,9569.9,7759.2,7021.0,5823.4,4746.2,3984.1,3433.5,2821.1,2523.7
海南省,4462.5,4053.2,3702.8,3500.7,3146.5,2855.5,2522.7,2064.5,1654.2,1503.1,1254.2,1044.9,898.0,798.9,693.2,622.0
重庆市,19424.7,17740.6,15717.3,14262.6,12783.3,11409.6,10011.4,7925.6,6530.0,5793.7,4676.1,3907.2,3467.7,3034.6,2555.7,2232.9
四川省,36980.2,32934.5,30053.1,28536.7,26260.8,23872.8,21026.7,17185.5,14151.3,12601.2,10562.4,8690.2,7385.1,6379.6,5333.1,4725.0
贵州省,13540.8,11776.7,10502.6,9266.4,8006.8,6852.2,5701.8,4602.2,3912.7,3561.6,2884.1,2339.0,2005.4,1677.8,1426.3,1243.4
云南省,16376.3,14788.4,13619.2,12814.6,11720.9,10309.5,8893.1,7224.2,6169.8,5692.1,4772.5,3988.1,3462.7,3081.9,2556.0,2312.8
西藏自治区,1310.9,1151.4,1026.4,920.8,807.7,701.0,605.8,507.5,441.4,394.9,341.4,290.8,248.8,220.3,185.1,162.0
陕西省,21898.8,19399.6,18021.9,17689.9,16045.2,14453.7,12512.3,10123.5,8169.8,7314.6,5757.3,4743.6,3933.7,3175.6,2587.7,2253.4
甘肃省,7459.9,7200.4,6790.3,6836.8,6268.0,5650.2,5020.4,4120.8,3387.6,3166.8,2704.0,2277.4,1934.0,1688.5,1399.8,1232.0
青海省,2624.8,2572.5,2417.1,2303.3,2101.1,1893.5,1670.4,1350.4,1081.3,1018.6,797.4,648.5,543.3,466.1,390.2,340.6
宁夏回族自治区,3443.6,3168.6,2911.8,2752.1,2565.1,2341.3,2102.2,1689.7,1353.3,1203.9,919.1,725.9,612.6,537.1,445.4,377.2
新疆维吾尔自治区,10882.0,9649.7,9324.8,9273.5,8360.2,7505.3,6610.1,5437.5,4277.1,4183.2,3523.2,3045.3,2604.2,2209.1,1886.4,1612.7
注：由于采取分级核算，各地区国内生产总值相加不等于全国总计。
数据来源：国家统计局
