数据库：分省年度数据
指标：城镇居民消费(亿元)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,,,10724.0,9909.4,7818.2,7094.6,6466.3,5790.1,5147.1,4402.7,3672.7,3193.1,2810.6,2397.1,2037.8,1805.1,1568.8,1375.1
天津市,,,,,5440.5,5042.4,4457.9,3805.9,3395.8,2867.5,2480.9,2039.6,1631.5,1447.0,1170.9,993.2,859.3,762.8,674.5,607.3
河北省,,,,,8425.2,7512.0,6679.8,6306.3,5967.0,5554.8,4937.3,4162.5,3570.6,3076.3,2591.7,2178.7,1822.2,1555.2,1251.7,1120.4
山西省,,,,,4893.7,4029.5,3783.3,3230.6,3071.3,2743.8,2461.5,2087.2,1653.5,1555.8,1362.4,1166.1,971.3,839.9,657.1,572.3
内蒙古自治区,,,,,4660.9,4323.0,4037.3,3827.1,3425.1,3028.8,2638.7,2166.7,1845.4,1596.4,1290.6,1031.0,880.0,694.3,592.2,555.9
辽宁省,,,,,8947.9,8631.2,8421.6,7995.7,7295.0,6560.6,5678.9,4666.3,3852.4,3406.2,2746.0,2327.8,2166.7,1829.7,1684.9,1551.2
吉林省,,,,,3009.8,2768.6,2934.1,2782.1,2777.3,2484.7,2171.5,1915.3,1761.8,1582.6,1388.7,1171.4,1084.7,967.2,947.0,746.1
黑龙江省,,,,,5402.1,5011.1,4817.1,4439.9,3747.8,3377.7,3081.8,2677.4,2287.4,2057.2,1758.5,1509.3,1406.6,1267.6,1183.9,1030.0
上海市,,,,,12214.0,11294.1,10454.9,9835.4,8893.5,8253.0,7798.0,6942.8,5479.3,5014.5,4363.8,3634.6,3138.4,2682.5,2249.7,1949.2
江苏省,,,,,25082.7,22494.0,19689.1,17515.5,14491.7,11904.4,10428.4,8266.4,6756.0,6139.7,5249.2,4434.8,3750.8,3059.6,2468.9,1969.2
浙江省,,,,,14702.1,12988.5,12038.6,11412.8,10505.6,9699.9,9076.9,7582.2,6421.4,5653.9,4920.5,4044.3,3291.1,2674.7,2201.2,1800.7
安徽省,,,,,7843.3,6965.5,6168.6,5658.0,5040.8,4902.9,4369.9,3374.0,2862.6,2473.5,2132.6,1757.9,1519.2,1084.1,951.5,822.5
福建省,,,,,7617.0,6779.4,5991.8,5490.9,4917.4,4553.7,4218.1,3693.7,3091.7,2852.4,2361.9,2073.0,1692.2,1514.6,1325.7,1158.6
江西省,,,,,5412.5,4875.5,4490.0,3678.5,3638.1,3211.9,2817.9,2396.4,1835.7,1715.6,1059.4,887.5,825.4,687.0,542.8,511.9
山东省,,,,,20854.3,18958.5,14844.7,13732.4,12040.6,10750.5,9637.8,8274.9,7258.7,6564.6,5476.8,4730.9,3854.5,3109.2,2653.8,2275.6
河南省,,,,,12051.6,10629.9,9498.9,8434.6,7640.7,6672.6,5825.1,5029.9,4142.0,3567.7,3051.3,2609.7,2263.6,1928.4,1625.1,1105.7
湖北省,,,,,9728.5,8669.3,7733.1,6832.4,5989.1,5254.6,4644.3,3717.1,3178.6,3007.4,2657.9,2218.2,1970.1,1751.9,1550.4,1344.7
湖南省,,,,,9639.0,8469.4,7710.1,6929.3,6150.8,5482.8,4883.4,4127.1,3546.8,3091.7,2652.7,2275.7,1952.6,1642.0,1377.8,1185.6
广东省,,,,,28712.2,26113.9,23884.1,21913.9,21772.0,19899.0,17735.5,15438.4,13233.0,11812.6,10229.4,8470.0,7560.2,6729.4,5273.7,4025.5
广西壮族自治区,,,,,5522.1,5155.0,4756.8,4413.5,3983.8,3474.0,2972.2,2657.0,2354.5,2002.0,1592.8,1252.5,1081.2,912.9,783.5,690.7
海南省,,,,,1464.5,1261.3,1166.8,813.4,745.4,677.8,579.3,485.4,421.2,374.9,328.7,268.2,221.7,196.5,172.6,151.7
重庆市,,,,,5838.4,5284.7,4670.6,4218.9,3734.6,3263.3,2817.7,2292.0,1941.5,1691.6,1408.6,1134.8,966.8,854.0,720.9,608.4
四川省,,,,,9518.1,8475.4,7725.2,7156.1,6502.9,5839.6,5175.7,4305.4,3634.2,3226.5,2722.0,2288.9,2038.2,1757.2,1509.3,1341.9
贵州省,,,,,3897.4,3403.5,2898.2,2564.8,2150.6,1916.3,1658.3,1411.3,1256.6,1140.3,1007.5,930.0,788.6,671.5,380.0,345.2
云南省,,,,,5265.0,4699.7,4252.9,3781.0,3558.7,2919.4,2392.2,1985.8,1768.5,1563.5,1289.8,1179.0,1087.1,935.2,710.1,628.4
西藏自治区,,,,,215.0,183.5,157.0,122.7,103.6,90.0,78.0,73.9,64.1,54.8,47.5,40.5,49.4,55.1,48.5,29.2
陕西省,,,,,5419.1,4822.2,4408.1,4215.8,3735.6,3329.6,2819.5,2351.9,1948.5,1736.6,1461.9,1237.1,1086.5,977.1,876.1,787.8
甘肃省,,,,,2664.0,2418.3,2145.4,1896.6,1661.3,1468.2,1274.1,1078.8,940.6,836.9,738.3,637.1,561.9,498.4,423.5,374.5
青海省,,,,,736.9,685.5,622.1,549.4,486.4,401.6,343.5,288.1,249.4,219.7,192.3,160.2,146.1,132.3,116.2,102.4
宁夏回族自治区,,,,,1080.9,950.4,869.8,737.1,657.3,589.1,530.0,435.8,372.2,323.8,252.3,219.2,184.1,153.3,125.9,109.0
新疆维吾尔自治区,,,,,2867.2,2532.4,2231.2,1980.7,1818.4,1695.0,1394.0,1139.9,883.6,822.6,705.8,589.1,518.8,461.3,406.0,409.8
数据来源：国家统计局
