数据库：分省年度数据
指标：农村居民消费(亿元)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,,,767.5,712.3,653.2,597.0,508.1,413.2,378.0,371.2,325.5,273.5,229.4,190.5,184.0,174.4,161.0,153.0
天津市,,,,,637.6,593.9,535.2,452.2,392.9,313.2,255.9,216.4,195.7,173.9,146.8,130.4,122.9,114.4,106.8,99.3
河北省,,,,,3486.2,3158.8,2819.4,2649.6,2481.1,2253.6,1955.4,1569.0,1472.7,1450.5,1329.9,1206.4,1093.8,996.3,957.0,949.2
山西省,,,,,1800.7,1503.7,1468.1,1339.0,1301.4,1156.9,1031.0,868.7,689.8,661.7,564.0,476.9,424.4,382.1,337.6,320.7
内蒙古自治区,,,,,1374.8,1285.0,1188.0,1132.2,856.1,748.5,646.8,526.6,473.5,439.1,402.7,353.3,311.0,271.4,257.9,240.1
辽宁省,,,,,1927.0,1736.4,1972.3,1777.9,1552.4,1333.8,1167.5,1006.0,867.9,766.6,653.2,613.0,553.2,486.4,487.2,590.3
吉林省,,,,,1089.0,1033.9,1093.3,977.8,984.7,891.2,799.3,619.7,574.8,501.6,431.1,381.5,323.2,277.6,284.2,296.7
黑龙江省,,,,,1753.0,1608.0,1487.3,1393.5,1228.8,1070.0,993.5,815.6,743.0,671.7,549.8,455.5,434.7,336.5,311.0,310.4
上海市,,,,,756.2,700.7,634.7,574.0,511.5,468.3,441.8,339.1,303.6,275.9,245.8,224.0,194.6,186.8,187.8,185.6
江苏省,,,,,6809.7,6160.8,5556.1,4995.1,4210.4,3481.1,3105.8,2676.4,2479.3,2285.9,2079.0,1801.6,1588.3,1369.4,1440.6,1505.9
浙江省,,,,,4334.2,4118.2,3820.2,3382.0,3087.6,2796.3,2567.0,2214.5,1899.0,1740.2,1589.0,1540.2,1345.4,1235.1,1137.4,1073.9
安徽省,,,,,2827.1,2576.1,2353.8,2181.2,1940.6,1659.8,1625.2,1499.4,1325.7,1205.8,1092.9,949.3,880.2,1212.3,1086.6,1010.7
福建省,,,,,2491.4,2227.4,1969.7,1747.5,1519.6,1474.4,1326.2,1158.5,1048.7,1007.1,856.2,773.6,700.9,635.5,595.3,595.0
江西省,,,,,2553.2,2469.4,2108.1,1737.1,1737.1,1541.9,1443.7,1156.5,907.7,829.5,976.7,893.0,816.8,744.5,628.5,602.7
山东省,,,,,7431.1,6634.9,5463.7,4994.2,4200.8,3832.9,3362.2,2784.1,2651.5,2520.7,2126.6,1823.0,1596.7,1397.3,1307.1,1280.1
河南省,,,,,4978.1,4621.0,4222.1,3891.0,3446.0,3081.8,2792.8,2372.7,2106.9,1953.8,1768.7,1641.9,1554.2,1441.8,1245.1,1341.2
湖北省,,,,,3026.0,2709.9,2434.7,2292.1,2064.7,1830.8,1597.7,1419.7,1277.7,1218.0,1051.8,906.2,815.3,700.8,637.7,606.8
湖南省,,,,,3644.9,3428.3,3301.4,2727.8,2459.9,2285.6,2059.4,1661.8,1522.3,1462.4,1317.9,1212.8,1139.6,1038.7,912.2,889.5
广东省,,,,,5384.9,5013.6,4554.5,4349.3,3436.5,3123.5,2768.6,2263.9,2028.3,1787.1,1552.3,1425.1,1408.3,1224.2,1263.8,1424.0
广西壮族自治区,,,,,2325.0,2076.8,1888.8,1718.1,1520.6,1431.8,1276.2,1088.9,1015.4,945.8,833.1,754.5,727.3,625.1,576.7,560.2
海南省,,,,,464.9,423.2,377.1,348.1,298.0,260.2,227.1,168.9,154.0,146.3,144.5,132.7,121.1,116.7,108.5,106.8
重庆市,,,,,1181.3,1093.4,994.8,926.5,826.9,740.5,615.7,500.3,478.5,467.6,406.1,357.3,347.7,308.7,287.7,295.8
四川省,,,,,5323.1,4708.0,4348.2,4018.1,3599.6,3255.7,2791.8,2333.2,1967.1,1711.3,1563.2,1398.0,1328.3,1197.2,1070.0,995.9
贵州省,,,,,1935.2,1791.7,1632.7,1417.4,1182.1,994.7,908.5,770.1,689.4,623.4,553.4,478.5,454.4,386.8,532.6,506.1
云南省,,,,,2334.8,2213.1,2101.3,1969.9,1685.9,1624.2,1429.2,1137.9,955.0,911.2,805.5,684.5,617.0,521.8,416.2,433.1
西藏自治区,,,,,155.5,138.6,126.7,106.1,92.2,73.1,64.7,59.3,53.1,45.7,43.4,40.9,33.9,31.0,27.4,32.1
陕西省,,,,,1649.6,1512.5,1405.4,1368.5,1227.3,1112.6,939.5,809.6,714.7,670.7,567.8,514.9,466.4,403.4,352.0,346.5
甘肃省,,,,,1054.3,990.2,934.5,865.2,819.4,727.8,645.6,515.5,465.8,424.3,356.6,332.9,331.2,277.1,244.9,220.1
青海省,,,,,337.0,304.4,266.7,236.4,208.2,185.6,151.3,122.1,111.9,102.8,81.4,70.5,64.2,52.3,48.7,46.3
宁夏回族自治区,,,,,347.6,296.4,274.1,262.4,223.6,190.7,165.8,129.8,119.9,112.6,96.3,84.9,80.5,72.8,63.5,54.0
新疆维吾尔自治区,,,,,1185.2,1094.9,955.9,856.3,745.2,675.6,560.3,467.4,391.5,343.9,295.5,253.6,239.0,210.0,202.7,190.9
数据来源：国家统计局
