数据库：分省年度数据
指标：政府消费(亿元)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,,,5350.6,4784.8,6032.2,5637.6,4971.8,4451.8,3963.2,3258.8,2932.2,2559.9,2068.7,1550.9,1264.7,1105.8,906.8,772.3
天津市,,,,,2346.0,2375.8,2162.5,1995.5,1846.1,1698.7,1549.6,1282.2,1052.1,913.1,755.2,644.4,526.9,466.5,411.8,333.8
河北省,,,,,4144.4,3865.4,3698.7,3583.1,3438.5,3272.7,2741.2,2594.6,2177.5,2168.4,1949.5,1581.6,1357.6,1125.8,820.5,768.8
山西省,,,,,2062.0,1918.2,1883.3,1795.9,1810.1,1605.4,1375.6,1174.8,1042.0,991.3,791.5,687.0,583.3,480.1,404.9,343.0
内蒙古自治区,,,,,2427.8,2422.9,2227.6,2199.0,2608.3,2466.9,2241.1,1894.8,1622.3,1243.2,937.6,745.3,611.8,529.4,409.4,341.2
辽宁省,,,,,2902.5,2781.9,2625.6,2419.1,2367.4,2178.8,2020.8,1701.8,1590.7,1423.1,1318.0,1114.1,969.0,932.3,930.5,890.0
吉林省,,,,,1701.1,1764.5,1565.8,1648.1,1738.5,1566.2,1452.9,1243.9,1080.3,973.5,768.6,584.7,513.8,448.5,447.4,401.9
黑龙江省,,,,,2967.4,2960.9,2682.3,3043.9,2987.1,2812.7,2511.4,2092.8,1819.8,1568.8,1225.6,996.5,819.5,700.0,581.4,531.9
上海市,,,,,4580.9,4182.3,3764.9,3448.8,3111.3,2807.3,2581.4,2142.4,2085.8,1882.3,1560.8,1316.6,1147.4,963.3,780.2,656.3
江苏省,,,,,11128.4,10845.2,9796.3,8556.8,7720.6,7329.0,7115.1,6295.3,5140.0,4417.8,3605.5,2809.5,2319.6,1798.2,1574.5,1326.8
浙江省,,,,,6442.7,5645.0,5077.5,4570.6,4144.1,4013.3,3398.1,2968.9,2544.2,2434.9,2111.0,1915.3,1711.1,1506.9,1284.6,1187.8
安徽省,,,,,2828.5,2571.2,2448.0,2297.6,2208.0,1876.3,1609.2,1339.8,990.8,892.6,754.2,667.5,607.3,539.1,482.2,429.8
福建省,,,,,3042.5,2607.6,2367.4,2061.0,1953.0,1854.8,1756.2,1588.2,1436.2,1331.9,1138.2,990.5,902.4,825.8,730.8,659.0
江西省,,,,,2257.5,2017.9,1820.2,1667.0,1667.0,1560.5,1332.3,943.8,795.1,757.7,746.3,568.1,475.1,390.7,354.6,345.1
山东省,,,,,6900.5,6556.3,5836.1,5466.5,6360.2,5960.3,5095.5,4272.2,3664.6,3283.2,2749.4,2334.3,2027.2,2062.2,1647.7,1331.7
河南省,,,,,6099.9,5526.2,5001.7,4524.5,4200.7,3584.0,3165.2,2807.2,2493.8,2237.9,2011.3,1850.8,1535.8,1198.3,1021.5,939.8
湖北省,,,,,4417.3,3875.8,3631.8,3438.3,3107.4,2897.3,2689.5,2253.0,1868.8,1666.7,1290.0,1121.3,860.3,721.6,631.2,548.4
湖南省,,,,,4792.1,4224.9,3744.3,2806.0,2670.3,2397.7,2145.9,1814.7,1575.7,1434.8,1304.8,1120.1,933.8,871.4,756.5,679.5
广东省,,,,,11031.9,9758.3,8772.7,7657.4,6987.8,6241.8,5570.7,4778.6,3918.1,3602.4,3061.2,2740.5,2482.4,2208.4,2105.9,1837.1
广西壮族自治区,,,,,2658.4,2602.7,2232.9,2056.1,1903.3,1612.2,1353.3,1196.4,1006.0,932.4,917.6,772.6,655.1,559.2,499.3,448.8
海南省,,,,,852.4,805.0,698.8,561.2,547.0,448.3,373.6,298.9,233.5,216.3,187.0,153.3,127.7,115.0,97.5,89.1
重庆市,,,,,2270.9,2066.4,1837.8,1619.3,1500.2,1389.3,1208.3,1019.5,817.2,727.1,620.1,528.5,466.5,410.2,379.4,326.6
四川省,,,,,4524.5,4054.5,3701.5,3355.7,3120.6,2831.4,2456.9,1971.0,1611.2,1602.3,1386.4,1138.1,901.2,851.3,751.2,676.5
贵州省,,,,,1673.8,1550.8,1426.9,1306.2,1203.1,1039.7,871.9,749.8,657.3,590.4,526.7,445.8,397.5,309.6,257.0,234.5
云南省,,,,,2906.3,2680.0,2501.1,2456.6,2119.6,1763.2,1452.2,1209.0,1045.3,935.9,859.7,795.6,660.1,585.5,530.0,520.5
西藏自治区,,,,,674.6,578.9,536.4,366.4,322.7,289.6,230.6,193.3,190.0,163.8,150.2,68.7,101.5,101.0,92.2,38.7
陕西省,,,,,2606.6,2456.2,2386.5,2231.8,2089.0,1944.9,1814.3,1478.6,1234.2,1053.7,812.7,637.2,560.1,447.2,391.2,341.2
甘肃省,,,,,1430.1,1342.9,1294.3,1273.8,1202.2,1131.9,1047.3,867.7,720.6,635.9,499.1,397.1,324.5,272.1,195.1,175.9
青海省,,,,,741.6,686.5,597.3,368.6,353.9,410.2,365.0,310.3,255.2,271.1,235.8,192.8,150.4,125.2,92.8,78.9
宁夏回族自治区,,,,,684.7,644.8,575.7,469.1,459.3,404.2,324.4,259.3,164.0,216.5,189.9,156.2,136.5,112.5,102.3,97.4
新疆维吾尔自治区,,,,,3219.7,2528.1,2452.7,2187.5,2035.7,1891.8,1564.5,1286.6,981.5,902.0,727.1,610.7,502.3,453.8,403.6,348.3
数据来源：国家统计局
