数据库：分省年度数据
指标：法人单位数(个)
时间：最近20年
地区,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年
北京市,1174904,913369,988483,719624,711166,704629,660703,627051,404907,391503,384525
天津市,371124,321740,291151,444546,391323,320203,264151,211404,207512,185899,168535
河北省,1456954,1318321,1150955,1147414,785259,630137,530948,434833,387093,361028,345762
山西省,772765,633960,462193,600802,498902,382169,304890,205135,244262,220371,205152
内蒙古自治区,439523,381670,297176,328901,272236,231915,208636,157864,155136,147105,138466
辽宁省,748782,621156,600313,655309,596474,552428,500312,415421,453601,388515,369014
吉林省,237731,212073,187449,209045,193453,181344,172127,130301,131947,124637,118001
黑龙江省,344360,295952,256191,335310,251727,225311,209042,173343,189208,184150,175798
上海市,532762,482353,440696,484495,463990,448591,434106,409125,455055,422955,399549
江苏省,2540015,2327217,2053630,2356034,1907732,1551446,1344793,1047033,1096912,979237,862205
浙江省,2277240,1905578,1545153,1792465,1497165,1346362,1235667,962213,865140,778193,685493
安徽省,1160828,946508,813279,872865,651253,564967,467775,350360,324622,286915,242591
福建省,1156978,941297,702826,870050,751748,664420,566075,373792,399091,356207,307811
江西省,765836,570196,454387,573013,464652,385517,326563,241367,249278,199355,184559
山东省,2842426,2309367,1801301,2015001,1652065,1269898,1042834,823846,906064,832499,773550
河南省,1652264,1418818,1279238,964944,816779,763210,623772,510502,425276,410810,400721
湖北省,1183265,1006945,853168,943502,783356,678384,567795,424368,435964,382113,345826
湖南省,831104,672298,622764,685025,552659,467954,424939,403026,343869,314853,297153
广东省,3526206,3349156,3126550,1955087,1521420,1397022,1295271,1070306,1008447,908008,802824
广西壮族自治区,754741,641503,490277,539342,474480,402587,334563,236831,274666,238512,204970
海南省,140362,125542,100096,100398,84923,76095,63619,45679,49117,42715,37648
重庆市,642720,591369,512470,598575,533104,454877,378003,254834,274165,223752,177894
四川省,934554,867477,761937,629919,542897,490038,462084,373424,403208,366196,353042
贵州省,543603,471151,348149,447650,339564,265382,209860,146514,133415,116423,110274
云南省,741669,571421,453286,579001,451891,372760,279007,190607,214490,197322,170893
西藏自治区,49889,49191,47215,26600,26660,26512,26143,21162,16664,16474,16218
陕西省,689053,587005,532220,462710,395374,358073,310150,243170,255333,231354,206664
甘肃省,302596,266600,229632,222361,210747,196182,173848,130203,124734,114200,108433
青海省,112136,98516,72869,108773,65364,58654,52074,34202,33425,30446,28326
宁夏回族自治区,133774,113259,68817,90563,80937,65679,54607,43029,43820,40053,35963
新疆维吾尔自治区,329091,269203,243402,249768,222082,196453,177083,134666,110109,101929,96728
注：2004年及以后各年份数据不包括国际组织法人单位数。
数据来源：国家统计局
