数据库：分省年度数据
指标：城镇居民消费水平指数(上年=100)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,,,105.8,106.1,106.6,104.3,105.7,106.5,106.4,109.4,108.0,104.4,106.4,107.5,102.8,108.1,105.4,118.6
天津市,,,,,106.3,106.4,105.7,106.1,105.6,107.5,108.9,113.7,107.9,110.1,109.5,108.7,109.6,112.9,107.9,104.0
河北省,,,,,106.6,106.8,105.9,106.2,107.0,104.1,108.3,110.4,112.0,104.9,109.2,111.9,106.8,113.5,104.0,109.5
山西省,,,,,116.5,102.5,112.1,102.4,107.5,108.8,105.5,106.3,104.5,103.7,109.3,112.4,106.9,106.9,106.6,132.0
内蒙古自治区,,,,,102.7,104.2,103.6,107.8,107.7,109.6,111.2,107.4,115.3,105.8,118.0,111.0,106.9,111.9,103.6,118.9
辽宁省,,,,,102.6,110.4,107.1,106.6,106.7,107.7,117.2,112.4,111.1,117.2,112.4,106.0,107.5,108.4,103.6,108.4
吉林省,,,,,105.6,102.6,105.2,105.6,110.6,111.0,107.5,104.2,111.0,107.8,111.7,105.8,108.5,109.0,109.4,107.1
黑龙江省,,,,,106.6,104.2,106.5,115.4,108.5,104.8,107.7,114.2,109.4,109.8,110.0,104.6,109.4,104.3,114.0,106.5
上海市,,,,,107.2,107.6,107.4,107.3,107.0,106.0,105.9,109.7,105.9,106.2,111.0,109.6,107.2,110.0,108.5,108.3
江苏省,,,,,107.7,107.7,108.5,110.4,114.7,112.6,110.3,108.9,110.8,108.8,110.5,109.9,112.1,118.9,118.5,110.5
浙江省,,,,,107.3,103.7,103.9,105.7,105.8,104.5,107.7,107.0,112.7,109.0,104.1,111.6,113.9,115.6,111.5,106.5
安徽省,,,,,105.6,105.8,104.8,104.1,102.1,105.3,106.5,111.3,107.9,108.4,109.8,109.2,106.3,130.4,109.8,111.5
福建省,,,,,107.3,109.3,106.5,105.9,105.4,104.6,105.3,106.7,108.4,105.7,105.9,107.9,106.6,106.4,111.5,109.4
江西省,,,,,105.2,105.8,106.7,106.3,106.3,106.7,108.0,108.3,108.9,93.4,110.3,129.2,109.5,110.8,99.6,106.0
山东省,,,,,105.2,104.6,105.2,106.6,107.7,106.9,112.4,108.4,109.5,112.9,111.8,113.9,113.2,106.8,106.7,105.4
河南省,,,,,106.8,105.9,108.0,104.2,106.7,106.8,107.6,113.1,110.1,110.8,105.8,108.3,105.2,105.6,109.3,109.9
湖北省,,,,,107.0,107.7,106.5,108.8,108.2,105.6,117.4,112.4,103.7,112.3,118.4,112.3,110.6,107.6,110.8,114.0
湖南省,,,,,106.2,106.5,105.8,106.6,105.6,105.7,107.6,109.7,107.8,107.0,109.9,106.4,106.6,108.1,110.2,101.4
广东省,,,,,104.3,104.9,106.2,106.9,105.5,107.9,105.3,107.5,111.3,107.1,112.6,106.9,108.6,107.9,106.4,110.2
广西壮族自治区,,,,,102.4,103.7,104.4,103.8,107.9,107.5,105.2,109.0,114.2,110.4,114.5,108.3,107.1,108.0,108.4,106.9
海南省,,,,,107.7,103.1,104.5,104.8,103.7,107.0,111.0,110.6,106.0,104.7,108.9,106.6,106.3,106.1,105.0,107.5
重庆市,,,,,106.4,107.9,108.5,108.8,109.4,107.8,110.3,111.8,110.6,108.4,113.6,111.0,106.8,104.0,107.3,102.1
四川省,,,,,105.8,104.2,104.7,106.6,105.4,105.9,110.2,109.6,109.7,102.9,108.5,107.1,106.5,102.8,106.4,106.4
贵州省,,,,,109.4,109.6,106.7,110.2,106.7,105.5,103.0,103.8,110.4,103.1,102.3,117.2,111.9,106.7,107.5,106.8
云南省,,,,,102.5,104.3,109.4,102.3,111.8,108.9,110.1,109.9,111.2,110.2,98.8,101.6,104.0,119.2,105.8,109.6
西藏自治区,,,,,108.0,104.1,109.1,103.6,108.7,109.5,103.3,111.8,113.4,112.0,113.9,79.5,86.9,110.2,161.2,114.1
陕西省,,,,,105.9,104.9,104.2,107.9,106.6,109.4,108.5,108.9,107.2,106.6,108.1,107.7,103.2,104.8,107.5,106.1
甘肃省,,,,,104.7,107.3,107.1,109.6,113.3,108.6,114.2,103.6,107.0,100.9,106.2,109.2,104.1,110.0,102.8,106.3
青海省,,,,,102.9,106.3,112.0,106.7,111.1,110.6,106.3,103.4,107.0,102.7,111.2,105.8,108.6,111.2,107.5,103.1
宁夏回族自治区,,,,,103.3,104.9,108.2,107.7,105.0,105.5,106.0,107.2,104.4,118.0,112.1,109.3,118.4,118.8,113.7,116.7
新疆维吾尔自治区,,,,,106.7,107.6,106.2,102.8,106.1,114.8,107.9,116.0,105.5,104.6,110.0,105.7,106.3,106.9,99.4,111.5
数据来源：国家统计局
