数据库：分省年度数据
指标：城镇人口(万人)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,1915,1916,1913,1909,1907,1904,1897,1878,1836,1793,1745,1686,1581,1504,1416,1350,1286,,,
天津市,1165,1175,1168,1161,1178,1202,1193,1180,1160,1124,1079,1034,958,908,851,814,783,,,
河北省,4554,4484,4377,4257,4130,3973,3795,3615,3500,3384,3297,3201,3077,2928,2795,2674,2582,,,
山西省,2207,2182,2143,2096,2057,2012,1966,1916,1869,1821,1774,1717,1576,1539,1494,1451,1413,,,
内蒙古自治区,1637,1622,1605,1587,1572,1544,1515,1493,1469,1439,1409,1372,1313,1264,1218,1175,1134,,,
辽宁省,3079,3070,3046,3015,2996,2980,2952,2922,2901,2872,2805,2717,2620,2591,2544,2519,2478,,,
吉林省,1505,1503,1509,1512,1508,1508,1506,1501,1487,1471,1455,1465,1461,1455,1451,1442,1426,,,
黑龙江省,2053,2080,2103,2111,2104,2116,2134,2137,2128,2118,2136,2134,2123,2119,2061,2045,2028,,,
上海市,2223,2222,2214,2206,2197,2196,2176,2203,2193,2142,2104,2056,1958,1897,1830,1742,1684,,,
江苏省,6289,6226,6137,6013,5911,5777,5612,5441,5275,5116,4975,4767,4343,4215,4109,3973,3832,,,
浙江省,4752,4668,4563,4392,4252,4112,3969,3826,3698,3576,3470,3356,3055,3002,2949,2866,2796,,,
安徽省,3631,3561,3474,3381,3288,3175,3064,2957,2866,2768,2675,2562,2581,2485,2368,2267,2173,,,
福建省,2918,2861,2808,2749,2674,2586,2519,2446,2362,2278,2199,2109,2020,1929,1857,1807,1757,,,
江西省,2776,2731,2668,2588,2513,2427,2346,2265,2195,2121,2047,1966,1914,1820,1739,1678,1595,,,
山东省,6503,6409,6252,6193,6099,5897,5621,5372,5210,5051,4916,4765,4576,4483,4379,4291,4162,,,
河南省,5579,5510,5348,5153,4970,4770,4561,4345,4174,4002,3829,3621,3577,3397,3214,3050,2875,,,
湖北省,3736,3613,3665,3609,3535,3447,3345,3241,3160,3077,2983,2847,2631,2581,2525,2494,2467,,,
湖南省,3954,3905,3815,3722,3623,3491,3360,3238,3144,3046,2959,2845,2767,2689,2571,2455,2341,,,
广东省,9466,9361,9073,8867,8589,8353,8117,7884,7674,7414,7160,6910,6423,6269,6099,5949,5579,,,
广西壮族自治区,2774,2720,2639,2564,2482,2392,2309,2220,2134,2041,1950,1844,1904,1838,1728,1635,1567,,,
海南省,622,610,591,581,564,543,519,499,481,464,448,433,425,410,399,385,374,,,
重庆市,2259,2229,2175,2107,2044,1970,1887,1818,1755,1685,1619,1529,1475,1419,1360,1311,1265,,,
四川省,4841,4749,4623,4452,4292,4126,3956,3785,3646,3505,3375,3232,3168,3044,2893,2802,2710,,,
贵州省,2093,2051,1981,1893,1816,1712,1593,1480,1376,1302,1237,1176,1057,1047,1026,1013,1002,,,
云南省,2394,2363,2294,2231,2172,2088,2002,1918,1856,1782,1690,1597,1554,1499,1426,1367,1313,,,
西藏自治区,134,131,125,120,116,107,95,85,76,72,70,68,66,64,62,60,58,,,
陕西省,2516,2478,2417,2345,2267,2185,2105,2029,1962,1883,1783,1709,1621,1565,1506,1447,1374,,,
甘肃省,1328,1306,1272,1250,1214,1161,1116,1070,1027,989,951,925,891,856,822,792,764,,,
青海省,362,356,347,336,325,312,298,293,281,273,264,252,234,226,221,215,213,,,
宁夏回族自治区,479,468,456,441,430,408,390,372,352,337,325,303,288,278,269,260,252,,,
新疆维吾尔自治区,1482,1464,1421,1361,1287,1224,1163,1088,1027,996,973,940,860,845,820,778,747,,,
注：2000、2001年人口为当年人口普查推算数，其余年份人口为年度人口抽样调查推算数据，2005年起各地区人口数据为常住人口口径。
数据来源：国家统计局
