数据库：分省年度数据
指标：人口出生率(‰)
时间：最近20年
地区,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,8.12,8.24,9.06,9.32,7.96,9.75,8.93,9.05,8.29,7.48,8.06,8.17,8.32,6.26,6.29,6.10,5.10,6.60
天津市,6.73,6.67,7.65,7.37,5.84,8.19,8.28,8.75,8.58,8.18,8.30,8.13,7.91,7.67,7.44,7.31,7.14,7.49
河北省,10.83,11.26,13.20,12.42,11.35,13.18,13.04,12.88,13.02,13.22,12.93,13.04,13.33,12.82,12.84,11.98,11.43,11.53
山西省,9.12,9.63,11.06,10.29,9.98,10.92,10.81,10.70,10.47,10.68,10.87,11.32,11.30,11.48,12.02,12.36,12.26,12.86
内蒙古自治区,8.23,8.35,9.47,9.03,7.72,9.31,8.98,9.17,8.94,9.30,9.57,9.81,10.21,9.87,10.08,9.53,9.24,9.60
辽宁省,6.45,6.39,6.49,6.60,6.17,6.49,6.09,6.15,5.71,6.68,6.06,6.32,6.89,6.40,7.01,6.51,6.90,7.38
吉林省,6.05,6.62,6.76,5.55,5.87,6.62,5.36,5.73,6.53,7.91,6.69,6.65,7.55,7.67,7.89,7.39,7.25,8.30
黑龙江省,5.73,5.98,6.22,6.12,6.00,7.37,6.86,7.30,6.99,7.35,7.48,7.91,7.88,7.57,7.87,7.27,7.48,7.98
上海市,7.00,7.20,8.10,9.00,7.52,8.35,8.18,9.56,6.97,7.05,8.64,8.89,9.07,7.47,7.04,6.00,4.85,5.41
江苏省,9.12,9.32,9.71,9.76,9.05,9.45,9.44,9.44,9.59,9.73,9.55,9.34,9.37,9.36,9.24,9.45,9.04,9.17
浙江省,10.51,11.02,11.92,11.22,10.52,10.51,10.01,10.12,9.47,10.27,10.22,10.20,10.38,10.29,11.10,10.71,9.66,9.98
安徽省,12.03,12.41,14.07,13.02,12.92,12.86,12.88,13.00,12.23,12.70,13.07,13.05,12.75,12.60,12.43,11.62,11.15,11.20
福建省,12.90,13.20,15.00,14.50,13.90,13.70,12.20,12.74,11.41,11.27,12.20,12.20,11.90,12.00,11.60,11.58,11.43,11.35
江西省,12.59,13.43,13.79,13.45,13.20,13.24,13.19,13.46,13.48,13.72,13.87,13.92,13.86,13.80,13.79,13.61,14.07,14.74
山东省,11.77,13.26,17.54,17.89,12.55,14.23,11.41,11.90,11.50,11.65,11.70,11.25,11.11,11.60,12.14,12.50,11.42,11.17
河南省,11.02,11.72,12.95,13.26,12.70,12.80,12.27,11.87,11.56,11.52,11.45,11.42,11.26,11.59,11.55,11.67,12.10,12.41
湖北省,11.35,11.54,12.60,12.04,10.74,11.86,11.08,11.00,10.39,10.36,9.48,9.21,9.19,9.08,8.74,8.43,8.26,8.38
湖南省,10.39,12.19,13.27,13.57,13.58,13.52,13.50,13.58,13.35,13.10,13.05,12.68,11.96,11.92,11.90,11.89,11.82,11.56
广东省,12.54,12.79,13.68,11.85,11.12,10.80,10.71,11.60,10.45,11.18,11.78,11.80,11.96,11.78,11.70,13.13,13.66,13.29
广西壮族自治区,13.31,14.12,15.14,13.82,14.05,14.07,14.28,14.20,13.71,14.13,14.17,14.40,14.19,14.44,14.26,13.32,13.86,13.30
海南省,12.87,14.48,14.73,14.57,14.57,14.56,14.59,14.66,14.72,14.71,14.66,14.71,14.62,14.59,14.65,14.77,14.68,15.20
重庆市,10.48,11.02,11.18,11.77,11.05,10.67,10.37,10.86,9.88,9.17,9.90,10.10,10.10,9.90,9.40,9.45,9.89,9.36
四川省,10.70,11.05,11.26,10.48,10.30,10.22,9.90,9.89,9.79,8.93,9.15,9.54,9.21,9.14,9.70,9.05,9.18,10.44
贵州省,13.65,13.90,13.98,13.43,13.00,12.98,13.05,13.27,13.31,13.96,13.65,13.49,13.28,13.97,14.59,15.08,15.91,17.96
云南省,12.63,13.19,13.53,13.16,12.88,12.65,12.60,12.63,12.71,13.10,12.53,12.63,13.08,13.20,14.72,15.60,17.00,17.90
西藏自治区,14.60,15.22,16.00,15.79,15.75,15.76,15.77,15.48,15.39,15.80,15.31,15.50,16.40,17.40,17.94,17.40,17.40,18.83
陕西省,10.55,10.67,11.11,10.64,10.10,10.13,10.01,10.12,9.75,9.73,10.24,10.29,10.21,10.19,10.02,10.59,10.67,10.48
甘肃省,10.60,11.07,12.54,12.18,12.36,12.21,12.16,12.11,12.08,12.05,13.32,13.22,13.14,12.86,12.59,12.43,12.58,13.16
青海省,13.66,14.31,14.42,14.70,14.72,14.67,14.16,14.30,14.43,14.94,14.51,14.49,14.93,15.24,15.70,16.32,16.94,18.05
宁夏回族自治区,13.72,13.32,13.44,13.69,12.62,13.10,13.12,13.26,13.65,14.14,14.38,14.31,14.80,15.53,15.93,15.97,15.68,16.42
新疆维吾尔自治区,8.14,10.69,15.88,15.34,15.59,16.44,15.84,15.32,14.99,15.99,15.99,16.05,16.79,15.79,16.42,16.00,16.01,16.30
数据来源：国家统计局
