数据库：分省年度数据
指标：男性人口数(人口抽样调查)(人)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,8398,8781,9017,9324,175460,8977,9047,8851,8796,,7705,7530,7243,7046,103122,7280,7242,7259
天津市,,,6675,6863,6725,6961,130778,6269,6040,5854,5754,,5298,4986,4956,4768,69308,4894,4914,4948
河北省,,,30160,31210,31523,32082,583919,31198,31069,31087,32083,,31671,32103,32330,32179,455500,33769,33965,33751
山西省,,,14672,15593,15887,15909,295031,15298,15381,15393,15718,,15503,15611,15829,15766,225294,16604,16677,16711
内蒙古自治区,,,10191,10608,10465,10675,199239,10533,10699,10613,10540,,11012,11185,11201,11310,161560,11941,12006,12128
辽宁省,,,16960,17905,17996,18503,341193,18363,18292,18359,18846,,19344,19583,19778,19811,280107,20614,20779,21004
吉林省,,,10570,11198,11346,11665,216398,11561,11696,11670,12002,,12465,12527,12697,12772,182545,13226,13387,13457
黑龙江省,,,14788,15697,15919,16104,298696,15829,16055,16283,16483,,17310,17540,17781,18034,255867,18908,19172,19367
上海市,,,9748,10256,10085,10382,194485,10334,10268,10349,10644,,8363,8435,8325,8209,118419,8208,8024,7873
江苏省,,,31847,33555,33542,33738,628275,33116,32754,32859,33888,,33718,33709,33967,33832,485494,35881,36113,36538
浙江省,,,23546,24418,24550,24377,445155,23808,23512,23361,22833,,22954,23358,23447,22972,328876,23141,23239,23210
安徽省,,,25042,26667,26449,26727,489359,24924,25383,26032,25834,,28195,28469,28463,28953,406651,32108,32243,32292
福建省,,,15993,16806,16435,16540,306388,16349,16165,15783,15680,,16048,16342,16463,16593,235254,17093,17516,17753
江西省,,,18541,19579,19840,20069,365820,19573,19423,19481,20190,,20050,20253,20425,20535,290449,21387,21396,21372
山东省,,,39531,41363,41595,42579,782050,40923,40928,40832,41319,,42411,42513,43033,43164,611975,44684,44983,45371
河南省,,,37920,39815,40370,40834,752496,39385,39055,39680,41614,,42511,42929,44047,44191,630613,48565,49199,48290
湖北省,,,23216,24973,25090,25352,463807,24458,24322,24562,25274,,26070,26215,26640,26858,384490,29653,30286,30294
湖南省,,,27438,28469,28560,29286,535812,28516,28374,28577,28993,,29087,29812,30075,29953,428236,33351,34082,33973
广东省,,,48416,50209,48859,48869,894033,48021,46183,46688,48050,,42960,43920,43606,43780,616339,39858,39703,39663
广西壮族自治区,,,19978,20996,21080,21161,383669,20403,20352,20259,20785,,22541,22578,22617,22606,319740,24566,24948,24709
海南省,,,3788,3917,4002,4058,74321,3994,3899,3934,3897,,4054,4012,4030,4030,57525,4130,4217,4135
重庆市,,,12147,12730,12641,12992,234986,12696,12494,12370,12716,,12683,12878,13088,13167,186623,15223,15625,15689
四川省,,,32073,33944,34633,34682,641473,33289,34111,35292,35134,,36402,37341,37813,38769,541978,42847,43493,42974
贵州省,,,14628,15403,15323,15438,284548,14806,14944,14935,15658,,17464,17736,17888,17919,254202,19571,19663,19490
云南省,,,19321,20523,20564,20285,378276,19962,20044,19993,20179,,21008,21290,21266,21394,303893,21618,22374,21946
西藏自治区,,,1373,1401,1404,1410,25609,1317,1308,1275,1324,,1256,1253,1270,1259,18149,1285,1266,1256
陕西省,,,15302,15879,15615,16160,298442,16108,15912,16193,16410,,16965,17233,17324,17389,248660,18525,18617,18657
甘肃省,,,10433,11001,11035,11134,208500,11082,10948,11067,11384,,11921,12010,12162,12205,173235,13095,13146,13114
青海省,,,2445,2571,2541,2564,47839,2420,2429,2465,2458,,2482,2524,2556,2563,36328,2676,2666,2661
宁夏回族自治区,,,2780,2794,2769,2925,53462,2807,2757,2760,2875,,2809,2817,2822,2822,39733,2862,2871,2858
新疆维吾尔自治区,,,9915,10175,10211,10303,187526,9693,9583,9496,9679,,9611,9649,9597,9452,134718,9605,9591,10010
注：2005年、2015年为1%人口抽样调查样本数据，其他年份为1‰人口变动调查样本数据。具体抽样比详见出版物中《中国统计年鉴》。
数据来源：国家统计局
