数据库：分省年度数据
指标：女性人口数(人口抽样调查)(人)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,8269,8892,8784,8808,160315,8780,8407,8415,8450,,7390,7284,7311,7248,100461,6933,6827,6464
天津市,,,5419,5931,6053,6085,108592,6248,6109,5937,5822,,5175,5129,4940,4926,68752,4975,5043,5013
河北省,,,28927,30697,30563,30668,571624,29738,29449,29719,29778,,30572,30879,31171,31495,451355,32309,32604,32712
山西省,,,14339,14888,14664,15002,274461,14809,14576,14736,14980,,14875,15167,15240,15416,218802,15748,15881,15744
内蒙古自治区,,,9553,10174,10384,10461,190983,10138,9914,10162,10663,,10487,10631,10865,10870,154324,11292,11505,11458
辽宁省,,,16840,17839,17973,18165,339666,17873,17939,18263,18601,,19085,19405,19539,19420,278620,20486,20770,20604
吉林省,,,10369,10975,11078,11280,212112,11154,11010,11279,11488,,11884,12237,12370,12471,176968,13170,13297,13236
黑龙江省,,,14389,15249,15332,15770,294010,15803,15596,15707,16273,,16755,17149,17412,17470,249780,18332,18521,18439
上海市,,,9038,9621,9740,9806,179471,9685,9664,9513,9412,,8452,8420,8384,8316,116932,8495,8038,8139
江苏省,,,30805,32441,32558,33260,609917,32576,32772,33225,33597,,34653,35459,35536,35642,503960,36415,36854,36428
浙江省,,,21874,22616,22023,22454,414618,21648,21864,22338,23842,,22519,22543,22397,22551,319465,22541,22695,22559
安徽省,,,24519,25145,25209,25329,466486,25277,24382,23931,25155,,26443,27029,27783,27928,403444,30467,30409,30492
福建省,,,14876,15503,15786,15934,289836,15060,14982,15490,16103,,16049,16142,16291,16262,232669,16955,16745,16374
江西省,,,17778,18500,18323,18506,344733,17913,17898,18099,18157,,19136,19370,19519,19534,280223,20137,20345,20150
山东省,,,38787,41045,40907,40886,748712,39865,39403,39978,41017,,41456,42457,42662,42789,612167,44388,44793,44327
河南省,,,37167,38864,38635,39306,723658,38488,38633,38803,38595,,41463,41978,42412,42989,611003,45807,45830,46504
湖北省,,,22885,23525,23594,24032,445464,23539,23538,23657,23917,,24792,25482,25767,26211,371334,28858,28897,28976
湖南省,,,26413,28047,28087,28024,520326,27084,26845,26817,27358,,27732,27835,28307,28842,409126,31690,31438,31461
广东省,,,41012,42815,43063,43238,787633,40482,41665,41707,41700,,42021,41794,42043,41671,600667,37787,37973,37553
广西壮族自治区,,,18675,19357,19305,19516,363424,18829,18595,18807,18900,,20350,20674,20824,20705,297097,22841,22714,22795
海南省,,,3562,3741,3638,3641,67274,3462,3490,3463,3599,,3551,3653,3666,3666,52076,3786,3721,3757
重庆市,,,12126,12686,12696,12568,233577,11991,12018,12203,12223,,12601,12667,12762,12838,183744,15330,15088,15034
四川省,,,33157,34400,33976,34775,635816,33890,32793,32094,33643,,36069,36381,37388,37555,545031,42072,42246,42730
贵州省,,,13617,14084,14290,14476,265624,14144,13960,14135,13978,,16316,16390,16699,16747,239513,18209,18270,18196
云南省,,,18553,19061,19145,19855,360337,18940,18635,18882,19385,,19451,19658,20003,19965,285146,21102,20462,20584
西藏自治区,,,1369,1416,1393,1380,25025,1303,1267,1292,1268,,1300,1323,1317,1315,18517,1351,1372,1353
陕西省,,,14856,15804,16034,15854,290904,15047,15151,15123,15566,,16539,16766,17059,17185,243750,17497,17697,17640
甘肃省,,,10209,10613,10685,10826,196363,10299,10363,10440,10523,,11484,11730,11828,11904,170129,12314,12483,12431
青海省,,,2287,2373,2399,2423,43771,2394,2339,2318,2396,,2452,2484,2488,2485,35574,2538,2559,2528
宁夏回族自治区,,,2624,2844,2858,2741,50358,2653,2642,2640,2588,,2695,2716,2738,2718,39159,2800,2779,2727
新疆维吾尔自治区,,,9746,10200,9999,9861,180105,9276,9105,9134,9191,,9367,9355,9275,9229,131097,9275,9243,9789
注：2005年、2015年为1%人口抽样调查样本数据，其他年份为1‰人口变动调查样本数据。具体抽样比详见出版物中《中国统计年鉴》。
数据来源：国家统计局
