数据库：分省年度数据
指标：性别比(女=100)(人口抽样调查)(女=100)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,101.56,98.75,102.65,105.85,109.45,102.24,107.62,105.18,104.09,,104.27,103.38,99.06,97.21,102.65,105.01,106.08,112.29
天津市,,,123.17,115.72,111.10,114.39,120.43,100.34,98.87,98.61,98.83,,102.38,97.21,100.32,96.81,100.81,98.37,97.44,98.70
河北省,,,104.26,101.67,103.14,104.61,102.15,104.91,105.50,104.60,107.74,,103.60,103.96,103.72,102.17,100.92,104.52,104.17,103.18
山西省,,,102.32,104.73,108.34,106.04,107.49,103.30,105.52,104.46,104.93,,104.22,102.93,103.87,102.27,102.97,105.44,105.01,106.14
内蒙古自治区,,,106.68,104.26,100.79,102.05,104.32,103.90,107.91,104.44,98.85,,105.01,105.21,103.08,104.05,104.69,105.74,104.36,105.84
辽宁省,,,100.71,100.37,100.12,101.86,100.45,102.74,101.97,100.53,101.32,,101.36,100.92,101.22,102.02,100.53,100.62,100.05,101.94
吉林省,,,101.94,102.03,102.42,103.41,102.02,103.65,106.23,103.47,104.48,,104.89,102.37,102.64,102.42,103.15,100.43,100.67,101.67
黑龙江省,,,102.77,102.93,103.83,102.11,101.59,100.16,102.94,103.66,101.29,,103.31,102.28,102.12,103.23,102.44,103.14,103.52,105.04
上海市,,,107.86,106.61,103.54,105.87,108.37,106.70,106.24,108.78,113.09,,98.95,100.18,99.29,98.71,101.27,96.62,99.82,96.73
江苏省,,,103.38,103.43,103.02,101.44,103.01,101.66,99.94,98.90,100.86,,97.30,95.07,95.59,94.92,96.34,98.53,97.99,100.30
浙江省,,,107.64,107.97,111.48,108.56,107.37,109.98,107.54,104.58,95.77,,101.93,103.62,104.68,101.87,102.95,102.67,102.40,102.89
安徽省,,,102.13,106.06,104.92,105.52,104.90,98.60,104.11,108.78,102.70,,106.62,105.33,102.45,103.67,100.79,105.39,106.03,105.90
福建省,,,107.51,108.41,104.12,103.80,105.71,108.56,107.89,101.89,97.37,,99.99,101.24,101.05,102.03,101.11,100.81,104.61,108.42
江西省,,,104.29,105.83,108.28,108.45,106.12,109.27,108.52,107.64,111.20,,104.77,104.56,104.64,105.13,103.65,106.21,105.16,106.07
山东省,,,101.92,100.77,101.68,104.14,104.45,102.65,103.87,102.14,100.74,,102.30,100.13,100.87,100.88,99.97,100.67,100.42,102.36
河南省,,,102.03,102.45,104.49,103.89,103.99,102.33,101.09,102.26,107.82,,102.53,102.27,103.85,102.80,103.21,106.02,107.35,103.84
湖北省,,,101.45,106.15,106.34,105.49,104.12,103.90,103.33,103.83,105.67,,105.15,102.88,103.39,102.47,103.54,102.76,104.81,104.55
湖南省,,,103.88,101.51,101.68,104.51,102.98,105.29,105.70,106.57,105.98,,104.89,107.10,106.25,103.85,104.67,105.24,108.41,107.98
广东省,,,118.05,117.27,113.46,113.02,113.51,118.62,110.84,111.94,115.23,,102.23,105.09,103.72,105.06,102.61,105.48,104.55,105.62
广西壮族自治区,,,106.98,108.47,109.20,108.43,105.57,108.36,109.44,107.72,109.97,,110.76,109.21,108.61,109.18,107.62,107.55,109.84,108.39
海南省,,,106.34,104.69,110.02,111.46,110.47,115.37,111.71,113.60,108.28,,114.17,109.81,109.95,109.93,110.46,109.07,113.33,110.08
重庆市,,,100.17,100.35,99.57,103.37,100.60,105.88,103.96,101.37,104.03,,100.66,101.67,102.56,102.56,101.57,99.30,103.56,104.36
四川省,,,96.73,98.67,101.93,99.73,100.89,98.23,104.02,109.96,104.43,,100.93,102.64,101.14,103.23,99.44,101.84,102.95,100.57
贵州省,,,107.42,109.37,107.23,106.65,107.12,104.68,107.05,105.66,112.01,,107.03,108.21,107.12,106.99,106.13,107.48,107.63,107.12
云南省,,,104.14,107.67,107.41,102.16,104.98,105.40,107.56,105.88,104.10,,108.00,108.30,106.32,107.15,106.57,102.44,109.34,106.62
西藏自治区,,,100.31,98.98,100.85,102.18,102.33,101.07,103.23,98.72,104.43,,96.60,94.65,96.40,95.76,98.01,95.14,92.25,92.84
陕西省,,,103.00,100.47,97.38,101.93,102.59,107.05,105.02,107.08,105.42,,102.58,102.79,101.55,101.19,102.01,105.88,105.20,105.77
甘肃省,,,102.19,103.65,103.27,102.85,106.18,107.60,105.64,106.01,108.18,,103.80,102.39,102.82,102.53,101.83,106.34,105.31,105.49
青海省,,,106.91,108.34,105.93,105.80,109.29,101.09,103.85,106.35,102.61,,101.21,101.61,102.74,103.15,102.12,105.44,104.15,105.28
宁夏回族自治区,,,105.95,98.27,96.91,106.70,106.16,105.80,104.32,104.52,111.07,,104.24,103.71,103.08,103.84,101.47,102.24,103.29,104.82
新疆维吾尔自治区,,,101.73,99.76,102.12,104.48,104.12,104.50,105.25,103.97,105.31,,102.61,103.14,103.47,102.41,102.76,103.56,103.77,102.25
注：2005年、2015年为1%人口抽样调查样本数据，其他年份为1‰人口变动调查样本数据。具体抽样比详见出版物中《中国统计年鉴》。
数据来源：国家统计局
