数据库：分省年度数据
指标：家庭户人口数(人口抽样调查)(人)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,15551,16773,16134,16695,281274,15503,14170,14874,14896,,13782,13709,13216,13150,188218,12821,12664,12288
天津市,,,10664,11278,11423,11472,188974,12001,11744,11298,10627,,9789,10081,9602,9544,130900,9803,9883,9901
河北省,,,58729,61115,61239,62372,1096700,60450,59922,60341,60087,,62096,62585,63385,63514,899339,66022,66421,66137
山西省,,,28885,30054,29971,30383,532081,29114,29389,29551,29945,,30049,30489,30601,30851,440601,32127,32441,32231
内蒙古自治区,,,18749,20537,20430,20376,364021,20513,20325,19915,20091,,21438,21749,21867,21905,310952,22985,23417,23434
辽宁省,,,33598,35181,35451,36513,648616,35618,34620,33899,37002,,38167,38745,38923,38748,553971,40877,41320,41544
吉林省,,,20821,22090,22374,22881,412951,22647,22639,22438,23231,,24296,24720,24936,25010,356480,25942,26392,26487
黑龙江省,,,29045,30862,31020,31496,570332,31033,31581,31917,32181,,33952,34593,35108,35266,503286,37199,37601,37419
上海市,,,17924,19368,19269,19303,335047,18971,18725,18108,17631,,16272,16128,16178,15847,220576,16595,15954,15392
江苏省,,,60762,63116,63536,64769,1123787,63502,62891,62302,63464,,66981,66853,67397,68439,958550,71627,72210,72155
浙江省,,,44112,45813,45157,45228,779528,41393,39733,41250,42178,,44122,44035,44173,44092,619804,44339,44948,44446
安徽省,,,48934,50570,51204,51868,902642,47992,48036,47980,50225,,54167,55097,55931,56004,801681,62252,60993,62073
福建省,,,29966,30975,30746,31399,537764,29937,29612,29180,28187,,31045,31215,31581,31383,445164,32052,32376,31898
江西省,,,35616,37504,37992,38169,668430,37167,36298,36731,36983,,39164,39527,39795,39994,564060,41080,41038,41251
山东省,,,77746,81529,81408,82708,1426673,80211,79775,80024,81311,,83689,84654,84557,84250,1203376,88433,88966,87919
河南省,,,73998,78382,78444,79392,1404474,75502,76916,77069,75796,,83974,84877,86347,87139,1237993,93436,94277,94371
湖北省,,,43839,45846,46089,47625,832740,46301,46196,45958,47230,,50722,50651,50972,52084,744987,57156,57727,58254
湖南省,,,53309,55116,54555,56440,988162,54488,54501,54786,55134,,56701,57044,57785,58644,826391,64251,63640,65119
广东省,,,80476,85610,85851,86392,1430729,79154,78242,78487,79261,,75732,76348,75458,75590,1053819,73474,74822,70494
广西壮族自治区,,,37941,39792,39992,40474,710000,38759,38265,38470,38261,,42790,42930,42980,42798,610512,47315,47591,47052
海南省,,,7050,7264,7398,7626,131055,7039,7017,6952,7182,,7434,7508,7511,7593,106797,7800,7786,7732
重庆市,,,24081,24920,25142,25129,435853,23578,23315,23774,23969,,24935,25376,25669,25672,366415,30523,30649,30693
四川省,,,64069,67227,67106,68636,1203114,65198,65186,63841,65029,,71883,72861,74924,75575,1079070,84362,85388,85250
贵州省,,,28041,29292,29372,29753,529135,27557,27970,28495,28448,,33676,34065,34521,34549,490715,37682,37852,37618
云南省,,,37105,38592,38260,39058,696533,37947,38077,37301,37699,,40080,40325,40767,40938,578788,42657,42641,42325
西藏自治区,,,2708,2767,2735,2721,47581,2620,2562,2552,2516,,2556,2576,2587,2552,36346,2635,2625,2604
陕西省,,,29604,30407,30310,30710,539791,30481,30584,30574,30724,,32923,33636,34130,34111,488076,35763,35947,36077
甘肃省,,,20113,21126,21636,21887,377899,20741,20862,21038,21375,,23382,23717,23980,24069,340445,25341,25409,25491
青海省,,,4674,4821,4908,4945,85696,4663,4693,4669,4599,,4861,4963,5003,5002,70595,5187,5189,5130
宁夏回族自治区,,,5352,5461,5380,5634,98074,5428,5361,5177,5164,,5444,5520,5539,5493,78435,5632,5615,5499
新疆维吾尔自治区,,,19387,20246,20078,20082,349747,18870,18435,18407,18536,,18937,18955,18827,18648,264066,18842,18606,19689
注：2005年、2015年为1%人口抽样调查样本数据，其他年份为1‰人口变动调查样本数据。具体抽样比详见出版物中《中国统计年鉴》。
数据来源：国家统计局
